seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781790300000,baseline-momentum,BTCUSDT,sell,63871.734007818006,0.03131275565111786,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,dc1ba54b8083ef5cd0ccccaa432eb4c0d6ca18bfc52c7a9bba6d163b124d002d
1,1781790420000,baseline-momentum,BTCUSDT,sell,63797.956146341996,0.03134896665674257,2000.0,1.2,-1.80014,9998.710601,ALLOW_CAPPED,4b690312cb829df3da7ec1f36883801704c122acea9a1bf643b31840e75267f1
2,1781795820000,baseline-momentum,BTCUSDT,sell,63247.41901878373,0.016641146970873502,1052.50959542,0.6315057572520001,-0.897448,10032.508949,ALLOW,9ee81af0e221224164319b377b34292ea7e55a66aaf2f1067a3c63cbde0f22f8
3,1781790300000,baseline-momentum,BTCUSDT,sell,63871.734007818006,0.03131275565111786,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,9efed97c0c81f00168ba703626b94ce7714698487e97931725ab2b919a658f4b
4,1781790420000,baseline-momentum,BTCUSDT,sell,63797.956146341996,0.03134896665674257,2000.0,1.2,-1.80014,9998.710601,ALLOW_CAPPED,351e6e8edeebd918215153cb714d4ce6fa989ed41ef131de422db502a3ee3f13
5,1781795820000,baseline-momentum,BTCUSDT,sell,63247.41901878373,0.016641146970873502,1052.50959542,0.6315057572520001,-0.897448,10032.508949,ALLOW,0446c04fa918fa6bcc20a9831f829551913fe2548f246909524a8d92d67a5fa0
6,1781790300000,baseline-momentum,BTCUSDT,sell,63871.734007818006,0.03131275565111786,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,547c3ec3d7160dbf767494af287b5a5701ff2cf894bc0fd0a1426d26ec580c96
7,1781790420000,baseline-momentum,BTCUSDT,sell,63797.956146341996,0.03134896665674257,2000.0,1.2,-1.80014,9998.710601,ALLOW_CAPPED,2a365fdfec484a88963d946ff851fe6d65d02c3f36c147ce1ac1b8a801980886
8,1781795820000,baseline-momentum,BTCUSDT,sell,63247.41901878373,0.016641146970873502,1052.50959542,0.6315057572520001,-0.897448,10032.508949,ALLOW,330e7216fa46fd829fa08b4a93e8d5abf702d99c6dcf6640f607a39f91369fee
9,1781795820000,baseline-momentum,BTCUSDT,sell,63244.422245268004,0.03162334209084567,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,5aeeeaa2674cad56b2e8f6c1c75cf6f9b3cb736bb659e01496706e5d983c0d0a
