seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1778486400000,funding-carry,BTCUSDT,sell,80696.58537441601,0.024784196143125513,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,36e2b89cb1e4a3c190e54dd9f1d07fe8a9002d56f0ad6ab69e15d664ea53837f
1,1778490000000,funding-carry,BTCUSDT,sell,80901.323938512,0.0247214742928073,2000.0,1.2,-1.80014,9991.323917,ALLOW_CAPPED,94f6ee00ecc7086a2abcdd907a934f433532f910f1edca3421c44251b566b03b
2,1778493600000,funding-carry,BTCUSDT,sell,80880.91151037534,0.012255119158898809,991.20520824,0.594723124944,-0.842135,9991.69467,ALLOW,fba3c9e547f585a79f6ce0df0084152eac25e0f331dd3d98c4f58b9b5e5195ca
3,1778515200000,funding-carry,BTCUSDT,buy,81544.4576304,0.0245264982822621,2000.0,1.2,-1.79986,9951.696231,ALLOW_CAPPED,c5e01e76ef045780f0dafb50c398fd8593a3f8be04126ed224e71133617baecd
4,1778518800000,funding-carry,BTCUSDT,buy,81913.16821777199,0.024416098699574867,2000.0,1.2,-1.79986,9936.171811,ALLOW_CAPPED,cf0d191e23008ea636be6ada3dbaab50f76aee2365254698316d113bbde24cb8
5,1778522400000,funding-carry,BTCUSDT,buy,81830.1526233592,0.012814957505904159,1048.64992857,0.6291899571419999,-0.893852,9936.291878,ALLOW,38f8244f5ff801ab83ac29011f3d95f63bcb4a50e3850c15c6916e02ba42f8d2
6,1778544000000,funding-carry,BTCUSDT,buy,81528.45283008,0.024531313064021475,2000.0,1.2,-1.79986,9934.49298,ALLOW_CAPPED,0327697b4d3eec0ec850f854d2525ea4713defdde22f2d94e31c3a608c974b8c
7,1778547600000,funding-carry,BTCUSDT,buy,81182.148963156,0.024635957849646076,2000.0,1.2,-1.79986,9924.201499,ALLOW_CAPPED,fa8af8330774a3037064f9e36ea043fa08ee1e7fcbac2420df30e6454a555805
8,1778551200000,funding-carry,BTCUSDT,buy,81244.48715491778,0.011944454253610978,970.42106018,0.582252636108,-0.823377,9926.64753,ALLOW,8c3e5eba53a796763c400bccd81f73f922460683a9e5450c2a0e4b97f18db85c
9,1778572800000,funding-carry,BTCUSDT,sell,80790.7571163,0.02475530705970434,2000.0,1.2,-1.80014,9899.445545,ALLOW_CAPPED,cb1e8f374ccadca7b01895a0bf2702f755c64eb10ad312e7d7484c90885b066b
10,1778576400000,funding-carry,BTCUSDT,sell,80786.25846621001,0.024756685579596784,2000.0,1.2,-1.80014,9897.481816,ALLOW_CAPPED,fc2dd041f2d92e36799f83488bd9ea05351cbaba3e72a06929b8a42ec0febd6a
11,1778580000000,funding-carry,BTCUSDT,sell,80627.90040341658,0.011599359527168956,935.2320047,0.56113920282,-0.791962,9894.803104,ALLOW,d7c3c479de6a4c1b090732a76fb3f436cbd19ba6b0fe903318cdc8dd986b6797
12,1778659200000,funding-carry,BTCUSDT,buy,81174.346623,0.024638325816019793,2000.0,1.2,-1.79986,9893.001796,ALLOW_CAPPED,085bd892852eae1b7452de14fc0b19ebc6224ff1a9f86991c92c5106acd4272e
13,1778662800000,funding-carry,BTCUSDT,buy,81274.276594998,0.024608032009516397,2000.0,1.2,-1.79986,9893.663019,ALLOW_CAPPED,992d139bd96605c855871e8bb61dd0fd46b86e586e2d2f9d8f3c0d748fa6ab9f
14,1778666400000,funding-carry,BTCUSDT,buy,80800.02402066019,0.011848661895635135,957.37216578,0.574423299468,-0.811681,9869.711819,ALLOW,11553f537ad4a2f8c62781f2cc07b0432d9799c81c86d91c10ab81a85d789b52
15,1778688000000,funding-carry,BTCUSDT,sell,79082.969572134,0.02528989504087525,2000.0,1.2,-1.80014,9765.202892,ALLOW_CAPPED,dc13cca34a65f0af6834262de46451ad2e21bfd894fa9b5d5ae0d1e642dda1a0
16,1778691600000,funding-carry,BTCUSDT,sell,79480.15039008,0.02516351554676502,2000.0,1.2,-1.80014,9777.62699,ALLOW_CAPPED,1cd6598ee0a21625f275828dd4c5f57bcca19374bc382b0698e8fa20f092334b
17,1778695200000,funding-carry,BTCUSDT,sell,79544.431101366,0.025143180638897727,2000.0,1.2,-1.80014,9776.510922,ALLOW_CAPPED,889664c183dd29a78cbe3afa28da07d92e1cac7508ea2bc5200bc701d0f24896
18,1778698800000,funding-carry,BTCUSDT,sell,79592.716612332,0.02512792734216239,2000.0,1.2,-1.80014,9774.010218,ALLOW_CAPPED,fd5ed9f128ad710a6c6b1d5e45de1cb18c1fcbb66e8d2c9a67286c93362562a7
19,1778702400000,funding-carry,BTCUSDT,sell,79649.0821632632,0.021699230279104965,1728.32377538,1.0369942652279998,-1.532124,9770.286424,ALLOW,dd13f2498a15fb8c312f9620f69b53b2057f9123834875df7ddd931ad537c92f
20,1778716800000,funding-carry,BTCUSDT,buy,79560.062450724,0.025138240700083813,2000.0,1.2,-1.79986,9777.258045,ALLOW_CAPPED,f05177fd9b4d8c18cfa704b6cbdcecd69f519a480d9df740cc564e18f92d539f
21,1778720400000,funding-carry,BTCUSDT,buy,79583.8695912,0.0251307207135496,2000.0,1.2,-1.79986,9774.596783,ALLOW_CAPPED,10b67c85ca7aaa02c3a30006903d09e9b8215b479b0461abb07571447e5ea9bb
22,1778724000000,funding-carry,BTCUSDT,buy,79351.24868232783,0.011059932353092926,877.61944256,0.526571665536,-0.740567,9776.379602,ALLOW,c0e7d946674be48fe4061dfc0207836295aa5b0678dc2324b5e20a0f89213606
23,1778832000000,funding-carry,BTCUSDT,sell,80589.81741228,0.024817031037164837,2000.0,1.2,-1.80014,9774.575994,ALLOW_CAPPED,6816931f14c588319cadea9d497f337d7422cc967cc85897904c348ae0a30f9d
24,1778835600000,funding-carry,BTCUSDT,sell,80429.765439078,0.02486641592303178,2000.0,1.2,-1.80014,9776.749492,ALLOW_CAPPED,83dc133746b312f6e5ef7bb7304d362a597fffa4a06cc7586741906773a525b9
25,1778839200000,funding-carry,BTCUSDT,sell,80662.1392248052,0.010834642509223764,873.94544253,0.5243672655180001,-0.737385,9764.688635,ALLOW,c39d26dbee5732347a55099e1a61a2edcbb392f35027bcce57c6f9e33777c8b2
26,1778914800000,funding-carry,BTCUSDT,sell,78333.50199749344,0.0027010292889340028,211.5810832,0.12694864992,-0.17151,9906.597969,ALLOW,95271feec74ac17d986877c1d80cfece311ecf5b0c36577acbaa7e5082956354
27,1779033600000,funding-carry,BTCUSDT,buy,78023.30152999799,0.025633367991112894,2000.0,1.2,-1.79986,9929.194256,ALLOW_CAPPED,b907f85e9f10d3e66dd304eb322d0508bc5389d1e84a68f6c424191ffc42b1c9
28,1779037200000,funding-carry,BTCUSDT,buy,78077.91791109,0.02561543716211117,2000.0,1.2,-1.79986,9925.342066,ALLOW_CAPPED,eb5359c841a50c42f0e7d417a60bd0a03025b48922909bb32500d074f1b402db
29,1779040800000,funding-carry,BTCUSDT,buy,78252.31173094657,0.01197005627591661,936.68457514,0.562010745084,-0.793173,9922.411711,ALLOW,9f55663591be5513d9c0b7a64ee95aeb78f3c872b8e4ed1c1593e6623788df40
30,1779091200000,funding-carry,BTCUSDT,sell,76986.8985402,0.025978446176210965,2000.0,1.2,-1.80014,9920.615228,ALLOW_CAPPED,0e1eb798e9832f865004cabcc441fca335ddfe3b57eed35d253dd1ba117e245c
31,1779094800000,funding-carry,BTCUSDT,sell,76887.328418208,0.026012088612593437,2000.0,1.2,-1.80014,9921.402836,ALLOW_CAPPED,211d2a3efd2445ad0f61696c3081dace56e8286b25fd2270c9665d578fa6cd07
32,1779098400000,funding-carry,BTCUSDT,sell,76728.81188667098,0.012701027497329098,974.53474961,0.584720849766,-0.82716,9929.024618,ALLOW,105112386112f1c9d72d6897070f6f400d1eaba44e50166886f9a1bf08400503
33,1779148800000,funding-carry,BTCUSDT,buy,77125.032112038,0.025931917890090986,2000.0,1.2,-1.79986,9905.021629,ALLOW_CAPPED,f48b153e094fa5f864f899b5f7b6741b8f9970b44c3191cf0cce13ce206e9d7a
34,1779152400000,funding-carry,BTCUSDT,buy,76651.790172576,0.026092019449214996,2000.0,1.2,-1.79986,9921.560355,ALLOW_CAPPED,6f6a630d207fa12d5fdbaf7182ac0a03bff2beb417e45890b893eff80ce91d3e
