seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781784360000,persona-team,BTCUSDT,buy,63951.96022909859,0.004264352540923575,272.7137041,0.16362822245999997,-0.22188,9999.77812,ALLOW,4ea1e3126b663a3afd1ea93202c526d448a96b209b3ddc016bc63d8fd1de2a05
1,1781784600000,persona-team,BTCUSDT,sell,63974.84629748872,0.011513051996014136,736.54573186,0.441927439116,-0.616393,9999.382194,ALLOW,cfef1a0dc83af8f5a5f9967e6f761a5f2accbb2d552d79b0575d82b077215bb4
2,1781784780000,persona-team,BTCUSDT,buy,63985.47822590051,0.00724708192291508,463.70800258,0.278224801548,-0.3817,9999.136769,ALLOW,dcff5199485a1578985c48e2eff5436c9b5c5369e044bb2a04eb70fc99f3a2b3
3,1781784840000,persona-team,BTCUSDT,sell,63971.64307505798,0.005182038200598454,331.50349817,0.198902098902,-0.270709,9998.866037,ALLOW,219e6595004d5014278a7d044fede4c130a79073cbe0b975da7b27c6c69f03e1
4,1781784900000,persona-team,BTCUSDT,buy,63987.775542766896,0.004788040112524781,306.37603601,0.183825621606,-0.249783,9998.675865,ALLOW,00e10972b659068fbbb5db81f75a015f77f9b446c125f06d77718fab18fb4b8d
5,1781785020000,persona-team,BTCUSDT,sell,64028.96478412586,0.010862997937808932,695.54651241,0.41732790744599996,-0.580655,9998.067517,ALLOW,547deaf92eb8b45b2aa73d6113dd4a89d224b83990679f983b034750e960330c
6,1781785380000,persona-team,BTCUSDT,buy,64117.37482829476,0.003179144999087624,203.83843154,0.122303058924,-0.165141,9997.227985,ALLOW,9f1c360c39e16f91c9426f9c13b341d4aeb227f022b1cbb88a891ad58dc3e4df
7,1781785620000,persona-team,BTCUSDT,buy,64133.39864308798,0.0032778077469414802,210.21695091,0.126130170546,-0.170376,9996.928337,ALLOW,3ff0e6ce93479569164aac0a77cf2ed8cdfc86eee87f0c849dcd75fdadad44c5
8,1781785860000,persona-team,BTCUSDT,sell,64131.44521595763,0.004018205180348546,257.69330539,0.154615983234,-0.209484,9996.597851,ALLOW,fb9c6f516e5cf6d377410909cccb6b3641b6a95c9b077ff28c51929fcc7f2841
9,1781786220000,persona-team,BTCUSDT,buy,64175.22107508386,0.004799210104000372,307.99036941,0.184794221646,-0.251124,9996.202963,ALLOW,dc1d383d730fb58ee60ca1d5e7efadac2ea6b364fdd769ba3ee118c07c3fec8a
10,1781786340000,persona-team,BTCUSDT,buy,64160.957409236034,0.004019800044830268,257.91421947,0.15474853168199998,-0.209649,9996.050006,ALLOW,aba0e0dae2553a523eb5a38431639c9ee07db846918182e3717e7be746979be3
11,1781786400000,persona-team,BTCUSDT,sell,64159.025120855185,0.0035998528937267846,230.96305224,0.13857783134399998,-0.187445,9995.862539,ALLOW,d7e2188ad71ec382345f5250323acdd83ad3a48899f6e54cc741d40614904107
12,1781786460000,persona-team,BTCUSDT,sell,64178.26143073771,0.003402763255369315,218.38342979,0.131030057874,-0.177099,9995.616306,ALLOW,32d63311bff847f766fa3f590e9e77aff0ef44f1548c602b1e8ed40d54bb9d02
13,1781786700000,persona-team,BTCUSDT,sell,64252.86954615727,0.005704719715228994,366.54461166,0.21992676699599997,-0.299967,9994.790379,ALLOW,97edfc5d36403874f7c12ca59155d211f4e5a060ffde6c99c8bbf5cfd92b37e8
14,1781787000000,persona-team,BTCUSDT,buy,64309.90649011961,0.0040945419025054195,263.31960687,0.157991764122,-0.214114,9994.203916,ALLOW,8f876bdd6f07157bbe625f91f02a7ddeefa2e39818f0ee5fddc49c572f2a9837
15,1781787120000,persona-team,BTCUSDT,buy,64273.91163683751,0.003674626748010711,236.1826349,0.14170958094,-0.191727,9994.321418,ALLOW,b8a21ed26764afeee62c4ce81563c554f9f1ec22cce0a936bdb5d2b7cdb86e14
16,1781787180000,persona-team,BTCUSDT,sell,64276.244911448106,0.00434536183382819,279.30354146,0.16758212487600002,-0.227353,9993.947376,ALLOW,52a5bf28e09d730a95ecde966dfc4cac4abc321a822b1aaf2c838d8e396f155a
17,1781787660000,persona-team,BTCUSDT,buy,64314.98019669835,0.009282251250862497,596.98780538,0.358192683228,-0.495386,9993.357289,ALLOW,e63d5dc3761e168f1bbe0a5ff2f0e85bd4620ca2ad1f07a3a1d359410e0eeb2f
18,1781787900000,persona-team,BTCUSDT,sell,64344.415098132944,0.008760404438059087,563.68309959,0.338209859754,-0.466856,9992.890308,ALLOW,f0737f062faf43127ba0658072f1caa1791301c5b7c465a83bb40e1469f9e741
19,1781787960000,persona-team,BTCUSDT,sell,64364.4339771292,0.0033358762226712683,214.71178489,0.128827070934,-0.174082,9992.550615,ALLOW,f9563aaaec4d23f461b745701ac6ce73c08b26c682909edcb662d90afc26cf09
