seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781891280000,regime,BTCUSDT,sell,63156.148733502,0.031667542117543246,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,01abc8156b3eb4ca66a30babb78ba9e0ddacb6fb012e7ba87b0b141f5f26ae9d
1,1781891340000,regime,BTCUSDT,sell,63145.95179329801,0.03167265585839613,2000.0,1.2,-1.80014,9996.722729,ALLOW_CAPPED,41c79d890cb872037e03bcdcd2561853d4648f49ff69948e758c6a1bcfa58f03
2,1781891400000,regime,BTCUSDT,sell,63154.16093927567,0.031610353349631505,1996.32534279,1.197795205674,-1.796466,9994.406874,ALLOW,1cfa87a483063d91d17d2dddeea75d5d42d9b99d09794e7149518513084e1941
3,1781891460000,regime,BTCUSDT,buy,63129.93456222,0.03168069179651735,2000.0,1.2,-1.79986,9998.503443,ALLOW_CAPPED,680758912e2a143ea534649dd868c2309b7a15ab7f762cbbca84037c8ff77003
4,1781891520000,regime,BTCUSDT,buy,63139.837532418,0.03167572293756911,2000.0,1.2,-1.79986,9996.077211,ALLOW_CAPPED,fb6b7f0a26c3dda0402ee70aac58cfc7dd2cb0fc4df093b61aacc76f0ead8fa3
5,1781891580000,regime,BTCUSDT,sell,63148.55101335001,0.031671352198994834,2000.0,1.2,-1.80014,9992.804784,ALLOW_CAPPED,e855d45cc35bf07064747f91f371157c7d47b008b7abc51c231cf92ae9bef27d
6,1781891640000,regime,BTCUSDT,buy,63198.855233598,0.03164614283925752,2000.0,1.2,-1.79986,9990.220432,ALLOW_CAPPED,217da77c25c64af6388a44e2186f9e8c99db908b44485203223e256b417efafd
7,1781891700000,regime,BTCUSDT,buy,63175.23855524664,0.03160986716264887,1996.9608987,1.19817653922,-1.796822,9989.169827,ALLOW,cf4749234158e446b34ab5bf797e3f34dacd7952749a0ca618b577d29e41f857
8,1781892420000,regime,BTCUSDT,buy,63107.127721763994,0.03169214116062919,2000.0,1.2,-1.79986,9987.370613,ALLOW_CAPPED,c497751ec04462edee07a26a2e72cdd0d1be54532b9f8ee7ce878b7db3c9168d
9,1781892480000,regime,BTCUSDT,sell,63068.47889980606,0.03169216745032591,1998.77679413,1.199266076478,-1.798917,9985.54635,ALLOW,2b4e0f61dd306b771a29f205c194fa46076ff6852c8fbfa350e0a37d7522064d
10,1781894340000,regime,BTCUSDT,buy,62979.58946921399,0.03175632005314437,2000.0,1.2,-1.79986,9983.747694,ALLOW_CAPPED,a4e2c30077a862eae361e83ee06c2457f4e7ad4564e2cd8dfcdf59d1496a705b
11,1781894400000,regime,BTCUSDT,sell,62993.697480252,0.03174920793666673,2000.0,1.2,-1.80014,9983.595214,ALLOW_CAPPED,91e06426f71ce63a8e8c9c1ca4d810f6b68dc84ab12d7a9a4528ac5d8201cdf3
12,1781896740000,regime,BTCUSDT,buy,62993.593669493996,0.03174926025800848,2000.0,1.2,-1.79986,9981.795444,ALLOW_CAPPED,701844af0477795898aaa6e2e66ecbf9bce04521a92f3da447e66f6f8a5c3da3
13,1781896800000,regime,BTCUSDT,sell,62967.60649357845,0.03175639298206333,1999.62405695,1.1997744341699998,-1.799764,9980.370293,ALLOW,a29eea84baca4d883690189d9086709ae6941b4a2373c028375aa1aed95cbe48
14,1781897160000,regime,BTCUSDT,buy,62927.37380817,0.03178267070380006,2000.0,1.2,-1.79986,9978.571176,ALLOW_CAPPED,633540df3e8addef6a4292a776d197460ce6565c2a739f6b7f7832010391c458
15,1781897220000,regime,BTCUSDT,sell,62934.51523906801,0.03177906419716816,2000.0,1.2,-1.80014,9978.19765,ALLOW_CAPPED,cdcf1409a2a08c305021a419efb185bdeec167505ba4656e43d2e9b95f97dd29
16,1781898600000,regime,BTCUSDT,sell,63073.773451854,0.031708900396242454,2000.0,1.2,-1.80014,9976.396686,ALLOW_CAPPED,79c504f7c9bc21f348ea98ba5512bffd8c4ff8f4fe603df494a7225730479b7c
17,1781898660000,regime,BTCUSDT,sell,63060.177531582005,0.031715736908579956,2000.0,1.2,-1.80014,9975.027867,ALLOW_CAPPED,2a8d39d69f7d286f055fd0438b7d6dd4d7ac32318c3873217d5605bbc5bf030c
18,1781898720000,regime,BTCUSDT,sell,63041.227991218126,0.03150006205663744,1985.80259385,1.19148155631,-1.785951,9974.447097,ALLOW,c9822876329304bf34652dda8adb931b9bcb514791baffff4eee09fdc81df77e
19,1781898780000,regime,BTCUSDT,buy,63068.516140992,0.03171154360963442,2000.0,1.2,-1.79986,9973.644008,ALLOW_CAPPED,cde42a2d006f16505ad2bff3c3f28779e14d409c8f6b148e95367d2507b86087
20,1781898840000,regime,BTCUSDT,sell,63058.89243880452,0.03164338123392243,1995.39657363,1.197237944178,-1.795537,9970.065693,ALLOW,0ae0e9f5013307ee2e4423718930a393acdd027701696d97f21d2cd72dfb92c1
21,1781898900000,regime,BTCUSDT,buy,63089.02229140199,0.0317012362430059,2000.0,1.2,-1.79986,9968.996274,ALLOW_CAPPED,f5eab57210ebe67efc42d1850937b75e2c0c909012d53bf6544e36aff0bd4c51
22,1781898960000,regime,BTCUSDT,buy,63039.707500416,0.031726035530650294,2000.0,1.2,-1.79986,9970.310262,ALLOW_CAPPED,353f9e63714c479a71e05b2d6d32d15b68134b0e1b73148644e936b4672e4b94
23,1781899020000,regime,BTCUSDT,buy,63016.038451585926,0.03142578693932736,1980.32859814,1.188197158884,-1.78021,9969.271922,ALLOW,89cd6869baec6492dac81ef757fd94c5acef59847f9c123ee2f8262a919bd6c5
24,1781900400000,regime,BTCUSDT,buy,62958.983288801996,0.03176671374799224,2000.0,1.2,-1.79986,9967.472599,ALLOW_CAPPED,906fce8b15c5af63ec2f5ca3d382d0ea4b468142aa7eb5542b43ad9098b2fc69
25,1781900460000,regime,BTCUSDT,sell,62951.11102060863,0.03176684533026476,1999.75820716,1.199854924296,-1.799898,9966.622245,ALLOW,d315a51d12e2672a3f2ae2e03ce0d9b3846d110ff2e7eb455c4a195f6bcb9993
26,1781900520000,regime,BTCUSDT,buy,62983.190549286,0.03175450437740126,2000.0,1.2,-1.79986,9964.822439,ALLOW_CAPPED,848bc41c468622a9664485ec5030d7c3c165deb7b7251104bc949d79cea91d4f
27,1781900580000,regime,BTCUSDT,sell,62947.51490659882,0.03175449925888111,1998.86681545,1.19932008927,-1.799007,9963.090097,ALLOW,49b368032e580742ca09e26adf700891197f2690d306c723c102abbe4ae41c6a
28,1781901960000,regime,BTCUSDT,sell,63126.657582912,0.03168233637862347,2000.0,1.2,-1.80014,9961.28825,ALLOW_CAPPED,dcb86726cb9ac4e22688fc9668ae9305833dfff7b33bbf77e0b744f3f6638cd5
29,1781902020000,regime,BTCUSDT,sell,63156.54861351,0.03166734161233399,2000.0,1.2,-1.80014,9958.540523,ALLOW_CAPPED,7a926726f942cf396ba659daa5edf8d1ff54ad87135947001f9158cba13c21a6
30,1781902080000,regime,BTCUSDT,sell,63121.23510787296,0.0313042625931371,1975.96371902,1.185578231412,-1.77613,9959.007309,ALLOW,5b3e80e5b136803f5200aced1a78bd00852781f6ccbfae712dae4411bade3f0d
