seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781784600000,swarm,BTCUSDT,sell,63975.111194336896,0.010218727846116972,653.74425022,0.392246550132,-0.544391,9999.455609,ALLOW,94ddff9c6d55b33898d2b5def3320e090a8d385f59b392cc7df3ecdf9af75db5
1,1781784660000,swarm,BTCUSDT,buy,64003.59064560238,0.010216350425566751,653.88311053,0.39232986631799993,-0.544458,9998.924435,ALLOW,1c262624d907ee48ab035990599002897b799bf2d76799e0733822421cd8ccec
2,1781784720000,swarm,BTCUSDT,sell,63974.78944420412,0.009348414035369401,598.06281955,0.35883769173,-0.496358,9998.428075,ALLOW,9745661cee05d330afcfcdb48c1e2f1b0490397596e90c59325b2db75f66d910
3,1781784780000,swarm,BTCUSDT,buy,63985.90838998397,0.009348641996831232,598.18135038,0.35890881022800003,-0.496412,9998.102782,ALLOW,1a1c81ef53bed4a3ef9d95744329d73382b4a3cf9c6c1f96d9942bc733647ae7
4,1781785020000,swarm,BTCUSDT,sell,64028.75960251031,0.011863858185692824,759.62812373,0.455776874238,-0.636587,9997.466039,ALLOW,3b993667b058223042b21d37ac518718c3109de3668b5ca99a35cc2befe15ce7
5,1781785200000,swarm,BTCUSDT,sell,64067.079172621336,0.00441069497797176,282.58034436,0.169548206616,-0.230067,9996.799304,ALLOW,22d5aefe4b6b738297fcf9654e68e6fa56db197dfcebfb1077f04255627816cf
6,1781785440000,swarm,BTCUSDT,buy,64130.911011379416,0.0033406469434370794,214.23873185,0.12854323910999998,-0.173679,9996.029897,ALLOW,3cc188c8e63b084d9a5af482ad2e197d484adc4766008072ff768c49d39c6014
7,1781785620000,swarm,BTCUSDT,buy,64133.44081251432,0.0034828778359637636,223.36893955,0.13402136372999998,-0.181182,9995.816375,ALLOW,5994213ee4213be0b9abef68d93edb8bf403ba1e73ff21a1fa009dd71e192217
8,1781785860000,swarm,BTCUSDT,buy,64159.87465530369,0.009451000977444628,606.37503808,0.363825022848,-0.50346,9995.074695,ALLOW,a2429600afef3ea770f1dac34f630fe65b5c5a819beb0cf1455fe40a43c3e88b
9,1781788740000,swarm,BTCUSDT,buy,64323.93860719785,0.011971218024168577,770.03589324,0.462021535944,-0.645643,9994.428695,ALLOW,ba6f7df2693eeb7f575a0ff745a60efe01642a5e1037cb8b278733bbd7a15039
10,1781788800000,swarm,BTCUSDT,sell,64340.05125188849,0.011971896452870655,770.27243136,0.462163458816,-0.645917,9994.342929,ALLOW,7424f3e216aca10c2486b252f4e2397f4ea82f11e6cc418aa96b745acdf99783
11,1781788920000,swarm,BTCUSDT,buy,64348.607297715316,0.009371007731217981,603.01129648,0.36180677788800003,-0.500566,9993.842425,ALLOW,d9a887cb43366fa4b25ae49052e391b444027225cbe83a536cd0f2d91dc1a0ab
12,1781789040000,swarm,BTCUSDT,buy,64332.24331995795,0.004731555089352338,304.39155329,0.182634931974,-0.248135,9993.45002,ALLOW,5f4d35e9c9c79f7bd1aeced042230da6445b98c3305919c5f3389149f19e17d8
13,1781789100000,swarm,BTCUSDT,sell,64377.39908552463,0.014103168185683173,907.92528666,0.544755171996,-0.767598,9993.73708,ALLOW,a14249cac4c4bc8910b93f85e918eff77c5902cfa85b2d68b70ddf119e9893be
14,1781789220000,swarm,BTCUSDT,buy,64336.35008271317,0.010559964389750924,679.38956584,0.407633739504,-0.566562,9993.170767,ALLOW,9d87c3b8bdf1f9d7af92ee25d3fcd36edeac2133858948faeb9ef3db01694cb0
15,1781789340000,swarm,BTCUSDT,sell,64310.551715672365,0.010558973888798343,679.05343634,0.407432061804,-0.566327,9992.649833,ALLOW,4a77ef658e4994a051d4aaf876b9ebf0bc66e8a2a08b493f7fca5e803206760f
16,1781789400000,swarm,BTCUSDT,buy,64331.84973592834,0.010564116031323267,679.60912512,0.407765475072,-0.566753,9992.083102,ALLOW,27008b528f38bf853dbc9632bfe8210545af8976b8f8648ca3ae281ee9f27b79
17,1781789460000,swarm,BTCUSDT,buy,64260.73449136121,0.0071910522350491024,462.10229839,0.277261379034,-0.380341,9990.959221,ALLOW,d35c1d69e7280134a03dc6a9097fe1c776f96c0f35c996e867e96a1bada4537d
18,1781789700000,swarm,BTCUSDT,sell,64027.43409857326,0.004674661730926205,299.30659591,0.179583957546,-0.243935,9987.072432,ALLOW,6187d6a317deb732ae9203c49b5b316aba5c160e832ea47c616bbfaa3f2318fd
19,1781790060000,swarm,BTCUSDT,sell,63901.16001310851,0.0037106775370174586,237.11659905,0.14226995942999998,-0.192512,9985.225548,ALLOW,89a494f24e80aa176695d29c6b846f6aa2b6bb7ddf5f0fc9bfda5ea1dabfbfbe
20,1781790120000,swarm,BTCUSDT,sell,63912.40134353319,0.009369513156942129,598.82808528,0.35929685116800003,-0.497016,9984.844688,ALLOW,da34d49722219f771e3779b76ac0054caf14908f330ab74cc213bbba17214824
21,1781792400000,swarm,BTCUSDT,sell,63930.07426344559,0.011436191464555254,731.11656962,0.43866994177199997,-0.611651,9984.232998,ALLOW,cb19059890b3dea701e194dad7c46b59974819bacb21aad9bf3efcecc6856481
22,1781792580000,swarm,BTCUSDT,sell,64036.13732180303,0.0051367562633732305,328.93802947,0.197362817682,-0.268572,9982.765687,ALLOW,aee6c97fb4ab44e44c7dc4dd097775abfc45761fd3b56dfe9deb957b73388d64
23,1781792640000,swarm,BTCUSDT,sell,64042.32232653237,0.0037404035820037436,239.54413183,0.14372647909800002,-0.194512,9982.473382,ALLOW,9307b666db86c3a6e0412781cf663eaa9012c961adb31437e42232d804cd1e86
24,1781792700000,swarm,BTCUSDT,buy,64002.32765688113,0.006491410390686498,415.46537478,0.24927922486799997,-0.340988,9983.507754,ALLOW,f00c5943887404f7cd96c4f82b0f1ed68146cbc1b696d2ff1b04716c8b0f2db3
25,1781792760000,swarm,BTCUSDT,buy,63929.20717718213,0.013820720329930189,883.54769331,0.530128615986,-0.745831,9983.7932,ALLOW,16cb2a2b011bd89a1be53443cb12176fee649037894adb8a6a40222a610d2e39
26,1781798700000,swarm,BTCUSDT,sell,62585.91417202921,0.01105971008168718,692.18206594,0.415309239564,-0.57773,9983.219901,ALLOW,746a79f906c6d333352bd3a620be8e024257698c550b0260f6a798c1e7414913
27,1781798820000,swarm,BTCUSDT,sell,62599.85259380179,0.0042120609374423235,263.6743938,0.15820463628000003,-0.214425,9982.866082,ALLOW,005764d56caa69fa3cacdaf5f99e86fea1ae6c49217860a9f85ce8757c94a193
28,1781798940000,swarm,BTCUSDT,sell,62652.43654437007,0.0057611942313588295,360.952856,0.21657171360000002,-0.29529,9981.762737,ALLOW,213a5f7f99aebd9515ff2dc0dec4aa060148cca22a25cba89d3be8fb9bcb12eb
29,1781799240000,swarm,BTCUSDT,buy,62624.4378937153,0.009258363007649224,579.79977917,0.347879867502,-0.480625,9982.460147,ALLOW,d39d619ce370a9ea7793a1aa1449171bebe3526a626fec464903c274750ed6ce
30,1781799300000,swarm,BTCUSDT,buy,62579.91905699129,0.011775188099539036,736.89031815,0.44213419089,-0.616631,9982.373524,ALLOW,999412b90a897bcbfce905ef4ba61d60de8a91316c5c83c04f3047d5aafbe0af
31,1781799600000,swarm,BTCUSDT,sell,62660.56196069359,0.014787495470935027,926.5927762,0.55595566572,-0.784246,9981.588969,ALLOW,bf477e35191cba36f198aa9e0adcde2334d073059cc9669e819f7c18ae8e9004
32,1781799840000,swarm,BTCUSDT,buy,62689.678076049524,0.004286441397003478,268.71563127,0.161229378762,-0.218574,9981.365958,ALLOW,a2e8f0580c8788b521a8a72e593c685f261fb8a67649369bcd4b3666739e3754
33,1781799900000,swarm,BTCUSDT,buy,62660.49113380286,0.010501397196917641,658.02270595,0.39481362357000005,-0.548041,9981.137234,ALLOW,b87fceac33f66d9fab6b2a14953fd2564b59f37f9de9a4f20811b7e66f706971
34,1781799960000,swarm,BTCUSDT,sell,62677.61819696598,0.011422448651609036,715.93187546,0.42955912527600004,-0.598404,9980.538717,ALLOW,6cfb952ee005494f9f7f5c7c8623819032b0fe94790e5e7c4167c5ee3e5392cc
35,1781800020000,swarm,BTCUSDT,buy,62657.97115231526,0.011422201244279432,715.69195606,0.42941517363600007,-0.598134,9980.502688,ALLOW,7f2ad9a522151dc9d99a753981979582565109c43c6bb56a4c9fac818c5bb096
36,1781800920000,swarm,BTCUSDT,sell,62662.4382263941,0.010832301192105404,678.7784043,0.40726704258,-0.566088,9979.936509,ALLOW,cf456939a1facbad0155f9eb67660daa2f7755a2b0d34b9e08984215263abe97
37,1781800980000,swarm,BTCUSDT,sell,62686.8971128467,0.0033764904140808592,211.66170719,0.12699702431399998,-0.171576,9979.515727,ALLOW,6cb7e78dbdc84dfe318cdaed9144c5b22d5ed901794da0c2faa0f75107316aff
38,1781801220000,swarm,BTCUSDT,buy,62703.0308236499,0.014208010247631953,890.8853045,0.5345311827,-0.752352,9978.939598,ALLOW,fd98bf0a9bbb7a8673d1e55c689efbe9f51c4bd3691091e3680c15991c61d044
39,1781802000000,swarm,BTCUSDT,buy,62638.222913125,0.012223421617051776,765.65340801,0.459392044806,-0.641801,9978.298021,ALLOW,d9a8de9f66ea0092fde1cb7abb1535b7e451e42671281751778680a0e7302c94
40,1781802120000,swarm,BTCUSDT,buy,62571.291591430454,0.004492713877725045,281.11491008,0.168668946048,-0.228834,9977.270003,ALLOW,f84c27a00e2ff6b26664bea9572238e79f4365bd76e3e0b3906e0cb0da1ae0ec
41,1781802240000,swarm,BTCUSDT,sell,62526.41823406104,0.004984194965772614,311.64385899,0.186986315394,-0.254182,9976.714993,ALLOW,705bcd67d33fdbf92f469f2fa854d1c9b53b1579f119a6a953154ef736a0716b
42,1781802300000,swarm,BTCUSDT,sell,62546.393410814206,0.011731242312416625,733.74689687,0.440248138122,-0.613948,9976.350861,ALLOW,31686d6c5e45b4a025767499749c9660f2565641bfdc0164b33fdcaa0370a5db
43,1781802360000,swarm,BTCUSDT,buy,62531.307567271004,0.009226079947222476,576.91884282,0.34615130569200003,-0.478154,9975.87283,ALLOW,b4a237a8486c5c765f3bbb958a33743803230914f4eae2feabb094d724e8b586
44,1781802420000,swarm,BTCUSDT,sell,62511.89262846402,0.009225414449016499,576.69811749,0.346018870494,-0.47801,9975.479674,ALLOW,2a41509d2590d8f09b15e6f280b2f201951e98d9b749499fe8c5aec0448acd0a
45,1781804160000,swarm,BTCUSDT,sell,62630.905009934635,0.009005947130582405,564.05061926,0.338430371556,-0.46717,9975.012252,ALLOW,77ad9dbbd5f604822ab3bb11ddbed917a5a1854c7965ffb419548e023bec9853
46,1781804220000,swarm,BTCUSDT,buy,62631.19015678323,0.009006002797775513,564.05667378,0.33843400426799997,-0.467131,9974.800049,ALLOW,975412b3494fee4e4082861beab18a89a45fb6cf51de3afae732a9ecbf1d4d7c
47,1781805120000,swarm,BTCUSDT,sell,62648.60020337078,0.00900731440587939,564.29563912,0.338577383472,-0.46738,9974.332575,ALLOW,bb783f2513c473a76874cc6d2c8c75ef0460e5b93bc68239440d33c0edfbb24a
48,1781805240000,swarm,BTCUSDT,buy,62588.07936266609,0.009007314244512163,563.75049878,0.33825029926800004,-0.466869,9974.66844,ALLOW,ce24356ba0a0a5289dfe90ce08b648eb85bcb03442ae3d3a559beea810e7a03d
49,1781806620000,swarm,BTCUSDT,sell,62696.87566322635,0.009577755434824786,600.49534163,0.360297204978,-0.49845,9974.169708,ALLOW,d1af2f2bfc0fd95c751e519e57d09bee1f2436e5d3aca5412e29fcdedc9d94b8
50,1781806800000,swarm,BTCUSDT,buy,62874.46549133682,0.009577606885468833,602.18691361,0.36131214816600005,-0.499857,9972.245333,ALLOW,7a9f1f4e376872f706d4421a411ab7a97d7ba24eef72667af37229bc53b4930e
51,1781807760000,swarm,BTCUSDT,buy,62775.67199156874,0.009233381620317008,579.63173597,0.347779041582,-0.480481,9971.765069,ALLOW,ad66b3560f25e3ae4d70e39a5a4994c6c0c9e934b27be1a8c7710ce87662fc70
52,1781807880000,swarm,BTCUSDT,buy,62711.865993854924,0.006234236293149209,390.96059099,0.23457635459399998,-0.320397,9970.861262,ALLOW,3d46c554ecb9441d17f084fcf1ba8cb694cea3a359a69c1ef7fbce8c7298d879
53,1781808000000,swarm,BTCUSDT,sell,62696.855018871844,0.004088012764322097,256.3055436,0.15378332616,-0.208338,9970.840056,ALLOW,6acbff67576f50be0141a2187142ad38be9bf6d0a84d1460674245fcb86e5d9f
54,1781808060000,swarm,BTCUSDT,buy,62664.249521760335,0.0041703479549252695,261.33172484,0.156799034904,-0.212471,9969.952905,ALLOW,c8d28e1f0e24dd95055768dba48b3cb6289b0e29215c20c23dad99cfff88e58b
55,1781808120000,swarm,BTCUSDT,sell,62670.63878786954,0.004709800928934077,295.16623278,0.177099739668,-0.240499,9970.228591,ALLOW,4e95299b3c547732600bd5632c2e1d0e16b15b63a78d570233ec836465d2ada7
56,1781808180000,swarm,BTCUSDT,sell,62735.117139562404,0.010840484724641159,680.07907905,0.40804744743,-0.567217,9970.373427,ALLOW,85b604691442215dfd3b806ef2e2061d692c8121707af02eb1d9615b0dc0c016
57,1781808840000,swarm,BTCUSDT,buy,62644.296445079846,0.013099590115429447,820.6146065,0.49236876389999995,-0.690126,9969.683607,ALLOW,b5e75113a0658974bab3c7b686cbb54d7d6077e469e5ee13404127fba45b13e8
58,1781808900000,swarm,BTCUSDT,sell,62663.0926181358,0.013100211099897377,820.89974147,0.49253984488200003,-0.69045,9969.634913,ALLOW,ab104d6e4562925cfd8b0deea2fd44e8512ab57c47061d3d2a3881e735b49664
59,1781808960000,swarm,BTCUSDT,buy,62661.3865863102,0.011496120673419308,720.36286176,0.43221771705600004,-0.602206,9969.032807,ALLOW,d1f46e598071940670dff9d533d66c1b9d3d6dcd62e3f809905f1906a8934542
60,1781809020000,swarm,BTCUSDT,buy,62609.41527791836,0.005079606423543235,318.03118802,0.19081871281200002,-0.259471,9968.190642,ALLOW,96d66edc6568c001ebe8047e7f86cc3394ccc88a56fbe258e166ed3a6edab4de
61,1781809080000,swarm,BTCUSDT,sell,62661.76984452345,0.007107971539666417,445.39807668,0.26723884600799996,-0.366254,9969.146879,ALLOW,ef296fcd87fe29cab523d13190a6dc8e3662c37efc2d572a21d208281fbdb548
62,1781809200000,swarm,BTCUSDT,sell,62669.104687834704,0.0094667720530746,593.27412885,0.35596447730999997,-0.492242,9968.728462,ALLOW,8befe6a2313cf77f4a89d2ef735748933c45b82b092ecf046527d2d5ccfa52a1
63,1781809320000,swarm,BTCUSDT,buy,62676.89440039318,0.009986532579158445,625.92484789,0.37555490873400005,-0.520304,9968.208204,ALLOW,b6951683691f5f0a5d60471f32c9d8831d8c4596f4ad244cb8cb5021fbfd5dda
64,1781809380000,swarm,BTCUSDT,sell,62675.90077359159,0.00998666827495732,625.92342986,0.37555405791600005,-0.520353,9967.967413,ALLOW,ab51c912552421f1f7da5b759ec120daa83f011e60eb9f20139a9042b3f156d1
65,1781809440000,swarm,BTCUSDT,buy,62648.843602483685,0.011804156140093258,739.51673188,0.44371003912799994,-0.618926,9967.348617,ALLOW,bbc5800e88eda96a98a64f055e081fb0ac8575fb6e4a9b92c8c2ad8ca451e8d5
66,1781809560000,swarm,BTCUSDT,sell,62645.95177406337,0.011804643644446515,739.51313646,0.443707881876,-0.618986,9967.04592,ALLOW,f079b4a9e0f7cfeef4c020a7f9984bc3716016224f151e24f71ccaabfe93e1a3
67,1781809920000,swarm,BTCUSDT,buy,62626.29966879647,0.009060920710963429,567.45193572,0.340471161432,-0.470039,9966.576018,ALLOW,69100fb0a76bc9abd7d7183a0fc49332a8cc2714d4ed42df33039ccb2c85e667
68,1781809980000,swarm,BTCUSDT,sell,62630.694421003405,0.009060192440237499,567.44614412,0.340467686472,-0.470079,9966.404857,ALLOW,e35be6f87d0530a832d94bb7019f0e574f79fffdd3b144e4b385686ab86901de
69,1781810400000,swarm,BTCUSDT,sell,62689.570093683666,0.01114192283319512,698.48235243,0.419089411458,-0.583209,9965.821525,ALLOW,8d0830786781de53e4aec7c58c7ee47cf8876dcab1cc96070dcabdb84495af15
70,1781810520000,swarm,BTCUSDT,sell,62724.08511187403,0.007461100173008449,467.99068228,0.28079440936800004,-0.385361,9965.059497,ALLOW,d0b18e0d684258850cf6ed27872cccec21ac9c44900798b0561b545f31e0f807
71,1781810640000,swarm,BTCUSDT,buy,62720.37810826397,0.004251188199467635,266.63613128,0.15998167876799999,-0.216855,9965.421261,ALLOW,02aa4ad55236711f158ea3868022f5eca535f0f3d2cc5e212bd6f836e69a92a3
72,1781810760000,swarm,BTCUSDT,sell,62758.290415943855,0.006376073280484722,400.15145865,0.24009087519,-0.328142,9964.15868,ALLOW,e3461c740b7232acd20db7658ddda4f07d65a7cb6111b62af2a562c2c939788a
73,1781810820000,swarm,BTCUSDT,buy,62772.18222895663,0.0037047643854688627,232.55614512,0.139533687072,-0.188741,9964.243575,ALLOW,78813e87a3f90044a6787e9ae189dc5de4b74e416d77a569f5b74ace9d857753
74,1781810880000,swarm,BTCUSDT,buy,62754.71506771537,0.0038913979551415787,244.20356989,0.146522141934,-0.198336,9964.34318,ALLOW,8fa38fdb8e8f2f807aa17273ecb04b381e2e356a2db1e0d38c7e267fb125af76
75,1781811240000,swarm,BTCUSDT,buy,62793.37484337293,0.003643287665309238,228.77432803,0.137264596818,-0.185629,9963.649272,ALLOW,b843374810b065cb47dd0333d52352c2bae4da4f9fead5f9c52a87735f14cb81
76,1781811300000,swarm,BTCUSDT,buy,62791.6263521492,0.009488346617090092,595.78871548,0.35747322928799996,-0.494355,9963.182439,ALLOW,944e32ef68563357a4893abebfa34cc0890194f59ef202fb404aeb28d9435313
77,1781811540000,swarm,BTCUSDT,sell,62844.154880772636,0.008982760987095632,564.51402273,0.338708413638,-0.467567,9962.714695,ALLOW,955fd4811f079fb9fc685f5a434ea634e9ff4ea4106d2e9f585f8e680c74bb99
78,1781811600000,swarm,BTCUSDT,buy,62867.54620768348,0.00898289109208115,564.73232081,0.338839392486,-0.46771,9962.294605,ALLOW,edfbab01e7d86dc80049a5ddb8ebe34c3f3706da00ea41ecc72f66f4455ba06e
79,1781811720000,swarm,BTCUSDT,sell,62845.41672473567,0.009680476275218125,608.37356561,0.36502413936600003,-0.505229,9961.789362,ALLOW,4acc70f5ff442d0bbfad0ee21e61e0b3e540818e2aa6c051f7d1776ccc8bd82f
80,1781811900000,swarm,BTCUSDT,buy,62959.607991236444,0.009680295438383824,609.46760604,0.365680563624,-0.506122,9960.458289,ALLOW,80875ed5941f3446e8ce6ebb17547166c0ab308c644d1f03439cc840330c1133
81,1781811960000,swarm,BTCUSDT,sell,62932.34348884218,0.009430869430839293,593.50671442,0.35610402865199997,-0.492441,9959.965844,ALLOW,b3c64c8cfddbcf370707835077e9a1089f1f7b9460c3d77a8834fc3f8fcf8816
82,1781812020000,swarm,BTCUSDT,buy,62962.35930023863,0.009430934296926027,593.79387374,0.35627632424399996,-0.492641,9959.462826,ALLOW,801e3b011fb82a45334b178e60efa58f0200125f08fae2306c39c86dfe489a2e
83,1781814540000,swarm,BTCUSDT,buy,63097.86350783365,0.010783025001718632,680.38583976,0.408231503856,-0.567427,9958.895106,ALLOW,2f2397ce93fc34dcacb857b93b3d8544207a846bb711e2ef29c2ccef14dc1114
84,1781814660000,swarm,BTCUSDT,sell,63078.63635573249,0.010783381966344369,680.20102974,0.408120617844,-0.567323,9958.438827,ALLOW,da9ed63a3bdace208786125c640970762dab95006227a9e31a87ae63fc5186e2
85,1781814780000,swarm,BTCUSDT,buy,63093.140346926724,0.014191240365381712,895.36992007,0.537221952042,-0.75634,9957.682527,ALLOW,697d032720395f5784543ff71a35379588566296f0780ee74afdbe513b078af0
86,1781814840000,swarm,BTCUSDT,sell,63094.35337929277,0.014192190740540673,895.44709781,0.537268258686,-0.75649,9957.381495,ALLOW,c25e25db18e03ef8b095158c50872cd31d9eb888bc0fcb6accfa70986abe77d7
