seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781812680000,persona-team,ETHUSDT,sell,1705.2240581128033,0.2395961092421866,408.56504971,0.24513902982599997,-0.335213,9999.664787,ALLOW,14ba4fe86ff3c79ec0e55c3999e23f227e78dd9a673f5514fddcf8c4cd84c17b
1,1781812740000,persona-team,ETHUSDT,buy,1704.9715719956657,0.3484469990514952,594.09222773,0.356455336638,-0.492897,9999.416277,ALLOW,e64106648fd23365712be132de116601076f857b3372a5f1790574a7811971cb
2,1781812800000,persona-team,ETHUSDT,sell,1707.8608650402396,0.46275977809315205,790.32931492,0.47419758895200004,-0.663529,9999.154408,ALLOW,b7a82ffa14158c66e8eb1d5223af176f8a75e91a8feef6587a22ac5f784c7b6d
3,1781812860000,persona-team,ETHUSDT,buy,1712.0563592407993,0.16380579338191967,280.44475024,0.168266850144,-0.228279,9997.715761,ALLOW,ac0a482c6c9d2cb19c919d37f69efb8896bed3b82d306a56b9fcb440907167cd
4,1781813100000,persona-team,ETHUSDT,buy,1712.0602068898297,0.19006198800749252,325.39756651,0.195238539906,-0.265601,9997.450161,ALLOW,bdc5c2721a66e7bd045f0a10b5bf4d3be14ed583bdb0a1912b02b3db11804e10
5,1781813820000,persona-team,ETHUSDT,buy,1708.6113617119704,0.13493967615841396,230.55946383,0.138335678298,-0.187098,9997.263204,ALLOW,745871a57fea7fdfe7cb04401a0064113fe4c33b9f79c8ed840b8a801d494e1c
6,1781813940000,persona-team,ETHUSDT,sell,1712.0712891961373,0.2472276525346892,423.2713658,0.25396281948,-0.347591,9997.482188,ALLOW,2a4bdbef890f851a1578aba9c17903901edf67b37153d919abc3574084f1aea9
7,1781814180000,persona-team,ETHUSDT,sell,1712.499361853239,0.12330998273860792,211.16826675,0.12670096005,-0.171171,9997.264961,ALLOW,1f6ab1b0e04b96c6ec1b71396c909c8ef8582e1a76871fdbaf89270fb184e109
8,1781814540000,persona-team,ETHUSDT,buy,1712.6883703332096,0.1765395799068661,302.35728541,0.18141437124599996,-0.246446,9997.14576,ALLOW,269bf9d1cb4d0ab47b3ca2ac6233e67d89a9df255f987950b9fa6135c43cec5d
9,1781814660000,persona-team,ETHUSDT,sell,1712.4665832285307,0.21048127617209017,360.44215184,0.21626529110400003,-0.294863,9996.820166,ALLOW,a437cadc27d562b498189708fb7304dad575472f16e1e222456606c795795912
10,1781814780000,persona-team,ETHUSDT,buy,1713.127190430509,0.16780754336620934,287.4756653,0.17248539918000003,-0.234103,9996.60763,ALLOW,aa4c3b64df208c0365ad564ed99cbfa4f92d123d17343f3ec81f1e3c9990f9d4
11,1781814900000,persona-team,ETHUSDT,buy,1712.4232705507513,0.14216215033780988,243.44177443,0.146065064658,-0.197708,9996.481163,ALLOW,556c7a8cb5f2924dd104b90ad6fd2e5335704e8486055d7aecb22e0a214c723e
12,1781815320000,persona-team,ETHUSDT,sell,1713.1114289850823,0.3126829888043812,535.66080177,0.32139648106200003,-0.442896,9996.096427,ALLOW,58a14cf72d4361231901d70ac771967d8ed59a150646a75458ff2c5b7161a0bc
13,1781815380000,persona-team,ETHUSDT,buy,1712.084959056114,0.35896690471997594,614.58183837,0.36874910302200004,-0.510526,9996.078753,ALLOW,c231bc81c57cd0f09d6532edb11d1d20339736f78e5aa3165640f05a0b15b9d2
