seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781813040000,rl-qlearn,ETHUSDT,sell,1712.6560832634,1.1677767764028124,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,fd6b19e075baa7ebed0419aa2f4ad7b04c0f2ac59f4ebc7ba1ebd1f22f771706
1,1781813100000,rl-qlearn,ETHUSDT,buy,1712.2034446703137,1.167426590935801,1998.8718304,1.19932309824,-1.798732,9998.129438,ALLOW,620918fe412ad1c3ca2869a378e75f115d90443edc366daa8ee457ebadbb5fb6
2,1781813400000,rl-qlearn,ETHUSDT,sell,1710.4767372198,1.1692646596590315,2000.0,1.2,-1.80014,9996.329543,ALLOW_CAPPED,db62a5d1efe39f8e6ca5bff58c99bb1d21820793db55524404b56485a345782b
3,1781813460000,rl-qlearn,ETHUSDT,buy,1711.0531962107998,1.1688707308627722,2000.0,1.2,-1.79986,9995.056009,ALLOW_CAPPED,420f1f0aff33af8dba66eeaa9767175b04ecf31acc11a8181684f0c389829c2a
4,1781813580000,rl-qlearn,ETHUSDT,sell,1710.3767672178003,1.169333002139241,2000.0,1.2,-1.80014,9993.255609,ALLOW_CAPPED,f6faf908ef0ceb237c2cae98a039d69834e30e25674551b3d9d87b66b072f645
5,1781813640000,rl-qlearn,ETHUSDT,buy,1711.6033612217998,1.1684950177781452,2000.0,1.2,-1.79986,9991.221733,ALLOW_CAPPED,8ff586045f28646a75acde9eebb6611bbf55ed62c2d983b78193013c34e36f6d
6,1781813700000,rl-qlearn,ETHUSDT,buy,1710.5730522012,1.1691988234155564,2000.0,1.2,-1.79986,9989.423503,ALLOW_CAPPED,af7fe388abb4e33fd1fddb87bcf186448fac42378adc1315e7bc2127f1ae57d6
7,1781813760000,rl-qlearn,ETHUSDT,sell,1710.7668111426588,1.1679669816983487,1998.1191488,1.1988714892799999,-1.798259,9989.049736,ALLOW,b41ce586c17ee809459a9654f7ced09d69f743af0089f82faaa590ad3fb436c9
8,1781813820000,rl-qlearn,ETHUSDT,buy,1708.762509165,1.170437664258748,2000.0,1.2,-1.79986,9987.250937,ALLOW_CAPPED,35591dbec640c1dcfc51731065550bd9e3bb70faf8d3ed625bdc5cb3b07dea92
9,1781813880000,rl-qlearn,ETHUSDT,sell,1709.6569832034002,1.1698253039347,2000.0,1.2,-1.80014,9987.697365,ALLOW_CAPPED,5cf5f8b5f80ea522669172c72a960ad080731fbfb05975567cb1cb709fa606dc
10,1781814900000,rl-qlearn,ETHUSDT,buy,1712.5736522411999,1.167832984807779,2000.0,1.2,-1.79986,9985.898001,ALLOW_CAPPED,e52e0a734a468b98b2e2058dae46eb10d9e647bf04a3357ecff558106facb1f6
11,1781814960000,rl-qlearn,ETHUSDT,buy,1711.1232172122,1.1688228994160015,2000.0,1.2,-1.79986,9982.404403,ALLOW_CAPPED,755fbe66ffa0fe7cf130571d4d27051f7d817bc20bf5918bffe9eac575519010
12,1781815020000,rl-qlearn,ETHUSDT,buy,1712.4873517353053,0.579246705644179,991.95265695,0.59517159417,-0.842714,9984.95022,ALLOW,7fc928e8f97ef7f5da5500d589168044f3d6b7b2504a1abedeb71e314b3e7bfa
13,1781815320000,rl-qlearn,ETHUSDT,sell,1712.98598427,1.1675518762941384,2000.0,1.2,-1.80014,9987.349357,ALLOW_CAPPED,82d800c9178837eee8802c2f6c8e56850e0f94b7db23721ab29610bbb14df022
14,1781815380000,rl-qlearn,ETHUSDT,buy,1712.203456420604,1.167506760825591,1999.00911128,1.199405466768,-1.798869,9982.385499,ALLOW,70e153054a7af05a9885bfe6f7ccc4b08987a0858c8f233d08d856a8c34f20a8
15,1781815620000,rl-qlearn,ETHUSDT,sell,1709.8869142080002,1.1696679958080016,2000.0,1.2,-1.80014,9976.823564,ALLOW_CAPPED,bbe365931f0e4aa433eef1bdcc85a4f550bc56b761a362b51c3e01c78947683e
16,1781815680000,rl-qlearn,ETHUSDT,buy,1711.7534062247998,1.1683925924884917,2000.0,1.2,-1.79986,9976.490724,ALLOW_CAPPED,1e709556411c261f6b4b89333d63315b27ef5e26879121bb7e7aeb3fa63966eb
17,1781815740000,rl-qlearn,ETHUSDT,sell,1709.2271121948002,1.1701195152654824,2000.0,1.2,-1.80014,9970.318317,ALLOW_CAPPED,d432664aed63b09ebefeea425b046984d82baa9e191308af8e60173746031fbb
18,1781815800000,rl-qlearn,ETHUSDT,buy,1711.3832952173998,1.1686452740243305,2000.0,1.2,-1.79986,9970.489996,ALLOW_CAPPED,87e11c31def710b492d3e9dca6979b2851513ab42c46b3c83947366271dd9b1a
19,1781815860000,rl-qlearn,ETHUSDT,sell,1710.1568332134002,1.1694833837210017,2000.0,1.2,-1.80014,9968.107182,ALLOW_CAPPED,c627f9ae992dd0fd254c12a3e6be37f37a363d9998d433b371e88eb740d2c97d
20,1781815920000,rl-qlearn,ETHUSDT,sell,1710.386764218,1.1693261675317121,2000.0,1.2,-1.80014,9966.708136,ALLOW_CAPPED,891957ee410bde985c7dd665b12411513800a583632c31c64db31371dc8594c1
21,1781815980000,rl-qlearn,ETHUSDT,sell,1709.863935410593,0.5747035511945754,982.66487574,0.5895989254439999,-0.83446,9965.523194,ALLOW,6d80e32abd7e2b5c27f8bbc63f0e73581b0f6d777ab22c060ffa3e6a643b729e
22,1781816040000,rl-qlearn,ETHUSDT,sell,1710.2068182144,1.1694492026924372,2000.0,1.2,-1.80014,9963.722993,ALLOW_CAPPED,2d40ec946e686e521075ebb557dbd164b8654e6c798476606a9d88adae7d149e
23,1781816100000,rl-qlearn,ETHUSDT,sell,1709.7169652046002,1.1697842629529396,2000.0,1.2,-1.80014,9962.495953,ALLOW_CAPPED,ccaea9a75147e109d51916ff1fb21f70a9721fbab286fa7317622114a4b6e39c
24,1781816160000,rl-qlearn,ETHUSDT,buy,1710.7431032046,1.169082602907215,2000.0,1.2,-1.79986,9960.696093,ALLOW_CAPPED,32ee37b233fcb8904f7627e47af1217937fea3a70f91129a35991bf9fba9189f
25,1781816220000,rl-qlearn,ETHUSDT,buy,1710.7531062048,1.169075767126255,2000.0,1.2,-1.79986,9958.88453,ALLOW_CAPPED,e27299e2cd8364e1d8b906472d089eac0469879c2132a5b320048f1f57a878e4
26,1781816280000,rl-qlearn,ETHUSDT,sell,1708.8972111882001,1.1703454057423357,2000.0,1.2,-1.80014,9957.085401,ALLOW_CAPPED,c53a57062c219e33c365d0cee14ed8b71c4957634d4f6795cea967658238ff6b
27,1781816340000,rl-qlearn,ETHUSDT,buy,1710.162929193,1.169479215026471,2000.0,1.2,-1.79986,9955.004366,ALLOW_CAPPED,4b004d8d7cba02ee2b32c355bacfebef2ec351a13a8011844ad2a574bc691659
28,1781816400000,rl-qlearn,ETHUSDT,buy,1710.0729021911998,1.169540782406003,2000.0,1.2,-1.79986,9953.204694,ALLOW_CAPPED,6e32d7f99127d7bebe51e2229eceda9e39a457ca6bbcfc5b55e00126529f8770
29,1781816460000,rl-qlearn,ETHUSDT,sell,1710.1070984389441,1.167806474648875,1997.0741419,1.19824448514,-1.797214,9952.644983,ALLOW,5a2ad8cbca5e0c2fd736ed3f59b346d6ac12118af7698a2ea346c59f9ebf99c7
30,1781818500000,rl-qlearn,ETHUSDT,sell,1708.2973911761999,1.1707563392243763,2000.0,1.2,-1.80014,9950.845477,ALLOW_CAPPED,76a0fd1f64b554c6df26688533e9becdfdd97fa2308a20969e811310bea07741
31,1781818560000,rl-qlearn,ETHUSDT,buy,1709.0225871702,1.1702595477755506,2000.0,1.2,-1.79986,9949.396949,ALLOW_CAPPED,e4f39c78d3219a37fafda62dc0e60a5bbb449d18efd22a4669e8278bf90b71ea
32,1781818620000,rl-qlearn,ETHUSDT,sell,1705.338279117,1.1727878418559698,2000.0,1.2,-1.80014,9947.599061,ALLOW_CAPPED,a032faf62653ec3442b2f41ab8ec3ec3a9894548017a9af98054848efb75fecd
33,1781818680000,rl-qlearn,ETHUSDT,sell,1704.8584231073999,1.1731179392331321,2000.0,1.2,-1.80014,9946.362266,ALLOW_CAPPED,80629d26c640d87623864318c292921773794e481f65ec55e4d2b8abeb30bce9
34,1781818740000,rl-qlearn,ETHUSDT,sell,1705.5461781559222,0.5681390403909746,968.987369,0.5813924213999999,-0.822182,9944.132032,ALLOW,db09d41d02287d0765f561d970ff987afb55cc59d8351846ce04c8bad912db01
35,1781818800000,rl-qlearn,ETHUSDT,buy,1705.6715821031999,1.17255866896362,2000.0,1.2,-1.79986,9944.693235,ALLOW_CAPPED,1357336ea88cc4f798d1012b08cc333c868edd66ca112dc7dda76c8b32721fde
36,1781818860000,rl-qlearn,ETHUSDT,buy,1705.8616391069997,1.1724280294191847,2000.0,1.2,-1.79986,9942.562331,ALLOW_CAPPED,44cb744f6c14f00fb4ed0fc4bc9d4a8c88a4903db9e8dc63a5b3a7f2a93bd73d
37,1781818920000,rl-qlearn,ETHUSDT,sell,1704.938399109,1.1730629100999772,2000.0,1.2,-1.80014,9940.705201,ALLOW_CAPPED,30fb2b63de4bd80fcf8553ab050805ea8ba82043df33242a8e855399a03d2b05
38,1781818980000,rl-qlearn,ETHUSDT,buy,1706.1217171121998,1.1722493066820705,2000.0,1.2,-1.79986,9938.626466,ALLOW_CAPPED,a33ec7940fa63bc7c633baa760ba9073e8959f29d9eb44609ce5d2b282b0d0d2
39,1781819040000,rl-qlearn,ETHUSDT,sell,1705.1083481123999,1.172945990331965,2000.0,1.2,-1.80014,9936.820619,ALLOW_CAPPED,50f88beed3ca5b07d447238f0ef6c495b6450ef4c361c321e05cb2662bb44595
40,1781819100000,rl-qlearn,ETHUSDT,buy,1706.1317201123998,1.1722424338187911,2000.0,1.2,-1.79986,9935.020759,ALLOW_CAPPED,fe5f0ee22c1a1405a3ae96a21f21f9b905f29e5167c66e8fca6bc42469bcb488
41,1781819160000,rl-qlearn,ETHUSDT,buy,1706.834501747378,0.5712801055121383,975.08059425,0.58504835655,-0.827558,9933.741777,ALLOW,1252f0a6071d20e731cc669cd364ad72c1f44a6509df851e44dd61dfbf628228
42,1781820660000,rl-qlearn,ETHUSDT,buy,1706.1417231126,1.1722355610361017,2000.0,1.2,-1.79986,9931.942028,ALLOW_CAPPED,f8474eb4e4fc0747db922b2ebbc4f135ee8f304003415d364820fcc1c73f040f
43,1781820720000,rl-qlearn,ETHUSDT,sell,1705.8081409854037,1.1724451524393993,1999.96648589,1.199979891534,-1.800107,9930.950666,ALLOW,62dd597b5d235024673c77ab86f008108b7d7f86269845969a2490ab27158c89
44,1781820840000,rl-qlearn,ETHUSDT,sell,1705.5182251206,1.1726641032279657,2000.0,1.2,-1.80014,9929.150628,ALLOW_CAPPED,ec4dad2e9b61cb7447ee128b39d63b85f0a44f0606008e38fe46397d160c629b
45,1781820900000,rl-qlearn,ETHUSDT,buy,1706.9319601284,1.1716928657481782,2000.0,1.2,-1.79986,9926.893292,ALLOW_CAPPED,eefff0f17858a43655a07108b80490f1dc80a137fe2ec38bf44361abd3c24fdf
46,1781821020000,rl-qlearn,ETHUSDT,buy,1704.4512160788,1.1733982064920163,2000.0,1.2,-1.79986,9925.096713,ALLOW_CAPPED,876d685d903448b65c13cdf39395866b9b8fc2cd32ba76d1954c098abcb92c67
47,1781821080000,rl-qlearn,ETHUSDT,sell,1702.3091880564,1.1748747019825971,2000.0,1.2,-1.80014,9921.983848,ALLOW_CAPPED,c995d7c27f2f0cafcb49a22ba7434da2e9197a0bdd6c3a9fe265a18229d4f68b
48,1781821320000,rl-qlearn,ETHUSDT,buy,1703.0007810498,1.1743975823470365,2000.0,1.2,-1.79986,9920.184912,ALLOW_CAPPED,3b866f9b02386641b4b128a7acb131faa9b83564e15b3889017b9e191182572e
