seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781815740000,swarm,ETHUSDT,buy,1710.158366377689,0.5225415185277886,893.62874969,0.536177249814,-0.754791,9999.245209,ALLOW,7dcca95830fdaf902bfbea293e84c4eae5d63d51976c4e0eb1cf61262c3110d8
1,1781815800000,swarm,ETHUSDT,sell,1710.4513748153006,0.5226694081827007,894.0006078,0.53640036468,-0.755203,9999.080478,ALLOW,7175fc715997ead9ebab66d4014271a700d1236c7b6219bc91c93a09afe4026a
2,1781816160000,swarm,ETHUSDT,buy,1710.6475272508624,0.515836644231501,882.41467992,0.5294488079520001,-0.744825,9998.335735,ALLOW,4c76966f0e1afb9d5e1384ccc43a332ea7d490b35fe965b0ff91c964deec8585
3,1781816460000,swarm,ETHUSDT,sell,1710.2024467677718,0.5158346670695597,882.18170975,0.5293090258500001,-0.744697,9997.792164,ALLOW,f09a2b2ade06b160d8fe92b738080f47f0039a40b11f102808b31f3c04f21c8d
4,1781817000000,swarm,ETHUSDT,buy,1705.68718819648,0.5233310618483556,892.63908738,0.535583452428,-0.753911,9997.038927,ALLOW,2c6664425f3e8781abcd23ca9a1d7cf4504870895cd378c41a2ffb9497520c14
5,1781817360000,swarm,ETHUSDT,sell,1703.6532450541915,0.5233331380363379,891.57819886,0.534946919316,-0.753049,9995.658032,ALLOW,741967e0f5b02c8eecd3ad8f4ed015eee6d1b8172fd3483502b330488f344004
6,1781818500000,swarm,ETHUSDT,sell,1708.3908594298687,0.5302845933115867,905.93335211,0.5435600112660001,-0.765824,9994.891601,ALLOW,e1f84ead9241eb59f4db9bbe1098ca4fd7e5cdece0850854ce50f9510d788171
7,1781818620000,swarm,ETHUSDT,buy,1706.2683677968146,0.5302825276883675,904.80430299,0.542882581794,-0.764736,9995.696887,ALLOW,c5e9181b03540d6f33a3ccdebf14206c20170c280bd2260e20fcf80cbca778e6
8,1781819880000,swarm,ETHUSDT,sell,1707.9710963986672,0.529496693806408,904.36504866,0.542619029196,-0.764427,9994.93213,ALLOW,85883adf0faf401751539f7b7b2f1874f5f891186f719a182ed67068f5197b21
9,1781820000000,swarm,ETHUSDT,buy,1707.4185874047791,0.5294969058490581,904.07285902,0.542443715412,-0.764084,9994.904226,ALLOW,5470493a99835278407753e98ff49ae983f4035609cb6f500bc3c653cd95a421
10,1781821140000,swarm,ETHUSDT,buy,1703.1466298082892,0.5245462410013172,893.37916254,0.536027497524,-0.754569,9994.150212,ALLOW,1581e3411dc923109ac8fa09bd7a381900523e570a4c2781270e474eae1928d2
11,1781821440000,swarm,ETHUSDT,sell,1702.56338456239,0.5245447228735899,893.07063873,0.535842383238,-0.754376,9993.52694,ALLOW,baa50abf0db22751dbabcfd4a0bc537c06d875998c2285c6533c8780f0147f1b
12,1781822880000,swarm,ETHUSDT,sell,1704.3146476890909,0.5811896005547311,990.52994931,0.594317969586,-0.841528,9992.685186,ALLOW,b3c03a7d05f147dd5140e1f17731b7ce0fa5d11edc2dcd6f29a3d3f81b0242d8
13,1781823000000,swarm,ETHUSDT,sell,1705.5805527318323,0.1256395501383818,214.28837337,0.128573024022,-0.173734,9991.81387,ALLOW,56547b1816c64ab37481c6c4b3ec322acd19d79f2c65990ae993ca131f77c834
14,1781823240000,swarm,ETHUSDT,buy,1706.456070456127,0.17059275935078014,291.10904977,0.174665429862,-0.237114,9991.470712,ALLOW,790aa229e787041f64f9c3717c855c836fcfa2998ccd750425c0014bd376fb0b
15,1781823360000,swarm,ETHUSDT,buy,1706.6093330144615,0.5362329246632833,915.1401139,0.54908406834,-0.773944,9990.643132,ALLOW,1f386e95de12ada3ba6f7fcfdfcb33e250f79617bee7a8fc47ad94e50e5c68ec
16,1781824200000,swarm,ETHUSDT,buy,1703.4782877723683,0.5353161760180033,911.89948294,0.547139689764,-0.771056,9989.872488,ALLOW,12ab999e949a47f40acd68a6172061ccdb79508f166925d5da14f4cedcda3158
