seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781838900000,baseline-momentum,SOLUSDT,sell,68.73037607502,29.099215139125338,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,e4d6c27b2b603c902971b7b9959e8aad6a0aae4d322c7ec1a5d09cee8d41d134
1,1781838960000,baseline-momentum,SOLUSDT,sell,68.77836167598001,29.078913066033024,2000.0,1.2,-1.80014,9995.002958,ALLOW_CAPPED,706f2ec20b15e5c6438437a14961e39e173299a45b6cc15f2b248f5cf107df0e
2,1781839020000,baseline-momentum,SOLUSDT,sell,68.80281986976487,14.43359192631582,993.07182538,0.5958430952279999,-0.843814,9992.937403,ALLOW,754aa21e50bba10936e89e1de04a005365cf22cc4a5539213f590c876209f37e
3,1778461200000,baseline-momentum,SOLUSDT,buy,96.03680432016,20.825349345575432,2000.0,1.2,-1.79986,9998.20014,ALLOW_CAPPED,4d9aa0db257d4740ace1ed80b3f616c1bacc92ababa48c79e96dbc4f6e058755
4,1778464800000,baseline-momentum,SOLUSDT,buy,95.3035844055,20.98556956147999,2000.0,1.2,-1.79986,9981.135299,ALLOW_CAPPED,56bbfbd4ba1e407cb796f79123f7a72100043d75f2b7545169483cc4dfcb56b9
5,1778468400000,baseline-momentum,SOLUSDT,buy,94.75777181121646,10.746793478415869,1018.34220413,0.611005322478,-0.866476,9957.649116,ALLOW,735200884103d012648fb49855ac1ceb99e56ab3363cc5e4206f382d4d59d158
6,1778504400000,baseline-momentum,SOLUSDT,sell,95.15544670368,21.01823983053881,2000.0,1.2,-1.80014,9979.499946,ALLOW_CAPPED,c040a086d63f99f2ba334ed4bfa76cd5e67d21f81c4fcf540c8f7c12d0f0c1f0
7,1778508000000,baseline-momentum,SOLUSDT,sell,95.07547070208001,21.035920045739463,2000.0,1.2,-1.80014,9975.176648,ALLOW_CAPPED,f673882501dd385e6027167d886c6bf9d3fef1194b237293adc97b5379c2d8a7
8,1778515200000,baseline-momentum,SOLUSDT,buy,97.3041844455,20.554100642200012,2000.0,1.2,-1.79986,9996.180001,ALLOW_CAPPED,14d6eecc900caa668cd5480630a3734f3d22cf446d4c2edb3db551c6041ac637
9,1778518800000,baseline-momentum,SOLUSDT,buy,97.75117203205784,20.15336863678654,1970.01540464,1.1820092427839999,-1.769924,10008.292848,ALLOW,07ee05851c38b3f455ab680bf073b902179bb254593c620e071af71cdc90f01a
10,1778583600000,baseline-momentum,SOLUSDT,sell,94.9165183989,21.07114792806368,2000.0,1.2,-1.80014,9864.2797,ALLOW_CAPPED,724be628970057fe8e4b637726cad7335239142771d551211c7a8fb81940b610
11,1778587200000,baseline-momentum,SOLUSDT,sell,95.15344730364001,21.018681473703076,2000.0,1.2,-1.80014,9869.62271,ALLOW_CAPPED,b328eeab9b6cc5ffaf6345892b7b1e9869693a1186af48cac4b478a43830fe33
12,1778590800000,baseline-momentum,SOLUSDT,sell,94.64260059342001,21.13213275480354,2000.0,1.2,-1.80014,9863.161641,ALLOW_CAPPED,1fb0f3944cf689e2059d71d06a9d43ac59c271290a7435c0cd67b3daa1a33f4d
13,1778594400000,baseline-momentum,SOLUSDT,sell,94.49864379054,21.164324902197322,2000.0,1.2,-1.80014,9863.091076,ALLOW_CAPPED,7da628dc93e22e0b516194b1d72029898749736643fd89128096bc32a961f3b4
14,1778598000000,baseline-momentum,SOLUSDT,sell,93.80464895988776,19.51046640356395,1830.17245203,1.098103471218,-1.631735,9884.516151,ALLOW,df6106d76722b232c18e5a284bdb24299faa0b71c26c7c4eba48588f9ca186b6
15,1778662800000,baseline-momentum,SOLUSDT,buy,95.70770561357999,20.896958998003807,2000.0,1.2,-1.79986,9785.405744,ALLOW_CAPPED,4239dabdf651317d57adb2abd1222f337e2da845b063e6bac9be2ef55bb5bc12
16,1778677200000,baseline-momentum,SOLUSDT,sell,92.23032444516001,21.684841856858007,2000.0,1.2,-1.80014,9892.354996,ALLOW_CAPPED,701719e06271b84317ea12121314259bc433797aeba1c0662c5cef97b3925e10
17,1778727600000,baseline-momentum,SOLUSDT,sell,89.87911294642514,2.248635495551345,202.10536368,0.12126321820800001,-0.163733,10018.388993,ALLOW,88458e7756af2df6b24ada64e4379bddaeed49dc36a33b28131e9314928a0ac9
18,1778767200000,baseline-momentum,SOLUSDT,buy,92.25767084460001,21.678414181611252,2000.0,1.2,-1.79986,9886.644846,ALLOW_CAPPED,233ff61e27ab60499f43da91f3c872cc6658a0ea2db98c737fb285f1085eb7c7
19,1778770800000,baseline-momentum,SOLUSDT,buy,93.14393666232,21.472143777331567,2000.0,1.2,-1.79986,9854.682147,ALLOW_CAPPED,f124dc633b54778d2900221e8c64b65c38bdcad8e1e496cc25c1992b9abbc030
20,1778774400000,baseline-momentum,SOLUSDT,buy,93.32199006587999,21.431176066735336,2000.0,1.2,-1.79986,9850.644526,ALLOW_CAPPED,a863b236330fc24474b8baf2d508353ecc7096e5e9de99136a1affa594e4c880
21,1778778000000,baseline-momentum,SOLUSDT,buy,93.00489495954001,21.50424449025034,2000.0,1.2,-1.79986,9846.036209,ALLOW_CAPPED,e612dc21d317eaf0c4e7885d8027a0adbf93c7a459dc85c71e78e380d51538aa
22,1778781600000,baseline-momentum,SOLUSDT,buy,93.43102276806,21.40616618277792,2000.0,1.2,-1.79986,9857.171298,ALLOW_CAPPED,74f08c5d8f7f13ea044247681b0d887ed067a776880011bfbffbee727ef6c854
23,1778839200000,baseline-momentum,SOLUSDT,sell,91.40657162868,21.8802648908503,2000.0,1.2,-1.80014,9753.436235,ALLOW_CAPPED,d29bd71e38837ab9a43c0767ec55eebf55621c000adf1f6269b26e94b94c6185
24,1778842800000,baseline-momentum,SOLUSDT,sell,91.20063342456,21.9296722500768,2000.0,1.2,-1.80014,9745.478831,ALLOW_CAPPED,6b45deacc059ee6b1f703d69bf602569cc9b6c23b553a2c68454983b07929639
25,1778846400000,baseline-momentum,SOLUSDT,sell,90.61980771294002,22.070230013458865,2000.0,1.2,-1.80014,9739.053956,ALLOW_CAPPED,60085dd334760ee34996eddce34c4335e1f47f4b30175aae18ce09b0f2ababe5
26,1778850000000,baseline-momentum,SOLUSDT,sell,88.83134437716001,22.514575390285692,2000.0,1.2,-1.80014,9762.497093,ALLOW_CAPPED,21784f4535794a8b86e5d69cbacc8c7952ba957c272c46d07591448b87aa9cf5
