seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1778601600000,funding-carry,SOLUSDT,sell,93.7818588762,21.32608613186234,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,909b2c13baf24ef4c154ff47910050910c82a5e0451ec40559793dba93c744e4
1,1778605200000,funding-carry,SOLUSDT,sell,94.47065218998,21.170595879639002,2000.0,1.2,-1.80014,9981.706047,ALLOW_CAPPED,27ee1710838ef2f50624ac43d0e1ef798d20cbf3eb684010ffe0ade1bf484915
2,1778608800000,funding-carry,SOLUSDT,sell,94.50849670641858,10.293841485512997,972.85548413,0.583713290478,-0.825652,9979.478004,ALLOW,b871bd22bf80695b6e07213ac5837498cf875bed65d18d45ef24c12747ceeeef
3,1778659200000,funding-carry,SOLUSDT,buy,95.56466271072,20.92823794140435,2000.0,1.2,-1.79986,9925.66928,ALLOW_CAPPED,485c837780e06ae5024de22ab32674aaff0bb62419d92c57ac30d70f382fa170
4,1778662800000,funding-carry,SOLUSDT,buy,95.70770561357999,20.896958998003807,2000.0,1.2,-1.79986,9919.313113,ALLOW_CAPPED,6a719c9fc109bcd6ebbf29eeccbf49957515a03d6f7b5a63de550d64bedd6f6a
5,1778666400000,funding-carry,SOLUSDT,buy,94.7768744466902,10.962564374228357,1038.99758731,0.623398552386,-0.885124,9928.581882,ALLOW,f7dfc51f84edf5b717922bfae7b9acbdbc21fc1d0d792cdbf9ff8ad7cf5c0c7d
6,1778688000000,funding-carry,SOLUSDT,sell,90.80675161668002,22.024794020190743,2000.0,1.2,-1.80014,9926.792592,ALLOW_CAPPED,6000fb8f31c2054d7de8dcbe203928c866171715162818f0364355d86a4fe8d1
7,1778691600000,funding-carry,SOLUSDT,sell,90.83874201732,22.017037616160128,2000.0,1.2,-1.80014,9924.28757,ALLOW_CAPPED,b1ff88c9bd5b3c3ab2285100da76f5cd2d70d0b720513a978cfde474b660fa79
8,1778695200000,funding-carry,SOLUSDT,sell,90.88046856655326,10.536293037362316,957.54324819,0.574525948914,-0.811924,9921.845997,ALLOW,2e498fff1304093fa06f8d3e7a926560af5e9b09b63655fe3867f7e95d9f5153
9,1778716800000,funding-carry,SOLUSDT,buy,91.20435492354001,21.928777432576265,2000.0,1.2,-1.79986,9905.563743,ALLOW_CAPPED,6025ed3cab17773ca47ceb151a84e7859cc87dd303aa067559be23a596ef6406
10,1778720400000,funding-carry,SOLUSDT,buy,91.14833812241999,21.942254145257476,2000.0,1.2,-1.79986,9905.592401,ALLOW_CAPPED,f1d6238b0fc228f4c90a62bcbea99c1a38a43c7cae00772816afdf15c2eddf36
11,1778724000000,funding-carry,SOLUSDT,buy,90.55549696292337,10.707194599097464,969.595328,0.5817571968,-0.822637,9911.06716,ALLOW,421b4eb4ebc9c4fe70842aa36b34d4b0f8b79d35a1c921f61d07758780c34f14
12,1778803200000,funding-carry,SOLUSDT,sell,92.35828604772,21.65479769694549,2000.0,1.2,-1.80014,9909.262149,ALLOW_CAPPED,3968dd4eabd7160871db2bd8a91c34ef0c00524dca7a687833c90bdb91bd1373
13,1778806800000,funding-carry,SOLUSDT,sell,91.68348853422,21.81417867027953,2000.0,1.2,-1.80014,9922.080793,ALLOW_CAPPED,60ee293686c01c090231821399a9f418ad764c11c127cfef649dfe0b81cc761e
14,1778810400000,funding-carry,SOLUSDT,sell,92.30222396585114,10.120836458995994,934.17571356,0.5605054281359999,-0.791018,9894.59819,ALLOW,77f26cfa24009225aa4730ca272000dc6ccd77b69cc42855c57da2b24ddab4ff
15,1778850000000,funding-carry,SOLUSDT,sell,88.8389928370454,3.1329276444018785,278.32613656,0.166995681936,-0.226544,10080.665751,ALLOW,cfe468f3c9366b362f3d25d9acf1bc73aa6b2915c873565c674274b50dc27cdf
16,1778922000000,funding-carry,SOLUSDT,sell,85.97875231920446,2.838133042383021,244.0191379,0.14641148274,-0.198201,10244.268721,ALLOW,0ca863b5bbd0023d33951ab8b34f3f9222028c7008af86018448a87e2f3bfbd1
17,1778947200000,funding-carry,SOLUSDT,buy,86.62398113196001,23.0882946484908,2000.0,1.2,-1.79986,10206.825919,ALLOW_CAPPED,955be2654888e83710a4545960b59f73cfb2abfb44f6dd67978b24042b4311f4
18,1778950800000,funding-carry,SOLUSDT,buy,86.78202853512,23.046246253515676,2000.0,1.2,-1.79986,10199.262971,ALLOW_CAPPED,1fca485e05217b57eb1793928c0a8462b3b67fedbe338d76c852c18860d0df93
