seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781812620000,persona-team,SOLUSDT,sell,69.4335313550303,6.551921065398064,454.92301673,0.272953810038,-0.374303,9999.625697,ALLOW,c57ba481099c48978865229259b992fc2688e8fff4f0a64c6cbf2efe2ea50af6
1,1781812740000,persona-team,SOLUSDT,buy,69.36725931964251,9.928670976409414,688.72469432,0.41323481659200006,-0.574668,9999.693117,ALLOW,e613c4dc2a58e27c022230d2141f77fe830d4f7c19686f3169220fd27c9c7004
2,1781812800000,persona-team,SOLUSDT,sell,69.51226954520929,11.692792518180939,812.79254526,0.48767552715599993,-0.683301,9999.610877,ALLOW,51f1ef2627b533e47d80d1adba70bd79d87221140213a0d1803f8e5c1060a5a4
3,1781812860000,persona-team,SOLUSDT,buy,69.66867519317434,3.064776230464608,213.51889974,0.12811133984399997,-0.173088,9998.398284,ALLOW,9495d23040116004cc4966570297e4631efdf6e5699606341023555d78b3530b
4,1781813040000,persona-team,SOLUSDT,buy,69.81824075491865,5.250120067858864,366.55414689,0.21993248813400001,-0.299948,9997.315897,ALLOW,4364ba233c4f3c9201906909daa8ecf3885cd1ee42e9cea42b8aa1a6a6f62175
5,1781814000000,persona-team,SOLUSDT,sell,69.86022976493798,3.261358578501982,227.83925964,0.13670355578399998,-0.184875,9997.13094,ALLOW,60e8d6275d445670928c6590db5986fd36f483079f1a76e5d5c05d501aa769d7
6,1781814060000,persona-team,SOLUSDT,buy,69.80075241123896,3.261815355923593,227.67716607,0.136606299642,-0.184726,9997.236577,ALLOW,2842b9cc00a1a4d67f6e24f22abe027e3b2326e759eef8e75b35a1ccdfd0bf86
7,1781814180000,persona-team,SOLUSDT,sell,69.78211430073257,3.8068957766906064,265.65323622,0.159391941732,-0.21606,9997.020509,ALLOW,1fb38586ba905862fe901a3b15447148e57a778436631b4a93a6f7f4e26907b8
8,1781814600000,persona-team,SOLUSDT,buy,69.7601902291768,5.098867300554341,355.69795284,0.21341877170400003,-0.290872,9996.927632,ALLOW,4cb35f51585398c397785e403754b3381c4f6f9acc7ba07a16ed8a5f09810e1e
9,1781814720000,persona-team,SOLUSDT,sell,69.80767863117352,5.570587817488966,388.86980415,0.23332188249000002,-0.318671,9996.709681,ALLOW,e00de6e5dc60e50346e40fc70ac3edc42904d731d56ee126de660f1e113f555a
10,1781814840000,persona-team,SOLUSDT,sell,69.85925500263069,3.1588552514865786,220.67527453,0.13240516471799998,-0.178982,9996.312454,ALLOW,4b00942f277727a45665c32c790d804480e24f44ef74811fdc6bd7ac18ba3c89
11,1781814900000,persona-team,SOLUSDT,buy,69.78515473149935,9.037116027276452,630.65654029,0.378393924174,-0.524386,9996.569075,ALLOW,599da57df5e67d34496a8bf2ff215368d6357a0e43c1345306b2fb1c75a740db
12,1781815080000,persona-team,SOLUSDT,sell,69.80293673208638,4.516162170080914,315.24138223,0.189144829338,-0.257173,9996.390251,ALLOW,26f493a7b0a5f7bb073b45664961720454778e4a5d66fbabb5aae3cc876cc735
13,1781815140000,persona-team,SOLUSDT,sell,69.82622874642979,3.296601465130244,230.18924799,0.138113548794,-0.186808,9996.136346,ALLOW,c0fd8d3fd07d15b8e1a79fe4c1950d2887eb8bde84d1da1f0218a51939014d7e
14,1781815380000,persona-team,SOLUSDT,buy,69.83131772203782,5.553202848521066,387.78747249,0.23267248349400002,-0.317735,9995.973957,ALLOW,f62053db9fb8a4b328147c7b82a8bb74dbaac289d44c5e8c25a5fde6fd674b04
15,1781815440000,persona-team,SOLUSDT,sell,69.83454168409912,6.105702332361495,426.38892404,0.255833354424,-0.350217,9995.601279,ALLOW,143f7b1e92862a463c8cb4559d312a4ff44c9199851fb610c52a849f84463fe7
16,1781815500000,persona-team,SOLUSDT,buy,69.7941893396058,9.169499715456036,639.97779929,0.383986679574,-0.532435,9995.556018,ALLOW,5292c22838061264d49007589d5b34a02139a62259a564b89c39f7e7b50571c2
17,1781815800000,persona-team,SOLUSDT,sell,69.81347303297203,6.408286832238038,447.38475995,0.26843085597,-0.367932,9995.310649,ALLOW,5c5e892280aa17afebec85b0b9206f62f8a288686433609ec0ff22e20139a1b6
18,1781815860000,persona-team,SOLUSDT,buy,69.81512663047066,4.784703308325835,334.04466736,0.20042680041600003,-0.272803,9995.153993,ALLOW,e3957ca94f5a0cb0a8c24fa339207dacb3324d51d89b9dc215084c7ecda14cc0
19,1781815920000,persona-team,SOLUSDT,sell,69.83429308698523,7.125099958414722,497.57631877,0.29854579126200004,-0.410459,9994.782515,ALLOW,24447b83de0e01339f025524d0c494b2b500d33e5edd32b0c0cd31047e12678b
20,1781816280000,persona-team,SOLUSDT,buy,69.80314050258517,8.95926470194903,625.38481279,0.3752308876739999,-0.519838,9994.662443,ALLOW,07c7e7ffeb8e5cf52ea6863c2586b2fd65a5400d640fc24e22dfdf4928225010
21,1781816460000,persona-team,SOLUSDT,sell,69.84053642663348,10.220117725181199,713.77850427,0.428267102562,-0.596527,9994.24888,ALLOW,7b95508dbb813287ee773cb4177890a1932af6f734ad6790d744a79e72c95718
22,1781816520000,persona-team,SOLUSDT,buy,69.8051293879381,8.911485079454483,622.06736901,0.373240421406,-0.516977,9994.249134,ALLOW,0e02c861cf1c73632f8cc54206b566eb1dfe10a04c92b3b063b7deef0803360f
23,1781816880000,persona-team,SOLUSDT,sell,69.82893096906996,4.515110547799344,315.28534276,0.18917120565599999,-0.25721,9994.063707,ALLOW,6518d7a58269a96469e69e81064448d241ec4b116fe5b0b2f4f0f22fdfccc976
24,1781817000000,persona-team,SOLUSDT,buy,69.76686966698665,7.885145180883972,550.12189614,0.330073137684,-0.455208,9993.907027,ALLOW,e2799bd370ae96a4358d9b522c09854632207044b9b7935d271840745208b13c
25,1781817540000,persona-team,SOLUSDT,sell,69.56332207322288,3.1532510531787126,219.35061859,0.13161037115399998,-0.177894,9992.920328,ALLOW,5c8643849e8df37322dc6048ea23ebd59817849c8b43e4fb3e497acf21bf55bf
26,1781818080000,persona-team,SOLUSDT,sell,69.6402210450504,3.499374096936766,243.69718563,0.146218311378,-0.197935,9992.839581,ALLOW,23eb510bb94ab5f10de92fd20d6f855d26ed1cf07d06cd1d6cce8381b5e0034a
27,1781818200000,persona-team,SOLUSDT,sell,69.64229373723254,3.1977950462154006,222.70178192,0.133621069152,-0.180649,9992.654977,ALLOW,7f6f50a7b911dd59e571583bf5f9a80baba30736b244e42293993c7500e2d009
28,1781818560000,persona-team,SOLUSDT,buy,69.67596267870277,4.242865076916422,295.62570875,0.17737542525,-0.24086,9992.393416,ALLOW,e7f9591e605ed5e7bae82d4844d878578b53514f639dfacaa8d6832ac28b8a92
29,1781818620000,persona-team,SOLUSDT,buy,69.5568905466627,4.057588133855149,282.23321371,0.169339928226,-0.22976,9992.27461,ALLOW,cc7666093dc49844d74135840b003df83d8f456489e26d539e15f702141e2a26
30,1781819640000,persona-team,SOLUSDT,sell,69.46435064953603,3.125866844210546,217.13631055,0.13028178633,-0.176074,9991.901648,ALLOW,e28848235f0ef3506dc078f5238331748320d674ff0c20ed6f292d2b51015539
31,1781819700000,persona-team,SOLUSDT,sell,69.52860950863192,6.1321357161193895,426.35886966,0.255815321796,-0.350192,9991.551413,ALLOW,ea881513a841761e4593efd8cac6fa25b14d4d2c1878fde6c88b4455dc879e29
32,1781820000000,persona-team,SOLUSDT,buy,69.54514896003587,5.137616161773129,357.29628127,0.21437776876200001,-0.292207,9991.345065,ALLOW,8ccb4142e6493d088d91e58d9be0ad1b382f92a7e480e6b58d867e489a93362d
33,1781820060000,persona-team,SOLUSDT,sell,69.56167564769494,5.825703747742146,405.24571452,0.24314742871199996,-0.332423,9990.965869,ALLOW,601c0eff6bcfd15d5aaf3d75ea7d947bd5c161b1b6010c4bf7f0eb3e10af493a
34,1781820120000,persona-team,SOLUSDT,buy,69.53355264175632,6.819356743973539,474.17410114,0.28450446068400004,-0.390563,9990.977738,ALLOW,252332319c91cba026fa77e86a9779a7309c324938dd6a9d2d8efcdfd3ec2af4
35,1781820240000,persona-team,SOLUSDT,buy,69.45068455650971,3.303691811753264,229.44365789,0.13766619473400002,-0.186179,9990.791683,ALLOW,2d9c3f63809e8882f68d6b8859cc3d92617b7868d7973cc6ca55762597ac8d63
36,1781820360000,persona-team,SOLUSDT,sell,69.49326235580703,3.4648631658300526,240.78464501,0.144470787006,-0.195535,9990.833905,ALLOW,64ba9dbc8a3d3cb5a9139a193997655f57d231b6ec27d17f7eed980c1f03a61c
37,1781820540000,persona-team,SOLUSDT,sell,69.5179145036943,4.881096672886638,339.32366119,0.203594196714,-0.277228,9990.552609,ALLOW,4cb8f8d0f6a1fc2cb19036e6d0d607a9862d5d0eedf5dbcda15310355eac06f5
38,1781820600000,persona-team,SOLUSDT,sell,69.60013476030296,8.019883080001815,558.18494313,0.33491096587799996,-0.462148,9989.671826,ALLOW,b906c9572aba9c80addceae14ff4d3c9f73308b0cef3101c9488160bac0cb426
39,1781820660000,persona-team,SOLUSDT,buy,69.56088266423573,8.15597314482745,567.33669094,0.340402014564,-0.469941,9990.129407,ALLOW,ed118ad4a2cb29faff754ae9048668af280154380c6e65e25736e273d7a884d2
40,1781820720000,persona-team,SOLUSDT,sell,69.57295430186693,4.663514425192284,324.45447599,0.194672685594,-0.264839,9989.653537,ALLOW,c6994a8963ce3c9062392cf0a3508e66cbef1ec003753b63c75be618d7c479e8
41,1781820960000,persona-team,SOLUSDT,buy,69.5732229635519,5.416142056512289,376.8184589,0.22609107534,-0.308541,9989.632133,ALLOW,4d88a5fdc17ec93ce4326bac075349134b8a72c41e4f616bec69cace538ed0e8
42,1781821020000,persona-team,SOLUSDT,buy,69.4786914401579,7.450857189730969,517.67580765,0.31060548459000004,-0.42752,9989.599345,ALLOW,4f77072e99ded12126d11cc6a47d4b18af93d7264ad6918866ef86172b187022
43,1781822520000,persona-team,SOLUSDT,sell,69.36741503262158,2.94765942487323,204.4715147,0.12268290882,-0.165674,9989.166712,ALLOW,98f0abc0222e713b054fe8f6b8a7fa813c5f2001cfe0b00b6a6c2e458f46b56a
44,1781822640000,persona-team,SOLUSDT,sell,69.40934506003146,3.199682071310692,222.08783697,0.133252702182,-0.180144,9989.001189,ALLOW,d150fb975523c830c37bdea7b9576d2c9cafcab950c540f30dafd3a587c27b30
45,1781822700000,persona-team,SOLUSDT,buy,69.35476002964785,3.70653432165448,257.06579842,0.15423947905200003,-0.208948,9989.031772,ALLOW,50a8d7f77474aa6fd90b475f0e8a31fc29da2e7d34822944f26fed018bb3a93f
46,1781822820000,persona-team,SOLUSDT,sell,69.38317074939918,8.1008927901276,562.06562768,0.337239376608,-0.46547,9988.616745,ALLOW,6e5e0a6256a0f5d15066546e7022044a97bb09bbd822ea0e68eb4db3b7f37ad6
47,1781822880000,persona-team,SOLUSDT,sell,69.46618188166985,7.966625753416129,553.41107357,0.33204664414199997,-0.458064,9987.55727,ALLOW,36b8a201364c321cb4d7d935014ba69c5bb0b1c414337a9ba4869e12c17a1f1a
48,1781823060000,persona-team,SOLUSDT,buy,69.55571497381146,3.332653042345655,231.80506512,0.139083039072,-0.188123,9986.471607,ALLOW,8c6699c27c8d8cc54d2d40d138379fa1e2e857028f010f923694cd9ff6e86f93
49,1781823240000,persona-team,SOLUSDT,buy,69.51894087605656,4.301782046322852,299.05533174,0.179433199044,-0.243706,9986.667458,ALLOW,b3ee84cdb0b129e35bfcb189d03a4a04f20ac3d61962b050327c77be267ee4e6
50,1781823600000,persona-team,SOLUSDT,buy,69.49088955228218,4.11586020315388,286.01478679,0.171608872074,-0.232892,9986.646752,ALLOW,a72007246636dc6a70fbfa1273fa21ccddbd8ddf4f1948921d027461016b5c39
51,1781823780000,persona-team,SOLUSDT,buy,69.47095126894452,4.390591393216634,305.01856072,0.18301113643199998,-0.248656,9986.467341,ALLOW,0ef495ed3472f0220f0561f029f39772fa5ff1e2bbd0ef05f0b4779c4839d29c
