seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781813040000,rl-qlearn,SOLUSDT,sell,69.78206049606,28.660661290059256,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,5b78d7f7943b45d90f47dbc1071285c66124897576547f20ed4b2fccb13157a9
1,1781813100000,rl-qlearn,SOLUSDT,buy,69.73991079339898,28.65206768617107,1998.19264448,1.198915586688,-1.798053,9998.809302,ALLOW,40907192587209b446ddd4ad6254ca072e3c15285a589478dbcc3855347e3219
2,1781813160000,rl-qlearn,SOLUSDT,sell,69.69608629434,28.69601589325424,2000.0,1.2,-1.80014,9997.00918,ALLOW_CAPPED,12d670e406f7f25c1bdb8f5026ef0ae0b4e381b02a7ee16fcb02b2f90d22dcda
3,1781813220000,rl-qlearn,SOLUSDT,buy,69.7059068937,28.691973021023262,2000.0,1.2,-1.79986,9996.127867,ALLOW_CAPPED,da8a759bf93576c1a44339155a31c97903b7d1115ecac4c60ae0129411febf3c
4,1781813340000,rl-qlearn,SOLUSDT,buy,69.7409173944,28.677569420109098,2000.0,1.2,-1.79986,9994.327565,ALLOW_CAPPED,cf7a34a69315a0fda6882b3f5c729ae1445f884f7bb8b458c9fc9fc63a2db563
5,1781813400000,rl-qlearn,SOLUSDT,sell,69.6940868943,28.696839131177025,2000.0,1.2,-1.80014,9992.3841,ALLOW_CAPPED,af1299f1795513486e72761e697e6bb1dba921b4e8fbd4afa73ad84cf47fcaac
6,1781813460000,rl-qlearn,SOLUSDT,sell,69.69208749426,28.69766241633564,2000.0,1.2,-1.80014,9990.584024,ALLOW_CAPPED,b8e771b1a3a6180754aaed729fa6dc030046595719dca20abee3408af2c9b99c
7,1781813520000,rl-qlearn,SOLUSDT,buy,69.66289399284,28.70968869317375,2000.0,1.2,-1.79986,9990.823963,ALLOW_CAPPED,f6d7e6ec860493d9008ae969585ecedfa51bbda1703ab75c32a28059ab639794
8,1781813580000,rl-qlearn,SOLUSDT,sell,69.67209349386,28.705897866787282,2000.0,1.2,-1.80014,9989.022809,ALLOW_CAPPED,e45621b17b1146dbdcd80a3fe71b1dd5eacd688a7bf5acbd32bc538f64b4ea53
9,1781813640000,rl-qlearn,SOLUSDT,buy,69.72991409418,28.68209470757013,2000.0,1.2,-1.79986,9986.763337,ALLOW_CAPPED,d8dd91e79558fcbfb7281817b13a334770b76113143a15239dba8518d5f92b53
10,1781813700000,rl-qlearn,SOLUSDT,buy,69.71190869382,28.68950280480989,2000.0,1.2,-1.79986,9984.964263,ALLOW_CAPPED,6bc23fb1a1d308b4f1af3d9345788db03325f51ca74beec09b3ec9cbefe66bfa
