seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1777374000000,baseline-momentum,RAAPLUSDT,buy,269.25075638339996,7.428019987257148,2000.0,1.2,-1.79986,9998.20014,ALLOW_CAPPED,9567ce06c5ca278dbdd03b11df68000c46713ab19344bcedf83e13f9a4688dfa
1,1777377600000,baseline-momentum,RAAPLUSDT,buy,269.94596489730003,7.4088901486669485,2000.0,1.2,-1.79986,10001.562754,ALLOW_CAPPED,1f0498207903ef904bdd2e0abbf6eac1b118a18d31e3bdaf91f2ad2c763f559c
2,1777381200000,baseline-momentum,RAAPLUSDT,buy,269.97743410442473,3.6909929006309805,996.48479261,0.597890875566,-0.84679,10001.383625,ALLOW,7d6699942b06774a2c05e1e4a299c871404600b378e85bbc449f1dc2dcf9e4fc
3,1777474800000,baseline-momentum,RAAPLUSDT,sell,268.5594133728,7.447141676704907,2000.0,1.2,-1.80014,9976.053048,ALLOW_CAPPED,7a22f74a2b0abad3d8a11df72938e80aaf6f1399ae1f1623261793f933b9fdfa
4,1777536000000,baseline-momentum,RAAPLUSDT,buy,270.8412272573037,7.382720886360476,1999.54518536,1.199727111216,-1.799405,9997.744857,ALLOW,b9e97380ab0edd9071b9d5b20eddf70c5bd64f662db2e387473c9c1999f83edd
5,1777579200000,baseline-momentum,RAAPLUSDT,sell,268.22951236619997,7.456301069770066,2000.0,1.2,-1.80014,9950.709185,ALLOW_CAPPED,4e64b5a35c79cfd2f557042846d3b12160495a67e57c43fa5b56e1122706e81d
6,1777582800000,baseline-momentum,RAAPLUSDT,buy,281.3727973075367,6.932390683659571,1950.58615869,1.170351695214,-1.750574,10091.821917,ALLOW,c2a2c1d48562280c36af46fe05dcd8fb5cfd7a44d2a96be99eb6890421a110ba
7,1777885200000,baseline-momentum,RAAPLUSDT,sell,279.21621558600003,7.1629077695309915,2000.0,1.2,-1.80014,10054.338174,ALLOW_CAPPED,d5ebb4ebbd3180933f013a5e424447671b4f6646294062bb5b9d7e5cc31e4671
8,1777888800000,baseline-momentum,RAAPLUSDT,sell,278.7963415776,7.173695281232093,2000.0,1.2,-1.80014,10048.011835,ALLOW_CAPPED,ba3e82620868a96d3282896f004c3f30db0ced444cd62adbea19c7af5a7ac32d
9,1777892400000,baseline-momentum,RAAPLUSDT,sell,278.81521581297625,3.6038705902765704,1004.81395639,0.6028883738340001,-0.854382,10047.175468,ALLOW,f5b3df9734673697f2decea49a9048860c291340385b65cc472797ed567ec931
