seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1777042800000,regime,RAAPLUSDT,buy,271.1613294216,7.375682971705793,2000.0,1.2,-1.79986,9998.20014,ALLOW_CAPPED,f5e5758f790713a30893cb96ff685b4456e146fa72145f481616090ab39aa7fd
1,1777046400000,regime,RAAPLUSDT,buy,270.54114340919995,7.392590919063841,2000.0,1.2,-1.79986,9991.827356,ALLOW_CAPPED,a75ce20732adcd15532b4b4b6d121be0447b6f77a36b570b60f8b9c52e404107
2,1777050000000,regime,RAAPLUSDT,buy,269.8709423958,7.4109497756403355,2000.0,1.2,-1.79986,9980.132753,ALLOW_CAPPED,fa50666e7ac04297a117d1afc6cf9bc0343bf4f5a831ec7bc596d4fdfbaa41bb
3,1777057200000,regime,RAAPLUSDT,sell,270.94869642059996,7.381471202560626,2000.0,1.2,-1.80014,10005.83485,ALLOW_CAPPED,f6da2ea59143dd6b5c1458c29d2c484b13da3cbcede0e00493e7c83bbef760c4
4,1777060800000,regime,RAAPLUSDT,sell,270.7387594164,7.387194963555152,2000.0,1.2,-1.80014,10000.927182,ALLOW_CAPPED,b6a17c4b9e49747dfdfe064d749d042ddf8454796ee72133f27ce210f23571d5
5,1777064400000,regime,RAAPLUSDT,sell,270.7587534168,7.386649461047136,2000.0,1.2,-1.80014,9999.275253,ALLOW_CAPPED,9a19b0b9a9d1616b6a6ecd95defe9f1ff468784026aec38128a2f45e3d8ae38a
6,1777460400000,regime,RAAPLUSDT,buy,268.47052236779996,7.44960743682703,2000.0,1.2,-1.79986,9997.416819,ALLOW_CAPPED,72e1fe258891bd861e7b5e99d2a8cb5dcdc8d6a4bd911d4a0325db345acbadcd
7,1777464000000,regime,RAAPLUSDT,buy,268.0603993596,7.461005074893672,2000.0,1.2,-1.79986,9992.552817,ALLOW_CAPPED,ec7106a09b58d5ddeaa00dddf0a742f234d26bbd521847946b87ff3a0f3b5e97
8,1777467600000,regime,RAAPLUSDT,sell,269.1492363846,7.430821751030741,2000.0,1.2,-1.80014,10009.420828,ALLOW_CAPPED,b0b9ff0415942a709e7b42d21d6dd5992ad9db84f42f58dce5a2dfcb7012b8fb
9,1777471200000,regime,RAAPLUSDT,sell,269.2492063866,7.428062748412751,2000.0,1.2,-1.80014,10008.371058,ALLOW_CAPPED,c4323f981de85fab36862122c84ba45fbc74a8b9bead59391982446a399ffc8d
10,1777604400000,regime,RAAPLUSDT,buy,278.22344756279995,7.1884667432588145,2000.0,1.2,-1.79986,10007.237551,ALLOW_CAPPED,a7eb82ce038505755b0075b2140a0d997f071f1c2a39d39d2d6905f20c79753a
11,1777608000000,regime,RAAPLUSDT,buy,278.0533965594,7.192863042666496,2000.0,1.2,-1.79986,10004.202794,ALLOW_CAPPED,1fa1f2e8af0fddba5849474ce9e41add9fafa2cc1fcf4288d20ed4ac792ec8e3
12,1777611600000,regime,RAAPLUSDT,buy,278.1231883507246,7.131782499626419,1983.51408742,1.190108452452,-1.78339,10003.431392,ALLOW,d3eb9771d9702e6d114483c07490c418735a5046fd02baa4196409da3401ff69
13,1777852800000,regime,RAAPLUSDT,sell,279.816035598,7.147553197677764,2000.0,1.2,-1.80014,10041.786324,ALLOW_CAPPED,7cce1aefa02578f9d100f97b5b4390e385a6c0f1d7ca29aee8988acfe1fb7937
14,1777856400000,regime,RAAPLUSDT,sell,280.015975602,7.142449625241007,2000.0,1.2,-1.80014,10042.874423,ALLOW_CAPPED,50943a729839429d8b539d4a563f15d04b96cba91727812b1cdb966b27aceb8c
15,1777860000000,regime,RAAPLUSDT,sell,279.30618858779997,7.160600379505374,2000.0,1.2,-1.80014,10035.892173,ALLOW_CAPPED,43e791b7a41578eba6d4e3957224750304f63ed10debe48c44eb6cb424ecf084
16,1777899600000,regime,RAAPLUSDT,buy,275.54264350919993,7.258404632142622,2000.0,1.2,-1.79986,10033.549403,ALLOW_CAPPED,1956a470fb6ae06fe795ca87f92a4005b7c27c94c6dfce3449cf60929b7c2829
17,1777903200000,regime,RAAPLUSDT,sell,277.23680954639997,7.214049257284027,2000.0,1.2,-1.80014,10045.506845,ALLOW_CAPPED,fa7b34f06c59e919618ac3e3c0179be5687fa25c3c6f02d41afb15ed64a96718
18,1777906800000,regime,RAAPLUSDT,buy,276.94306353720003,7.221701004009268,2000.0,1.2,-1.79986,10043.623035,ALLOW_CAPPED,8c8d6174a6f5501c722b44d12957c73811a381dcf6f96a435ebd9cef3cae6de1
19,1777910400000,regime,RAAPLUSDT,sell,276.7569535368,7.226557361761329,2000.0,1.2,-1.80014,10041.674811,ALLOW_CAPPED,f94fcb123e070ad80be213b83d9b51b508a4327b30e4c160f8c5a36fafd939e2
20,1777978800000,regime,RAAPLUSDT,buy,275.7927185142,7.25182307486129,2000.0,1.2,-1.79986,10039.674213,ALLOW_CAPPED,3cea99276a9850ef076c4d6f0a50c4d863eded393417d340e5cee5bc59479a89
21,1777982400000,regime,RAAPLUSDT,sell,276.037969282416,7.245380065645204,2000.0,1.2,-1.80014,10040.926098,ALLOW_CAPPED,4c6ca598b5d6bf19d0acf5040927fe1ac08980b7dd675672415333a01d1aeb0f
22,1778094000000,regime,RAAPLUSDT,buy,287.536240749,6.955644946842951,2000.0,1.2,-1.79986,10041.211799,ALLOW_CAPPED,34b767e6f39a8d669619daec10be0349e4ad05e462b9661582233c04c2691982
