seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1781813880000,swarm,RAAPLUSDT,buy,298.1578830251925,2.9843061331530105,889.79439896,0.533876639376,-0.751382,9999.248618,ALLOW,3ec58b25687061de9b56f8997fbba7e2dc3b6b301273b90cfa7d447bc69f227c
1,1781813940000,swarm,RAAPLUSDT,buy,298.1687455398432,0.7022591788783568,209.39173841,0.12563504304599998,-0.169699,9999.14159,ALLOW,1f8993009343b79adaf1859e6ce0609da876b6dd18f95f4b51484f6dee1954eb
2,1781814420000,swarm,RAAPLUSDT,sell,298.0372833901,0.697822924079533,207.97724858,0.124786349148,-0.168551,9998.950919,ALLOW,5df06802a8fdf20e4a8e8f2dac8f2d10fdc12056fd0e40f7e338501d08da5440
3,1781814780000,swarm,RAAPLUSDT,sell,297.87214959016734,2.9894733428592897,890.48085078,0.534288510468,-0.752073,9997.735591,ALLOW,8e397e96e15ba2c52e4e8111f5609971ea645071fcc299566037ff9f65abacc8
4,1781815740000,swarm,RAAPLUSDT,buy,298.0178070914219,2.9763164129581674,886.9952906,0.53219717436,-0.748894,9996.986697,ALLOW,8f81d87a3f3855e2cbe47d69c82051f263ec69a3bc03fef08d2a527ff44947c2
5,1781815860000,swarm,RAAPLUSDT,buy,297.82792381808315,1.210549028271168,360.53530377,0.216321182262,-0.294915,9996.150226,ALLOW,42367d949e2c5afd94a45a6dc82b1c580c9589600b03b7e7ebdf33b9db043bb4
6,1781815980000,swarm,RAAPLUSDT,buy,297.8333629602945,0.858220886973217,255.60681293,0.153364087758,-0.207744,9995.971785,ALLOW,3edd61fd8d76e33bc8720ec50ebab334025afe6e6753677057fe87633e0afb6b
7,1781816280000,swarm,RAAPLUSDT,sell,297.68245549589454,0.6766702646766432,201.43286595,0.12085971957000001,-0.163182,9995.682495,ALLOW,e3172093baceadb06e502718a92c941816b2697b902e200fab4346aee4bdd6fe
8,1781816400000,swarm,RAAPLUSDT,sell,297.73472849470846,1.2891284895131792,383.81832082,0.230290992492,-0.314434,9995.608283,ALLOW,13c8468312dfba0eef0a6b8a63909442ded738f1665e1d39e5fddffa3decd5f1
9,1781816460000,swarm,RAAPLUSDT,sell,297.8697515674838,3.079313659554976,917.23439477,0.550340636862,-0.775896,9995.272621,ALLOW,c861ebb9e86fbfb5794f512de13811081166d0666c4c1bb1b91249d401cb77b3
10,1781820180000,swarm,RAAPLUSDT,buy,297.7744337390085,3.3592107301150156,1000.28707297,0.6001722437820001,-0.850211,9994.422594,ALLOW,94c5c9dd11dd5733801c1ba4cd5b7a97991c47582d8d257f27959c2ebb7cee1e
11,1781820480000,swarm,RAAPLUSDT,sell,297.89550126685407,3.3592935833346433,1000.71844591,0.6004310675460001,-0.850694,9994.478682,ALLOW,0db55b3eebe4ce214b5c096bdf6bb716f398cb51c0eaf6806607798e7be76666
12,1781821200000,swarm,RAAPLUSDT,buy,297.3421323234502,2.8677350184010604,852.69844531,0.511619067186,-0.718475,9993.760795,ALLOW,95d5e92d1c633b3634d1f930aae6472ad65477e28083a2cb2a41f71512dd5b8c
13,1781821380000,swarm,RAAPLUSDT,buy,297.25396617782513,1.02438465802619,304.50240249,0.182701441494,-0.248227,9993.283216,ALLOW,97762089e7844f7b6f75c1f23c966cac68a0f1fc7a44e9dbc57f78e11f5b658b
14,1781821740000,swarm,RAAPLUSDT,sell,297.2569286110471,0.8170865936242253,242.88465123,0.145730790738,-0.197266,9993.591817,ALLOW,6e7915e6a6454af122c4881548c15c8c30b12017491f11910394863ea096029d
15,1781821860000,swarm,RAAPLUSDT,sell,297.2459528151405,3.0749486616843305,914.0160448,0.54840962688,-0.773026,9992.815716,ALLOW,96d0005eaf5b18b6f9b578b82977ea901610c473bf2a40487a7d2b901d975a73
16,1781824020000,swarm,RAAPLUSDT,buy,297.13530783423613,3.147490839499089,935.2306595,0.5611383957,-0.791874,9992.024037,ALLOW,b26cf85ced5537aa294aac3b6f6f0c888d88f3d9b5d641b6c5c0d61e9aae355a
