seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1778536800000,baseline-momentum,BTCUSDT,buy,81806.03608563,0.024448073708234826,2000.0,1.2,-1.79986,9998.20014,ALLOW_CAPPED,099358e984e5012d939e0298b3ed70d7d7abb48e75897a0fb999234316a6990d
1,1778540400000,baseline-momentum,BTCUSDT,buy,81713.808423786,0.02447566743710628,2000.0,1.2,-1.79986,9994.146168,ALLOW_CAPPED,db03b1a9e5ff374de60cda6bd3abb67f9285446293c261b16df5cd3baa288d3d
2,1778544000000,baseline-momentum,BTCUSDT,buy,81524.3986564851,0.012330775711769494,1005.25907487,0.603155444922,-0.854687,9984.62466,ALLOW,8ec6f4f1083d973109f0eba71ac985deecbe10a0314a82b5d964bb0878f5393f
3,1778583600000,baseline-momentum,BTCUSDT,sell,80728.475805054,0.024774405562043203,2000.0,1.2,-1.80014,9936.412929,ALLOW_CAPPED,4c456961b329db2516f29f64e5ef7f077fc8316479ec6c71fa8d85214bfbe61a
4,1778587200000,baseline-momentum,BTCUSDT,sell,80818.348836852,0.024746855494875302,2000.0,1.2,-1.80014,9937.892351,ALLOW_CAPPED,2e36f369010b05a2cd1f995c2259f31e10863a42f9175e429803e52aeebc5778
5,1778590800000,baseline-momentum,BTCUSDT,sell,80407.87200864,0.024873186543042648,2000.0,1.2,-1.80014,9931.274536,ALLOW_CAPPED,65f756b3d58762560429fe67a1fc1a7ba32fda026d9edd53e133133c31901767
6,1778594400000,baseline-momentum,BTCUSDT,sell,80484.14912016601,0.02484961351848202,2000.0,1.2,-1.80014,9928.471819,ALLOW_CAPPED,e196e2059d5ea36dec80c2f9f9ac1fb8f18433382fa0fa5330734cc6eb1ea1fa
7,1778598000000,baseline-momentum,BTCUSDT,sell,80276.34227327276,0.02388781506040859,1917.62641795,1.1505758507700001,-1.718096,9934.663146,ALLOW,5ea6ad2a9d2e106f60c574dc6eecf6a83f44342c40e6ce1a467b44e3eded2888
8,1778662800000,baseline-momentum,BTCUSDT,buy,81274.276594998,0.024608032009516397,2000.0,1.2,-1.79986,9873.860494,ALLOW_CAPPED,dd27d17bf253ea0c5f3095619bbe1326e0165b514bb2cb262bc08c697149edb6
9,1778677200000,baseline-momentum,BTCUSDT,sell,79609.11490834536,0.025112605449786583,1999.1922929,1.19951537574,-1.799332,9932.321937,ALLOW,5aa586a7eaae518e0a3a9fd04ecca7fde3dccdc8c138a80bb5956a347d4cd71c
10,1778760000000,baseline-momentum,BTCUSDT,buy,79755.42104463,0.025076665307563587,2000.0,1.2,-1.79986,9925.123372,ALLOW_CAPPED,d228888b7f68bce8f1f77f0606f820ae3c98f98f0a652cdd3f342cd741802c4e
11,1778767200000,baseline-momentum,BTCUSDT,buy,80932.874198172,0.024711837060213702,2000.0,1.2,-1.79986,9879.411482,ALLOW_CAPPED,a1aa84721d94dd4ddd80106105025d63f43989dbcd7661cabf7386cf91a455d0
12,1778770800000,baseline-momentum,BTCUSDT,buy,81256.87137465,0.024613303049518434,2000.0,1.2,-1.79986,9873.53261,ALLOW_CAPPED,f8b824155ac64febf072da3b75e608c3dd644aa7cfbf5e4c39ad59c7fd5939ab
13,1778774400000,baseline-momentum,BTCUSDT,buy,81853.75039658399,0.024433822400439044,2000.0,1.2,-1.79986,9878.958121,ALLOW_CAPPED,47365e5acd3836e919ef24bb7183892bed34b322a547ec8fa28366a8aac1190b
14,1778778000000,baseline-momentum,BTCUSDT,buy,81652.42747486662,0.02400624006669438,1960.16777599,1.176100665594,-1.760112,9869.867171,ALLOW,74d75a7603303afb50baa4d12dea2f19434787e9b7a3f247f1a0c0100ea016be
