seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1778850000000,persona-team,BTCUSDT,sell,78714.82309353635,0.0030060881422400132,236.62369632,0.14197421779199998,-0.192106,9999.807894,ALLOW,ccc87ef70056abadf809fc19a983048b3a93ae7435bdd1378f0fdaf030148635
1,1778925600000,persona-team,BTCUSDT,buy,77978.206765167,0.0030054518004726536,234.35974192,0.14061584515199999,-0.190226,10002.002929,ALLOW,cd595ce96b8b04fff1caa438511007548653919e2ebda137f9f85968746e6d3b
2,1779937200000,persona-team,BTCUSDT,sell,73217.39753500102,0.003195506917302736,233.96670029,0.140380020174,-0.189918,10001.816091,ALLOW,7433a57a9a5babd2e9a87e3e65e7c183e3ae05cbb67bba1923d0e2a22624a812
3,1779987600000,persona-team,BTCUSDT,buy,73527.7668663505,0.003195466590425254,234.95552249,0.140973313494,-0.190717,10000.776766,ALLOW,46726ce700d6868dfb6062a464ace1e6a9b74c722b41352d5caabac803887784
4,1780326000000,persona-team,BTCUSDT,sell,71113.34907442628,0.0036615082529369777,260.38211453,0.156229268718,-0.211705,10000.566694,ALLOW,d23f2cb78eb98026095f79a3892d59830361f1550c2b796a22be9ff7d4623dc2
5,1780480800000,persona-team,BTCUSDT,buy,67276.38159650077,0.003661407503860346,246.32624841,0.14779574904599999,-0.200086,10014.649702,ALLOW,2e2a310d2dec390bae9c0ecd3d0035d26110bfe85a6b41543dc164966334669e
6,1780516800000,persona-team,BTCUSDT,sell,64959.31477945456,0.00327602309618739,212.80821553,0.12768492931800002,-0.172518,10014.478969,ALLOW,ca429ade922b62f4b80486f9525778393dafb73c29d15ae375822c9cb2012fee
7,1780534800000,persona-team,BTCUSDT,sell,62130.04448819569,0.003250885989279703,201.97769114,0.12118661468400001,-0.163629,10023.605163,ALLOW,804f16364c2894f85cb8f8376d2b1567f85b1efe05c02bd26c2fb01eea0ac109
8,1780538400000,persona-team,BTCUSDT,buy,63207.29054907204,0.0032598879371364712,206.048684,0.12362921040000001,-0.166955,10016.578263,ALLOW,05d9fd9bfe25982e7487c3c32b851b07ecae4ca6fee13ae2a9d021ce900e090c
9,1780574400000,persona-team,BTCUSDT,buy,63755.3129419551,0.003267111081544516,208.29568942,0.12497741365199999,-0.168799,10014.609684,ALLOW,e17f0f4ee1de731489d8e9db14a664070fd54ede420bf00d3a6c22bed95856e4
10,1780664400000,persona-team,BTCUSDT,sell,60686.779344243485,0.005871132618010602,356.30012969,0.21378007781400002,-0.2914,10014.320379,ALLOW,6a4ec5c8af4e7eb113c483b42c68b4573ab3ef6a4e74b906b8d6175aea36dcae
11,1780675200000,persona-team,BTCUSDT,buy,61373.382100074254,0.00376715487233545,231.20303541,0.13872182124600002,-0.187627,10010.266171,ALLOW,3124ebb94d92b1fb6ad1a35935899922fd68b20c20b1b78bf9b980df519a3278
12,1780682400000,persona-team,BTCUSDT,sell,59354.59866124804,0.005270243490067304,312.8131872,0.18768791232,-0.255154,10014.205614,ALLOW,11eb7285b1319190b232080ae4616068bbe618461c60a5114bf172da16bfac1c
13,1780689600000,persona-team,BTCUSDT,buy,61594.31881314271,0.00475547707717323,292.9103712,0.17574622271999998,-0.238608,9997.641171,ALLOW,cec2d6d71620f3422b5c6ab213dd886c8df3e90eb28c28c185feda6e7d93c3a7
14,1780754400000,persona-team,BTCUSDT,buy,60774.43625085108,0.004242181450040017,257.8161861,0.15468971165999998,-0.209568,9999.574961,ALLOW,a521eabb9cbdd8400c022c3f4c52b26b60c156d1f5803e56005394bd2429974b
15,1781013600000,persona-team,BTCUSDT,sell,61509.08674684563,0.0037499354810666035,230.6551068,0.13839306408,-0.187192,10000.620398,ALLOW,df6413021719461e742b2e3b2ea229590ef137a42eb115c34401a7c29f56962d
16,1781197200000,persona-team,BTCUSDT,buy,63623.2587552633,0.0036376285692982374,231.43778372,0.138862670232,-0.187821,9995.97918,ALLOW,16f8fe7fbbe0e741ef7af01fe94a351610b7a2ba693969a9c02eb0944af1e9c3
17,1781348400000,persona-team,BTCUSDT,sell,63918.77470921819,0.003130106863283568,200.07259541,0.12004355724600001,-0.162066,9996.297168,ALLOW,e72a37aa1ed1d6e38182554618a5156c790dce676aaf5d8fb4066af8e33eb00b
18,1781492400000,persona-team,BTCUSDT,buy,65898.85492062959,0.003119454944514475,205.56850882,0.123341105292,-0.166561,9992.956015,ALLOW,92e6c5de6119f20834a3e383e5147dd625be4fbbf20116cdf0de23d8064ac0cd
19,1781733600000,persona-team,BTCUSDT,sell,64253.25633105352,0.0033468730918788906,215.04749468,0.129028496808,-0.174357,9990.371227,ALLOW,5d0701a41b6215ada828e69169a3609142e63cb9217059d6df3c26609094dd39
