seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1778767200000,regime,BTCUSDT,sell,80884.32903817201,0.024726668611618614,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,ff83a7337c129877ceb82b6cd6addccf80cfdae9f94bd42975d8b3bae580a21f
1,1778770800000,regime,BTCUSDT,sell,81208.13187465,0.024628075462776674,2000.0,1.2,-1.80014,9988.390752,ALLOW_CAPPED,51ce4155ab7e8ca86852edf1b856318d1f27be5f04eaeb83b8cda52ec4333509
2,1778774400000,regime,BTCUSDT,sell,81804.91235398265,0.023673081892199084,1936.57438934,1.161944633604,-1.736908,9956.985781,ALLOW,b5907f324e4fc499438ce7160619776f7edcdaae20c0c73b4fa27b0bbcc65fee
3,1778781600000,regime,BTCUSDT,buy,81545.557960422,0.024526167335450655,2000.0,1.2,-1.79986,9977.685794,ALLOW_CAPPED,8adc6f6adf4fc558b0cbfc6f9484caf1d3f436c6026a67fc072bdd59f4dac3db
4,1778785200000,regime,BTCUSDT,buy,81397.013407452,0.024570926085316264,2000.0,1.2,-1.79986,9983.08843,ALLOW_CAPPED,b143795298d024eabb0b50aef7a92e40b4fb66ded2d269fdb04fc041ea9e9603
5,1778788800000,regime,BTCUSDT,buy,81401.3007697717,0.023923617891167294,1947.41361546,1.168448169276,-1.747418,9981.233324,ALLOW,b9c022124afb158bff3402cfa94526a240c4c2dee18b06ad529bbd8a0b4a4d1f
6,1778850000000,regime,BTCUSDT,buy,78755.12102463,0.025395173976997847,2000.0,1.2,-1.79986,9979.452314,ALLOW_CAPPED,2f07b0407dc3fa7b5666465c03d05b57fdf988caaf182b9c7cc0dabe45bfc8bf
7,1778853600000,regime,BTCUSDT,buy,79146.138302448,0.025269710473519585,2000.0,1.2,-1.79986,9987.576647,ALLOW_CAPPED,1726585f87e7acd7ce6c868ba022264324501b4bbb7608bb756903358c7f76a3
8,1778857200000,regime,BTCUSDT,sell,79106.962372614,0.025282224724790837,2000.0,1.2,-1.80014,9986.196966,ALLOW_CAPPED,ed225ef734f83bf54283a62d3279cd0313fbe1e87ecf72f3fc868a7eae1e089e
9,1778860800000,regime,BTCUSDT,sell,79252.118815518,0.025235918356398428,2000.0,1.2,-1.80014,9987.880188,ALLOW_CAPPED,d8c1c8819e7cf9a2810d38cf6b93f70e7116274eacba45f1d5efda104b7c7343
10,1778936400000,regime,BTCUSDT,sell,77987.798200224,0.025645037379632748,2000.0,1.2,-1.80014,9985.901263,ALLOW_CAPPED,47852d5677bc5e7beafbcc84a573fc74a9b38e455c169d9bb11c3932451646db
11,1778940000000,regime,BTCUSDT,sell,78091.467092298,0.025610992781530877,2000.0,1.2,-1.80014,9981.456212,ALLOW_CAPPED,621b7c12ca56a5f89c1b8c548efe2c730d4e2cf0416efaa5da6ee20d53932402
12,1778943600000,regime,BTCUSDT,buy,78241.767054366,0.025561794873706103,2000.0,1.2,-1.79986,9974.370916,ALLOW_CAPPED,e1945076b64264223defe3ba6ffd729a19ee8922b916bcf0c2c8e5d8a4d1cfaa
