seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1780401600000,swarm,BTCUSDT,sell,68978.09812367588,0.012623661277218133,870.75614626,0.522453687756,-0.734555,9999.265445,ALLOW,f8bfc7ad9b47e4f86312f865aea7653288c0934ab48d91c3dad4da57156c465f
1,1780423200000,swarm,BTCUSDT,sell,67303.37206330319,0.0033776950124606107,227.33026414,0.136398158484,-0.184456,10020.339729,ALLOW,6343ad1b61948b6d8185bccc84cc1f888b6381d34b67a877116df92524a4e611
2,1780462800000,swarm,BTCUSDT,buy,67307.08169750641,0.015997295345073485,1076.73126473,0.646038758838,-0.9193,10019.941283,ALLOW,4a3f1b4b7e02b405a17659bab502a28c15725e3aae86e0e53f2425f8639c43c8
3,1780531200000,swarm,BTCUSDT,sell,63300.33504581065,0.013985876287057532,885.31065488,0.531186392928,-0.747477,10019.209996,ALLOW,ca076976f38237087508bb18f1d7ac8e739f04f194ef5903b2a9c8fab60bbc2e
4,1780534800000,swarm,BTCUSDT,sell,62130.036347715584,0.0032930588742126608,204.59786755,0.12275872052999998,-0.165778,10035.450217,ALLOW,3c5be469c7bedbfd7ed185a3ac3276dece9ae550073e71518980b2d28941a5ac
5,1780542000000,swarm,BTCUSDT,buy,64344.94268750951,0.01727857961424244,1111.789215,0.667073529,-0.95118,9996.728778,ALLOW,8f95166265e98b2f9323223c3d444c56b4941436003f95aa6112245c0ce46db3
6,1780567200000,swarm,BTCUSDT,sell,62369.95934306227,0.014209940709037592,886.27342429,0.531764054574,-0.748333,9995.989015,ALLOW,c5c50357fbb536a458d5ca1ddff0e6ffc818ac815f404b9045a573eb2b5f681b
7,1780570800000,swarm,BTCUSDT,buy,62535.282921721584,0.014210883371270671,888.68161219,0.533208967314,-0.750393,9993.322527,ALLOW,402bfd810dad2130dcd0966958ecac21ab5868a3703c1d05142a9917a3a76f57
8,1780671600000,swarm,BTCUSDT,sell,60390.39064122761,0.015511313384194364,936.73427463,0.5620405647779999,-0.793304,9992.536586,ALLOW,23d3d202fd7f9cee657590b73d5dcaa9974627e5a51a9c58a145b00c4609c585
9,1780675200000,swarm,BTCUSDT,buy,61375.593720926765,0.015510946479290938,951.99354934,0.571196129604,-0.806865,9976.94106,ALLOW,3815d8bc355386df04a5cb8dde5b87b06ca824be37e7b9395221b91592ce5ed4
10,1780678800000,swarm,BTCUSDT,sell,60769.65694653279,0.014548656162036195,884.116844,0.5304701064,-0.746417,9976.196855,ALLOW,22b3e7ac0b8333b0a433da124f663efe85836eb278bee517666af7d769179d4c
11,1780682400000,swarm,BTCUSDT,sell,59354.792983489424,0.004167184070017776,247.3423478,0.14840540868000002,-0.200941,9996.618257,ALLOW,796d099ac950869910c7177f36a2d2322273f8cd917f2961bbd7ca92c7fc5391
12,1780689600000,swarm,BTCUSDT,buy,61594.21253210635,0.004195140929925995,258.39640204,0.155037841224,-0.210047,9954.968453,ALLOW,1d8043b6d72e645b19fb8ee2dfed4342e0f777412f02718e3de8e119ba7eeb73
13,1780693200000,swarm,BTCUSDT,buy,61651.08702608862,0.014520985644765153,895.23454969,0.5371407298140001,-0.756219,9953.414836,ALLOW,52c2bc78a9d4fa4fa89da68a865e86babbbb7b2dbbaa4ac0d03ab23e04ff86e5
14,1781535600000,swarm,BTCUSDT,buy,67261.81742395772,0.012678886529554921,852.80495089,0.511682970534,-0.71857,9952.676287,ALLOW,afe2d33af8578904ab3f154c017ff97e75b2e256367223464b53fd3a0b78c44e
15,1781539200000,swarm,BTCUSDT,sell,67101.92229142913,0.012678406943472392,850.7454775,0.5104472864999999,-0.716823,9950.452238,ALLOW,511dca37ad2c15d2aaf998e549231d3b29f2a317d091469d60ab18bdbf73aa14
