seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1860000,baseline-momentum,BTCUSDT,sell,97.5846554066826,20.495025490073512,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,3a863815b892a9d9bc3e4359734f70e85c27aab5ec14f23d456bdb28527c7038
1,1920000,baseline-momentum,BTCUSDT,sell,97.25415110527271,20.564674898402032,2000.0,1.2,-1.80014,10003.175447,ALLOW_CAPPED,5228a69e23377eb25ad0435439ecb124d0ac6e15a1420625d203c816c119afd9
2,1980000,baseline-momentum,BTCUSDT,sell,97.01177563933264,10.538799313198853,1022.38763448,0.613432580688,-0.870223,10012.454867,ALLOW,cf7cfe2baee0d12892615f81e5c5f69692ab70aec16a00291f6c1d413820940e
3,2760000,baseline-momentum,BTCUSDT,buy,99.02923283307754,20.196056687333684,2000.0,1.2,-1.79986,9909.347071,ALLOW_CAPPED,7a0b8d4df18729a899b4640d212a3f34d7f63565f56dad44cf9fac4c720eee91
4,2820000,baseline-momentum,BTCUSDT,buy,99.2370922108421,20.153754563371727,2000.0,1.2,-1.79986,9901.021877,ALLOW_CAPPED,03205436b7fd52b738cc83c49d6e0d213d8594d902451b7c9110ab262de6f472
5,2880000,baseline-momentum,BTCUSDT,buy,99.06780412420342,20.18819350727263,2000.0,1.2,-1.79986,9901.125715,ALLOW_CAPPED,b46e482dab349cff5915f8b68af0f3547baea02e6c841d7fb279f30193a8a33d
6,2940000,baseline-momentum,BTCUSDT,buy,100.21386863255104,19.95731755784517,2000.0,1.2,-1.79986,9909.568031,ALLOW_CAPPED,89bff72ace3e52939af0e57e273c76ba83ffc7801cc3cc8c5d5458ac7e9bac95
7,3000000,baseline-momentum,BTCUSDT,buy,100.74755042583222,19.8515992850104,2000.0,1.2,-1.79986,9923.185254,ALLOW_CAPPED,fe880b13b3846623872a37e414116f9ff142f6aca2b4ebd6b0959cb837e79279
8,7800000,baseline-momentum,BTCUSDT,sell,107.87757482408057,18.53953431249696,2000.0,1.2,-1.80014,10272.01362,ALLOW_CAPPED,0bc5b368ed6d0a574f662558e9ec82af7b00d5deac0e702b7a6a24b1e2a23dd3
9,7980000,baseline-momentum,BTCUSDT,sell,108.02498624283508,18.514235174296566,2000.0,1.2,-1.80014,10274.667951,ALLOW_CAPPED,7215edc27b5745202c341c577ad0b895510ca02ac53512ff887544b675d898f1
10,8100000,baseline-momentum,BTCUSDT,buy,109.88307369102797,18.20116540991246,2000.0,1.2,-1.79986,10293.833271,ALLOW_CAPPED,9b84b9c22a044eb70a585034b169831efac14fbacfe39274f1da44515f87e777
11,8160000,baseline-momentum,BTCUSDT,buy,110.01105464515862,16.9158787699332,1860.93366373,1.116560198238,-1.661777,10296.0193,ALLOW,a5e2c9367318c6ac48ae04988906099cbd7722653efbb27224e1c62f2dd72161
12,12180000,baseline-momentum,BTCUSDT,sell,119.8504400471102,1.9351860064830217,231.93289445,0.13915973666999998,-0.188244,10759.125501,ALLOW,2900a25d695eb8bb5da92ed70eb403d8e44f02043869653ff418170e2be4c390
13,12960000,baseline-momentum,BTCUSDT,sell,115.27239516504635,17.35020771570168,2000.0,1.2,-1.80014,10552.292704,ALLOW_CAPPED,4a4b6cf61fd38da67476c439c905b9d80722d4c39f3af1702656de74cc3595d5
14,13020000,baseline-momentum,BTCUSDT,sell,115.47969391453755,17.319062184907846,2000.0,1.2,-1.80014,10556.200444,ALLOW_CAPPED,6442b542d41ed425c0251b3e622248eb3be7b0d697c97890172f1dc91bd0b04f
15,13080000,baseline-momentum,BTCUSDT,sell,114.32845671554345,17.493457512298345,2000.0,1.2,-1.80014,10542.645823,ALLOW_CAPPED,4b8480663f225f43dd0a2cd63f08f9e0bba79dbce3ee199ac5918b5b2338e6c9
16,13140000,baseline-momentum,BTCUSDT,sell,112.2556069975124,17.816481986902627,2000.0,1.2,-1.80014,10555.953447,ALLOW_CAPPED,8821084a5295d11ca1b5828cfa1e55e8267f921cd3feef27fa70f50495133f71
17,13200000,baseline-momentum,BTCUSDT,sell,112.30605306257539,17.808479110966775,2000.0,1.2,-1.80014,10552.886595,ALLOW_CAPPED,3e4e6bbbab385800bf4a985a51464e9625199cb25981f1b2317dc4e49420d8b7
18,13260000,baseline-momentum,BTCUSDT,sell,111.15492670811557,4.772209754345246,530.45462548,0.318272775288,-0.438453,10602.209772,ALLOW,7b8658d2fe9ac5497e62a027be94baf126f74c5dcac57c38f23cc192cfa25604
19,13740000,baseline-momentum,BTCUSDT,sell,107.8977632768538,2.1575716058419867,232.79715038,0.13967829022800002,-0.188955,10757.445189,ALLOW,f72e5048d85d907d87d58e4533b3e834de41131bda114203e8a0a042da8b44a0
20,14040000,baseline-momentum,BTCUSDT,buy,113.52898144543045,3.6780021138541343,417.55983374,0.250535900244,-0.34275,10478.825052,ALLOW,d4efb709d1bc0efd84cd0dc6f88596c52793320375a9ebb35b71fa870358750e
21,14460000,baseline-momentum,BTCUSDT,buy,112.84771456113151,17.722999599753226,2000.0,1.2,-1.79986,10508.879544,ALLOW_CAPPED,4e844afc51213024d89b1b4a301cb07a48490dce771bea3d3065f0bcaf6309d8
22,14520000,baseline-momentum,BTCUSDT,buy,112.99825680371647,17.699388084137425,2000.0,1.2,-1.79986,10502.799553,ALLOW_CAPPED,7ba985b0b12bd1e0c9487bbfc2ad3b708292a77436ca5095465fd9d89656b01f
23,14580000,baseline-momentum,BTCUSDT,buy,113.38664464245512,17.6387616575713,2000.0,1.2,-1.79986,10496.829438,ALLOW_CAPPED,71da6c51ba1ea5527828ec8b2391bf42bcaaeaf842c12e395ad8c19202fda9ee
24,14640000,baseline-momentum,BTCUSDT,buy,113.19778920461306,17.66818958261506,2000.0,1.2,-1.79986,10493.727208,ALLOW_CAPPED,9594304c9a62b2297d69a244100266e5cd4204c0144769125e35a773a88f28d7
25,14700000,baseline-momentum,BTCUSDT,buy,115.18695660229433,17.36307702707516,2000.0,1.2,-1.79986,10540.779337,ALLOW_CAPPED,9f567ad7841d001b278580b64f860db15098b97482cf85414517e462f36d7677
26,14760000,baseline-momentum,BTCUSDT,buy,115.30307741739244,3.8116004070651712,439.48925682,0.26369355409199996,-0.361233,10545.662589,ALLOW,1349e48bef4320e3f8348ffcf43b6c42db04b343363d12c0dfa3b3c3cda6ccdd
27,15000000,baseline-momentum,BTCUSDT,sell,104.35703095623299,19.164976060298166,2000.0,1.2,-1.80014,10045.781562,ALLOW_CAPPED,94f305706ea7db72c5bf3252d7c0e08c0342fb107a40bbd34d754f0b3755dc29
28,15060000,baseline-momentum,BTCUSDT,sell,104.25737862134267,19.18329452022667,2000.0,1.2,-1.80014,10041.332258,ALLOW_CAPPED,6e120ea0db72013e57a1672403438c66c4eb97f3839d84905b015d125b0e3deb
29,15120000,baseline-momentum,BTCUSDT,sell,106.95738310507971,18.69903640064857,2000.0,1.2,-1.80014,10059.49867,ALLOW_CAPPED,6b3c3ceeaa6242edd25cfed7fee105e9c05199fca9c3b7b49da4e90e6120259c
30,15180000,baseline-momentum,BTCUSDT,sell,107.5933063080533,18.588516968460343,2000.0,1.2,-1.80014,10050.506467,ALLOW_CAPPED,c047e9a532ee1dfded4e6db2a48e0db9e4914a06ddb9f7cc19fb79448c78c821
