seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1500000,persona-team,BTCUSDT,sell,99.16671153849623,2.1287360141820546,211.09975026,0.12665985015599998,-0.171115,9999.828885,ALLOW,6e72aa1a11329e0ec60f2f49c9d29e892f3b89a8123005cb37f3a02081e1e10f
1,1800000,persona-team,BTCUSDT,sell,97.68015005559359,2.1859355906852724,213.52251651,0.12811350990599998,-0.173105,10002.820918,ALLOW,93f3eb724b9f105827f0e86023cba1ca83b965a7b1c23cea6356542cf5bee52d
2,1860000,persona-team,BTCUSDT,buy,97.6344821939871,2.1419527385262187,209.12844651,0.125477067906,-0.169483,10003.025926,ALLOW,8c89e1b5d6f9cb28ea5e2adc83bf2e034c78491cd58af1ae85d690c9520d57fa
3,2400000,persona-team,BTCUSDT,buy,98.33658590756684,2.1722611889413055,213.61274902,0.12816764941199998,-0.173165,10001.327656,ALLOW,e9b251289c7baf753806074b42d5316aa915842717619aa9d85a998bfec304df
4,3480000,persona-team,BTCUSDT,buy,102.97198536669569,2.4422719390563308,251.48559037,0.150891354222,-0.204342,10001.121193,ALLOW,8d143860a300cbbb3864c75c9951634c54da95b52e67b00963da139678350bec
5,4320000,persona-team,BTCUSDT,sell,102.69477326841125,2.442333329510843,250.81486752,0.150488920512,-0.203806,10000.347233,ALLOW,b2b2e7f362b17e537a02da0b94269e1e48d410e81ab556e9cc5f6b47fafdb35d
6,4440000,persona-team,BTCUSDT,buy,103.64631407675037,2.2911542487092507,237.46969286,0.142481815716,-0.192787,10000.153975,ALLOW,f1e4a31745b3b409df0416a161ddb8f80d70e34b5e711e6d4b07e1a88c3c9b67
7,5220000,persona-team,BTCUSDT,sell,105.11600813710999,2.0668655289555145,217.26065376,0.13035639225600001,-0.176176,10003.445406,ALLOW,9d52248535b8164e0fb41e396deec27c2cc3f5301e1c9e38f6ce0d3fe4e84913
8,5820000,persona-team,BTCUSDT,buy,108.26003529604903,2.443097693499945,264.48984253,0.15869390551799997,-0.215081,10003.923738,ALLOW,006d6a1cf00eed5273406d07c9782e763e8eb6bcf366edc60b4ced48471f43c1
9,6060000,persona-team,BTCUSDT,sell,106.2153873813881,2.6674385899725683,283.32302315,0.16999381389,-0.230682,9998.362478,ALLOW,2dc8053b6bfdbaf45cfe8bb70064222f33b30795955b3280057a541e109f0e29
10,6420000,persona-team,BTCUSDT,buy,108.11023376328168,1.9303694930209274,208.69269714,0.125215618284,-0.169125,9998.192296,ALLOW,26e24870f9e7db77a7b472347f22a9b4b261798afa409415210a66b7432860e8
11,7380000,persona-team,BTCUSDT,sell,108.85464193365769,1.9302045459674033,210.11172471,0.126067034826,-0.170304,9999.546674,ALLOW,c09b00f231e4e28dc63184a2399f51ef48096e2eb518ab7a1e13a34c52ac0db1
12,11700000,persona-team,BTCUSDT,buy,115.97318318893964,1.791061240956002,207.7150734,0.12462904404000001,-0.168322,9999.375478,ALLOW,bf3298fd46d8eb34bddbee8ed32663ae86cfe4c6d533eac4297e640a8283c6be
13,12060000,persona-team,BTCUSDT,buy,117.83917209785653,1.8112646501178395,213.43792682,0.128062756092,-0.173021,10002.543036,ALLOW,7e9f1c18ed053e5849b21391392d3e252d3fcc2aa5e706678cbd81cf2ecd9587
14,12480000,persona-team,BTCUSDT,buy,121.01794431488314,1.8499136906299893,223.872752,0.1343236512,-0.181597,10013.808483,ALLOW,34a7be06564005600a1a085f6b2003414edd3b53a13eab05356df8f995e99e9a
15,12540000,persona-team,BTCUSDT,sell,119.30999971325576,1.8185977380058036,216.9768956,0.13018613736,-0.175943,10004.597598,ALLOW,7e2463211d6e58351eef8d162ee806cf6918063e3d98c0a38c0a2ce38fc18be5
16,12600000,persona-team,BTCUSDT,buy,119.28998955258517,2.01479916580973,240.34537144,0.144207222864,-0.195156,10004.146451,ALLOW,65f9323a97036538c903a05f2108a303f20348dfa5cd7d0c82128191b04f9a9a
17,12720000,persona-team,BTCUSDT,sell,117.87387563167206,5.649352605498561,665.91108642,0.39954665185199995,-0.554928,9995.891432,ALLOW,45f6e4aa2de9cd64e7b5e1473480a47b6a4d6f2699d149f0144bc92bece55655
18,13080000,persona-team,BTCUSDT,sell,114.33850190660216,2.126144879513791,243.10022036,0.145860132216,-0.197443,9995.698652,ALLOW,5d7cb81a42ca52dbe5a9f879ee772f278e87cfbe533a7724fd31d48896281b3f
19,13560000,persona-team,BTCUSDT,sell,110.4217808524706,1.8390677353892395,203.07313445,0.12184388067,-0.164527,10003.869042,ALLOW,7ebe7e8ed544824929080e27a138b4805c2d0161bef19aac4b1e42d7b8cbaade
20,13980000,persona-team,BTCUSDT,buy,110.07721188998806,2.0503741095438137,225.69946531,0.13541967918599998,-0.183099,10005.236984,ALLOW,89c0e09da843ac12e01d3e870b03ef40afbaa403f736c17d78b8c6142cbbd6fc
21,14040000,persona-team,BTCUSDT,buy,113.52784590352391,1.9157523942172239,217.4912426,0.13049474556000001,-0.176351,9998.449986,ALLOW,4f28c8d520aca7ce1dabd015125790b8caa4c76bd8893657990e4bff9bc4e10f
22,15180000,persona-team,BTCUSDT,sell,107.60298181835418,1.8756527867480892,201.82583271,0.121095499626,-0.163504,9998.288857,ALLOW,466fe3fcd3c22f9d6fbb861d56d52ce4f80c4330b78ca936b98ad81e8e672e87
23,15540000,persona-team,BTCUSDT,buy,109.62127297208086,1.8756623552653588,205.61249505,0.12336749703000001,-0.166597,9994.421487,ALLOW,baee42f32a77c185cc2888c918db4fb057ba3bc708995a8b77adc1494ea3d7d7
24,16200000,persona-team,BTCUSDT,buy,113.03176931343218,2.418182214259284,273.3314142,0.16399884852,-0.222391,9994.197751,ALLOW,494b9a1012ed5570962f5140db4ade93b3d2fe6aacc57324cc684e485acddaba
25,16260000,persona-team,BTCUSDT,sell,111.26142778858758,2.418303945382217,269.06394979,0.161438369874,-0.21888,9989.814373,ALLOW,2b3cd18e17673ff1a90a112499e3a79bacae193d17e11a2e7f7e90b5361432ca
26,16320000,persona-team,BTCUSDT,buy,114.24299664934648,2.091279086221052,238.91398964,0.14334839378400002,-0.193977,9989.618882,ALLOW,657d9bc242be24cd71fe5277ff99c4a71c523b140ae449ca628d01108c2f4b6a
27,16500000,persona-team,BTCUSDT,buy,117.2992923894885,1.7849764150730953,209.37647042,0.125625882252,-0.169686,9995.838193,ALLOW,f18ca616e3ad807b50d32ff6b0e30298f6cbbd49fa36385dc401bd63d12df81b
28,16620000,persona-team,BTCUSDT,sell,113.96836351437264,3.8766002427882804,441.80978567,0.26508587140199996,-0.363224,9982.758942,ALLOW,4f8ed395c2d58841f3aab24a6846c0e8f0ea8856ad24384bccd98cc31606d9a3
29,16680000,persona-team,BTCUSDT,buy,114.61029594168748,4.382152987245878,502.23985073,0.301343910438,-0.414385,9982.344049,ALLOW,2a8df52b04364cc6ae0a378a47e4309a440bc6d2361ad04151ef8fdf591e240b
30,16920000,persona-team,BTCUSDT,sell,113.3430690919177,4.382277313288483,496.7007603,0.29802045618,-0.409715,9976.606931,ALLOW,03437bbdc4b6b9bfab231d93d9d83085a19b421b6cd0de7c7095757dad68183e
31,17040000,persona-team,BTCUSDT,buy,115.40185957671007,2.2034405880693275,254.28114133,0.152568684798,-0.206649,9976.398303,ALLOW,ea54faa93859f9ab2ebee7baf78bc8c705d5802fa28cbf5b2db50fbaad850cae
32,17340000,persona-team,BTCUSDT,buy,117.15870164671966,1.8831185167557485,220.62372047,0.13237423228200002,-0.178925,9980.088355,ALLOW,4cf532f64687e73246e63cb6b7ae006ebcde9817b3944f975a2c1f2c80c3d008
33,17400000,persona-team,BTCUSDT,sell,114.44148928748804,4.086486672024898,467.6636207,0.28059817242,-0.385084,9968.807358,ALLOW,d0ef45f29d2b8a1a4c2556bda73e2ef43df14b7ebc4b159c235d6eb7be76195e
34,17460000,persona-team,BTCUSDT,buy,117.0388196482735,4.591300691641305,537.3604136,0.32241624816000003,-0.444305,9968.360729,ALLOW,ba386101c970d3a6218cc35e05702abe25b3b3947b924dbb174de019551d7e5e
35,17700000,persona-team,BTCUSDT,sell,120.82513050449565,1.7461823868847366,210.98271478,0.126589628868,-0.171019,9985.809007,ALLOW,790518727b6938c27954b163c0f42c5a4613a502ddbe1c0c498fe4a4aaca4b09
36,17940000,persona-team,BTCUSDT,buy,120.13004511252835,2.221002183759061,266.80909253,0.160085455518,-0.216998,9983.469795,ALLOW,7b257764a79a223f18b58e473b441a4ff5e2acae0293a8ed024b7cd6b4fe0b26
37,18240000,persona-team,BTCUSDT,sell,120.37448883249486,2.36281382599085,284.42250651,0.170653503906,-0.231593,9984.736791,ALLOW,19cd967dc64c84f2c8749591c26cc63ec9b020e59b0235edd55ea3b7700df422
