seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,2940000,regime,BTCUSDT,sell,100.1537583456598,19.96929554153542,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,a5c1f044a1bd0440df401dd11ac5d03ccd4714c5fb218213e6d7b7260f40eaf9
1,3000000,regime,BTCUSDT,sell,100.6871200259053,19.863513818703222,2000.0,1.2,-1.80014,9985.745667,ALLOW_CAPPED,46abc370e1fb77aa3eed6b2dcc388da8cfe11a397e056dc745f36c77ab152de7
2,3060000,regime,BTCUSDT,sell,100.23540230069636,19.953030108066972,2000.0,1.2,-1.80014,10001.944112,ALLOW_CAPPED,ead86f9ee74b74368087492a1c173cc47ec78418f647e7351c1327ee80040225
3,3180000,regime,BTCUSDT,buy,100.92498031484826,19.816699431208672,2000.0,1.2,-1.79986,9962.525212,ALLOW_CAPPED,2747b214aaf0892a1d01285254e620c537dafc866ccc60780665a4112238b322
4,3240000,regime,BTCUSDT,buy,100.98111923157722,19.805682638686694,2000.0,1.2,-1.79986,9958.4822,ALLOW_CAPPED,50d293181f9767f645efdccd2d566c669ae6350643cd1946de72c3f28881eb92
5,3300000,regime,BTCUSDT,buy,101.47861761534665,19.708585384765225,2000.0,1.2,-1.79986,9946.654062,ALLOW_CAPPED,f9fda140e4ac64b5eeb83dfafd229898b3ffab5395df0ac275f287968ed51fe0
6,3480000,regime,BTCUSDT,buy,102.98098675338116,19.421060751627866,2000.0,1.2,-1.79986,9944.171021,ALLOW_CAPPED,0f983bd8a5fbaf97ebe93f77a763417f4ddec2a0c26f7ef3218a516b4f51a7cf
7,3540000,regime,BTCUSDT,buy,102.78773795442143,19.45757382934965,2000.0,1.2,-1.79986,9938.707067,ALLOW_CAPPED,e69c4fefb903301672ce758a1bfe9aac852fef0759ddfcf8571e32ded9562393
8,3600000,regime,BTCUSDT,buy,103.0466458825106,19.408686065146796,2000.0,1.2,-1.79986,9946.85244,ALLOW_CAPPED,ff964a0f6960dfd88236748e2703f328aca7ab717230cb04d95f4c591dd3679f
9,7680000,regime,BTCUSDT,sell,107.60216952102355,18.586985828471008,2000.0,1.2,-1.80014,10212.164106,ALLOW_CAPPED,80003c74133bfd2dd02b54782e75f1881e0da73eb88bd107ae466811e72c686f
10,7740000,regime,BTCUSDT,sell,108.17221093413976,18.48903690447533,2000.0,1.2,-1.80014,10232.742218,ALLOW_CAPPED,8e779bdedf4ffbff7e34b21b7bf7dd74393d1f3224a303fd9ddf97d16d2b6bf5
11,7800000,regime,BTCUSDT,sell,107.87757482408057,18.53953431249696,2000.0,1.2,-1.80014,10224.824651,ALLOW_CAPPED,7239b86120a6f52a8a6146d59e87e562a27d0b3fe1acc32e23aa1a8f608bf9d7
12,7860000,regime,BTCUSDT,sell,108.47068595210699,2.2173617004339414,240.51874465,0.14431124679,-0.195316,10225.923429,ALLOW,6c9189773123fce48c675d253ac00b9b38502e4e40188766a49e09f0c1b0ae66
13,8400000,regime,BTCUSDT,buy,110.5022701910212,18.09917566890412,2000.0,1.2,-1.79986,10224.12264,ALLOW_CAPPED,4fcfa84edb55efc4259264342c97c63eaba07f24438187afb7f70e0d6d1fa2b6
14,8460000,regime,BTCUSDT,buy,110.36815109928254,18.12116974036182,2000.0,1.2,-1.79986,10219.896126,ALLOW_CAPPED,da41d7b13454d139448793140914c1e581b12143daf1a48110f8f00040dd7ae2
15,8520000,regime,BTCUSDT,buy,110.50553981127015,18.098640153387365,2000.0,1.2,-1.79986,10223.070976,ALLOW_CAPPED,100b437e28cba47a03d43c3917d80f0a9509e36a78bcc2ed5660c991667a7308
16,8700000,regime,BTCUSDT,sell,109.4513524264092,18.27295831127095,2000.0,1.2,-1.80014,10167.593258,ALLOW_CAPPED,b8216f21f7840c837589bb80ce2107d65c98b53abe7dd02f9ff4167109a69fd6
17,8760000,regime,BTCUSDT,buy,110.37299871093478,18.120373853735458,2000.0,1.2,-1.79986,10196.637546,ALLOW_CAPPED,4ce1261f5978f35580b810a44399b00ca146c58b6349ef9c7a85676180552285
18,9420000,regime,BTCUSDT,sell,110.1366062947347,18.15926663518062,2000.0,1.2,-1.80014,10185.616223,ALLOW_CAPPED,8ccd45d0f62fc91192d8bcf958c3378040f9f73ad2d95fec4e2712c53cb5c5fc
19,9480000,regime,BTCUSDT,sell,111.2179465300917,17.982709287469802,2000.0,1.2,-1.80014,10222.763221,ALLOW_CAPPED,bf472d1902b6333a93ffe2034549a1f1e36a48492d10375f7c0c86bae90743f5
20,9540000,regime,BTCUSDT,sell,111.01169902414402,18.016119180060638,2000.0,1.2,-1.80014,10217.24457,ALLOW_CAPPED,d6fae304adc9cad7d04f03c024ef82dab3deec4f64fa7781d565cae14a36615f
21,11280000,regime,BTCUSDT,buy,114.11232930832684,17.52658991471537,2000.0,1.2,-1.79986,10215.468477,ALLOW_CAPPED,ae4dd448c25a7182c2f59ec21e0dc0364a51883a9d744fad515be30a60673897
22,11340000,regime,BTCUSDT,buy,113.96204462876045,17.549702679652192,2000.0,1.2,-1.79986,10211.034252,ALLOW_CAPPED,c1577a79b550bbaa91bd37b5d2ea03b1032dfd9600857cf2ac16760a35652c73
23,11400000,regime,BTCUSDT,buy,113.34719241767075,17.64490109847839,2000.0,1.2,-1.79986,10187.669307,ALLOW_CAPPED,d43e79f3fb16c368beb2d66156c33abdf793a220a07e161311b8409a1aa5cf30
