seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,720000,rl-qlearn,BTCUSDT,sell,101.39399900074793,19.725033233823307,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,cbb571f3884f6e8542b539b9910943e73bbb5e5e71b66d489c24bbf0f6ab8fd4
1,780000,rl-qlearn,BTCUSDT,buy,101.13550820088872,19.719122719674782,1994.30349753,1.196582098518,-1.794166,10002.702337,ALLOW,5a4d9296ad422117024fd4b79c8420b7440c86de6297a9d85a3612ca64f7392e
2,840000,rl-qlearn,BTCUSDT,sell,101.21179572594812,19.760542589476565,2000.0,1.2,-1.80014,10000.901387,ALLOW_CAPPED,4867293cb7b01ff39e555889227acbf5435bbb5ab17c8960a85e04ad59e72806
3,900000,rl-qlearn,BTCUSDT,buy,101.77778156982697,19.650654289687523,2000.0,1.2,-1.79986,9989.117709,ALLOW_CAPPED,fcc8db67e066ea38d4efef65df3341601329ace27db4d20044fa23bd188bd9a9
4,960000,rl-qlearn,BTCUSDT,sell,101.18704672308455,19.76537575479733,2000.0,1.2,-1.80014,9987.378924,ALLOW_CAPPED,f65e2f5ce4bc0df74148efb8cb6cd1dafa9a4e40f299d326281f0e52c9e2e585
5,1020000,rl-qlearn,BTCUSDT,sell,101.10733476997714,19.780958567942402,2000.0,1.2,-1.80014,9987.164027,ALLOW_CAPPED,516f883e5c124294d7ec626503474679ce21aaa669a6078bff04607eddb5961e
6,1080000,rl-qlearn,BTCUSDT,sell,100.30595414265129,10.270842055346497,1030.22661221,0.618135967326,-0.877299,10018.273723,ALLOW,655474cdd6ba3e3ba7dee19e29fed37eaa14a95bf51e15d1a5c4f6887c178dea
7,1200000,rl-qlearn,BTCUSDT,buy,99.09908373867528,20.181821310013408,2000.0,1.2,-1.79986,10079.480594,ALLOW_CAPPED,c5696d8b037074f85dd2407f7963070af642bffc641782407297211ad335994c
8,1260000,rl-qlearn,BTCUSDT,buy,99.13125100543027,20.17527247679385,2000.0,1.2,-1.79986,10076.724008,ALLOW_CAPPED,3a4b523bc6701e2743cac94ec13c6db458bef36f62b7312d03c8725185b1aaf6
9,1320000,rl-qlearn,BTCUSDT,buy,98.6528880147395,20.273101378453152,2000.0,1.2,-1.79986,10079.503521,ALLOW_CAPPED,1a43e97aff0096094fd4b1186e3a4b6ffdb0fe12dfbb6f7b3ebb4414544e05cb
10,1380000,rl-qlearn,BTCUSDT,sell,98.88038989983049,10.699925827778454,1058.01283775,0.63480770265,-0.902431,10081.618803,ALLOW,2a028b1cb9ac69f6a0d5897895ce2e420d325a4013db81dd495b3d4320a3cfb2
11,1500000,rl-qlearn,BTCUSDT,buy,99.21735314694762,20.157764106424654,2000.0,1.2,-1.79986,10079.818179,ALLOW_CAPPED,303f7521800260eaea658f021af8b55a249dbd3cede627c62ca1f2a4192b70f0
12,1560000,rl-qlearn,BTCUSDT,buy,98.12371999248398,20.38243148703692,2000.0,1.2,-1.79986,10055.982691,ALLOW_CAPPED,28a706ebb6504bac1c4e26c3039f34ba7dc0c1a89aaf238e19450e5062636882
13,1620000,rl-qlearn,BTCUSDT,sell,97.94789629942137,20.419019453833997,2000.0,1.2,-1.80014,10049.439574,ALLOW_CAPPED,b5f738938ececd7f03cee9f6e88ec6f34420ea8d82aa19c0595be389c923cba6
14,1680000,rl-qlearn,BTCUSDT,sell,98.07114279071703,20.393358770866804,2000.0,1.2,-1.80014,10050.119709,ALLOW_CAPPED,90f305bffd2b70229b58395a4980b24be4469f95a232bc2e986f50089bb2fb4f
15,1740000,rl-qlearn,BTCUSDT,buy,98.33300287557442,20.339051402006895,2000.0,1.2,-1.79986,10048.264064,ALLOW_CAPPED,60cfc528693c0360301f724f6810291848fbae8546e3f9702cd7608853a0e02a
