seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1620000,swarm,BTCUSDT,sell,97.95284660501092,10.100761067309154,989.39829942,0.593638979652,-0.840511,9999.159489,ALLOW,525eec66d8d81e28cc01b572476e1592515b0e8850c53f24f84734abc8aaade9
1,1800000,swarm,BTCUSDT,sell,97.6800862310668,2.3197065418635363,226.58913504,0.135953481024,-0.183846,10001.769062,ALLOW,10497ca997641b742bde352242af6dc075fd47a9e23847adac3a0cc6d9c367da
2,1920000,swarm,BTCUSDT,buy,97.30400582709679,2.5647554077419428,249.56097514,0.149736585084,-0.202754,10006.750587,ALLOW,e393a749f1b2bf40166ff32f15e9d1df98dc68281ccb82fa3c8501ded52c4032
3,2040000,swarm,BTCUSDT,buy,97.72291996972179,9.85326702147602,962.89002458,0.577734014748,-0.816625,10001.840481,ALLOW,16f53b16d57b36070ae9c4db7a06bc0a326b429a76bdef6eda06eeec9ef5f2ce
4,2100000,swarm,BTCUSDT,sell,97.42736604223919,8.862614456349466,863.46118273,0.518076709638,-0.728086,10001.113,ALLOW,460b6e42ba50730e13e518549c2f60b5dabbec09b3c5f59c4f51cf6e3e8188e8
5,2160000,swarm,BTCUSDT,buy,97.60521794277936,8.862903578957644,865.06563543,0.5190393812580001,-0.729431,9999.227412,ALLOW,97c262fa2587c9207891ab63e506350c354f9d435c0879f4f143031ebc738622
6,3480000,swarm,BTCUSDT,buy,102.9751306910302,8.375450514044612,862.46311128,0.517477866768,-0.727124,9998.488713,ALLOW,ee43c5446c78323ee57f71f06839e3cab6928a76bea832e56508e618a183e75a
7,3540000,swarm,BTCUSDT,sell,102.73193824110344,8.375329715386847,860.41385507,0.5162483130419999,-0.725385,9996.145684,ALLOW,b85cbd3d915601b6b9735aab70b8c072d40bc5fd01ece44071eb49e8a5a59703
8,3600000,swarm,BTCUSDT,buy,103.04080435663306,8.404532881291043,866.00982833,0.519605896998,-0.730268,9995.414889,ALLOW,443f0ab67ee403ebfe46f68ef1950c5228e59e6daa90feec368f82fa33f97185
9,4140000,swarm,BTCUSDT,sell,103.15924271008697,8.404542750246689,867.00626544,0.520203759264,-0.731229,9996.100423,ALLOW,5a42cc7547d9ea280fdb8e387c41b92ab5e740148993ffe1b5762fe44497d812
10,5640000,swarm,BTCUSDT,buy,107.9716898806365,7.7925223128409185,841.37180255,0.50482308153,-0.708455,9995.38223,ALLOW,6883fc018dab292e8183673801dc977a8f89278e413d696c11239830fc16d986
11,5760000,swarm,BTCUSDT,sell,107.86143716880109,7.792363019460241,840.49547422,0.5042972845320001,-0.707755,9994.222541,ALLOW,9fb8a83f43d83cf6d900f291755bac69fa678eb8c89f21379dcf74e5736c66b5
12,5820000,swarm,BTCUSDT,buy,108.26340257490305,8.189587879953939,886.63264957,0.531979589742,-0.748572,9993.47331,ALLOW,f5b358f88e98267e80d8d4741aff71a68db625b0c8071a61349eaefdcc5084fe
13,5880000,swarm,BTCUSDT,sell,107.46205561743416,8.189700248179689,880.08202356,0.528049214136,-0.742833,9986.600561,ALLOW,15ea6996025b321e5b7141043a85f7a19f0493791603da2d547406b31ee4b90b
14,11700000,swarm,BTCUSDT,buy,115.97691239456995,7.3368156605610695,850.90122712,0.510540736272,-0.716885,9985.866771,ALLOW,b24f2dbe72820e1e66115ac4bbb344475b9395bdead9974335a3cf921ea129c8
15,11940000,swarm,BTCUSDT,buy,118.32323090883204,2.012997812690907,238.18440501,0.142910643006,-0.193376,10002.905618,ALLOW,717006f16026072e754f234201b23281957f2d2c33d0ff1f4e8b3baa292a6eaa
16,12300000,swarm,BTCUSDT,buy,124.65298999261304,2.3487883338165445,292.78348867,0.175670093202,-0.238503,10061.820817,ALLOW,f6b9581c4927d3da84df96f0cf7bb2b908f9ac60cf60ea660fc4ca10ca86600c
17,12420000,swarm,BTCUSDT,sell,119.81887495254985,2.123133808765464,254.39150434,0.152634902604,-0.206758,10005.682398,ALLOW,ed8110ffb4579e21c87876facbf022cc8150ace7adb538362a6669ec06088088
18,12720000,swarm,BTCUSDT,sell,117.8711475827849,9.57592526048207,1128.72529962,0.677235179772,-0.966738,9986.114533,ALLOW,b1fd9cea4df00654433eeebad5f4558469e2df3699ef4329faa327f767556318
19,13260000,swarm,BTCUSDT,sell,111.15255875545456,8.604967752692996,956.46418372,0.573878510232,-0.810957,9985.32008,ALLOW,f08b4933e342789579c55181f6e89ad65aecdef728f5638a0567497be88ca000
