seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,1860000,baseline-momentum,BTCUSDT,buy,62297.968490557774,0.032103775587852934,2000.0,1.2,-1.79986,9998.20014,ALLOW_CAPPED,62ed1e7194738c8274cf78d2f5ab8b98c99db57e853ec47e863d1dba0b34fb66
1,1920000,baseline-momentum,BTCUSDT,buy,62605.70503842376,0.03194597039954291,2000.0,1.2,-1.79986,10006.276822,ALLOW_CAPPED,d30bec4fb703ac78f403c57ed8fe96384cc446663bec0504e864e34062bd87ee
2,1980000,baseline-momentum,BTCUSDT,buy,62709.76536633705,0.015803420649250104,991.0288009,0.59461728054,-0.841883,10012.300515,ALLOW,e41a4a0278ab6a10424dcfc6c4ff634c1ab23772fa06858dc5587cd20655df3c
3,2460000,baseline-momentum,BTCUSDT,sell,60540.8224624379,0.03303556044751267,2000.0,1.2,-1.80014,9840.003478,ALLOW_CAPPED,8f34c9306cdf3002312e4a914ca3895a46b4ca50aa2fbc0524703b1909aa0221
4,2520000,baseline-momentum,BTCUSDT,sell,58784.30583591837,0.034022686354118016,2000.0,1.2,-1.80014,9755.942757,ALLOW_CAPPED,20d7112697fe1e3b3056aad454571c6438a1b286fa093808f3e86f1535089c91
5,2580000,baseline-momentum,BTCUSDT,sell,59228.518118464664,0.0337675171274713,2000.0,1.2,-1.80014,9759.827983,ALLOW_CAPPED,7e4cf8a8658ec3960053a18a3f28cfde2474d4729050f9d69419d400efc65f0a
6,2640000,baseline-momentum,BTCUSDT,sell,59287.67231837312,0.03373382563005774,2000.0,1.2,-1.80014,9756.786854,ALLOW_CAPPED,035eac3980eaa8a34c0413ed15444709b5d7b06391d673c0c735d92d7a808b7c
7,2700000,baseline-momentum,BTCUSDT,sell,59240.37193401043,0.027649629797810642,1637.97435306,0.9827846118360001,-1.444628,9757.989329,ALLOW,a74e790f8c929ae27383e542261c573c32a2b768bb395d1f8deca8121258f6e6
8,2820000,baseline-momentum,BTCUSDT,buy,61531.055438836454,0.03250391181714824,2000.0,1.2,-1.79986,9570.433326,ALLOW_CAPPED,2634c9b0c19685caece74db650b870c6a4cb2762543a014de85ec64d4144799a
9,2880000,baseline-momentum,BTCUSDT,buy,61402.56696481315,0.03257192815971527,2000.0,1.2,-1.79986,9575.036971,ALLOW_CAPPED,cc3122f76ed50c6fdf57aaa535a086d16e631ff2d176c9e737f5220cc02cbc80
