seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,300000,persona-team,BTCUSDT,sell,58694.310159491004,0.008235528414023563,483.37865906,0.29002719543600003,-0.398404,9999.601596,ALLOW,233388d6ff6f09bb2a9cd18adfaa4ca37c469350f6e869cc10692c1669cc0abc
1,840000,persona-team,BTCUSDT,buy,60828.320176994566,0.008233675388087065,500.84064274,0.300504385644,-0.413195,9981.834794,ALLOW,e159ba727cb8df1dd53ff9a44df65938cebb57236eecae0ea48e5921f791e6b1
2,1500000,persona-team,BTCUSDT,buy,63119.44967144163,0.007167842188502189,452.43025427,0.271458152562,-0.372162,9981.458387,ALLOW,3b2b8355a54e06b894982019fe9b149eb629e74ed749f94c07aae0a4d1e3f539
3,1560000,persona-team,BTCUSDT,sell,62056.30358232061,0.006646557592539351,412.46079574,0.247476477444,-0.33849,9973.700208,ALLOW,8302e70682704161ece811ff631ac50163425752e60f0c89ab0c69dbb67b0797
4,2520000,persona-team,BTCUSDT,sell,58789.15016967086,0.005990172590072187,352.15715594,0.211294293564,-0.287939,9971.714739,ALLOW,29cf5caed0f81a0f6a916957d40b2e6fc802d8754dd40423685aff53e89f6e5c
5,2760000,persona-team,BTCUSDT,buy,60149.70011503174,0.0036512608929053533,219.62224775,0.13177334865,-0.178102,9964.232834,ALLOW,2d243eeb192ef1fb023a21b806cd5475109125ca697f8ad3a49f8bd3c0a528d7
6,3720000,persona-team,BTCUSDT,buy,60794.078572537954,0.004519194771283306,274.74028201,0.16484416920599998,-0.223557,9962.837396,ALLOW,eca4cc931b548191eb8f7652375d906884c53f872c8862b88a22ea23f2581e60
7,3840000,persona-team,BTCUSDT,buy,60533.36561881597,0.003607452342152974,218.37123158,0.131022738948,-0.177074,9961.957082,ALLOW,4e0a16eb99b5d87622b026fc969160c8e411814236d698daf73510015e1a6b9c
8,3960000,persona-team,BTCUSDT,sell,60756.30736351846,0.0060427100319537744,367.13274801,0.220279648806,-0.300459,9963.226957,ALLOW,e4929dac6cad1723025a9dcb2826f90b4b7a8470b1f408495ee62bbd6ce6ec53
9,4440000,persona-team,BTCUSDT,sell,57720.43635217135,0.004761041542605422,274.80939533,0.164885637198,-0.223633,9962.200221,ALLOW,d922c0352b2e30568f14e089279e51c69248d74ed772fb81c2055edf889d455d
10,4800000,persona-team,BTCUSDT,sell,55218.132981911665,0.003787959619325012,209.16405799,0.12549843479400002,-0.169526,9973.285735,ALLOW,c5d4d51dbb81cb96268dc6e1b4e4a2f8b2526ace97d0a53a946df325af77081e
11,6180000,persona-team,BTCUSDT,buy,52568.887298299145,0.0038412615767222723,201.93084691,0.121158508146,-0.163577,9995.257726,ALLOW,e3c27b46d516e8aa8a860c292738e553ba217edf7dc7d1e13841ada768dce3a6
12,6360000,persona-team,BTCUSDT,buy,52696.39163829109,0.004442342116265469,234.09539995,0.14045723997,-0.190008,9994.501675,ALLOW,58bd9a011394bed0a5da51aa15547562a0bd66ab4d85a0c395e44e56516b6fd2
13,6720000,persona-team,BTCUSDT,sell,50904.41135451315,0.00523957919309783,266.71769457,0.16003061674199998,-0.21694,9994.2864,ALLOW,4968ecdecc5831abf2dcb9f9e4d5be827b60173d171b9ad0373dfe8bcd391880
