seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,4440000,regime,BTCUSDT,sell,57715.45684807561,0.03465276217538396,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,b4953de1d6a2dd0ccf4f5d4a2516f0260b4505806c6d30c2a926b40faee07085
1,4500000,regime,BTCUSDT,sell,57864.1071383458,0.03456374078698306,2000.0,1.2,-1.80014,9991.247031,ALLOW_CAPPED,ed00ad853e9f1f43a41ed646407cb3b201174c42f3f4d03814b60cb58d1a4ad9
2,4560000,regime,BTCUSDT,sell,56713.9025338682,0.035264721887294695,2000.0,1.2,-1.80014,10069.083921,ALLOW_CAPPED,67449342b6e8cacd79c0c0290069b88351c2ad0c3fcc56578535a81378e2149c
3,4680000,regime,BTCUSDT,sell,56007.182181350945,0.004162673424724266,233.13960886,0.13988376531600002,-0.189237,10143.273018,ALLOW,084ef29e2aa2203c2f9b9ccac5407aef1099af0dcfee859d1ca0ce15271543c1
4,5040000,regime,BTCUSDT,sell,54469.040974486765,0.004906511956676105,267.25300081,0.160351800486,-0.217383,10310.190571,ALLOW,1cd04422d3bcdadeed93bfd50503622a76e36bbc1e9c413c58b1a7fdd393ca2b
5,5160000,regime,BTCUSDT,sell,53243.761274636505,0.00417873033748251,222.49132052,0.13349479231199998,-0.180476,10449.184334,ALLOW,eb9e1550f7bb0287dd776f3106508d2d873d68224502c4a714defdb5455f7a9b
6,5700000,regime,BTCUSDT,sell,51852.356695511124,0.005052325287515413,261.97497295,0.15718498377,-0.21302,10612.802713,ALLOW,7a7198c5c4d2b8a796049e3fffea14f1aad0978f6921c24f05d34ec0af788d60
7,6840000,regime,BTCUSDT,buy,53166.40476545723,0.004776260816021649,253.93661581,0.152361969486,-0.206365,10454.000743,ALLOW,aba33e1ad1f33d120b4d8073cc3a5a871ae4071bdd27a13873f7600941922396
8,7080000,regime,BTCUSDT,buy,54323.14112930039,0.004023165290088862,218.55097584,0.131130585504,-0.177222,10317.3403,ALLOW,cecdc1b0bbf1f8cf997507801f0ad26921a55f8881b874c68179bc629d3826e9
9,7260000,regime,BTCUSDT,buy,54210.58218165782,0.0368931658637804,2000.0,1.2,-1.79986,10328.917588,ALLOW_CAPPED,9f2adf27d55bcf09f9b19715d480e8ce9a34ef9928453a05ae8f59746d3390d4
10,7320000,regime,BTCUSDT,buy,55355.13186842981,0.03613034478453915,2000.0,1.2,-1.79986,10238.912145,ALLOW_CAPPED,da8a3217a26f159aa5c29b247db26772f139e7a765572515865464f269ca28c4
11,7380000,regime,BTCUSDT,buy,54938.62496089796,0.036404260234461285,2000.0,1.2,-1.79986,10254.166678,ALLOW_CAPPED,9757de39b805064f88de48866e71278d3bec59a589f0b37d26e8d5a0bcaf278a
12,7440000,regime,BTCUSDT,buy,55154.28429577545,0.004553300981357048,251.13405681,0.15068043408600001,-0.204052,10252.958795,ALLOW,defa7d96663fc2b78ec95b74c8d99b83426374962af8cd49dd656a752d80c69f
13,8580000,regime,BTCUSDT,buy,53614.193214765226,0.03730355489988432,2000.0,1.2,-1.79986,10251.160429,ALLOW_CAPPED,d8d0112d8663e7da6e293aca95906987b624ac53e02ea721c02db1481859e0e2
14,8640000,regime,BTCUSDT,sell,54316.706719557784,0.03682108361845622,2000.0,1.2,-1.80014,10276.773693,ALLOW_CAPPED,ef8f47ef80f47781cc4243334b5d165be989d297732e729f8845660dc6547f7c
15,10800000,regime,BTCUSDT,buy,56171.35591109097,0.035605335985936244,2000.0,1.2,-1.79986,10275.850893,ALLOW_CAPPED,62484bc4d6259aba4ff0d9ee7c8fe227a9a9e4af71952536e08737cf16ac046d
16,10860000,regime,BTCUSDT,buy,56348.93306464972,0.03549312988243059,2000.0,1.2,-1.79986,10280.457309,ALLOW_CAPPED,0847589d51e544f631a56dafba93d6571f20a6ea6f5d24f2916751c5085dcac5
17,10920000,regime,BTCUSDT,buy,56128.4645543935,0.03563254430489224,2000.0,1.2,-1.79986,10262.881053,ALLOW_CAPPED,a25462374dc72487af85992450652b8a534a8fe0700526a958a0d45789fa74ce
18,13740000,regime,BTCUSDT,sell,65976.19224256692,0.004271054340995969,281.78790228,0.16907274136800002,-0.22941,11321.770761,ALLOW,80651d5303284846c0fe6fb3c9eb8ce35b8817218926fba52acc3c8fdff6c7ad
19,14940000,regime,BTCUSDT,sell,60730.90024189271,0.03293216454941306,2000.0,1.2,-1.80014,10780.434303,ALLOW_CAPPED,23a5e3b780f7da683bbe9ac1e0b66a40f057f28feaf030e6e8da768f181f4122
