seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,720000,rl-qlearn,BTCUSDT,sell,60666.44156374575,0.032967155291257426,2000.0,1.2,-1.80014,9998.19986,ALLOW_CAPPED,9b6d065715ca9f8c4adba2c7e954ff7e2dd5570720963ef2a5410c43dec49db7
1,780000,rl-qlearn,BTCUSDT,buy,60752.940951994555,0.03292021700777169,2000.0,1.2,-1.79986,9994.749217,ALLOW_CAPPED,7b1d14e4dbb649d43fe9277f42a9acf7577930c0357c7b9af51a8035e19dd06e
2,960000,rl-qlearn,BTCUSDT,buy,61062.65254570948,0.03275324468590463,2000.0,1.2,-1.79986,9992.934824,ALLOW_CAPPED,fd4c40fb7cd7c8f2c11418a9ab617480c1ce0f0adbe6f0c8d5aa59a1e2bb75c1
3,1020000,rl-qlearn,BTCUSDT,sell,60665.007550669296,0.032716095587762,1984.72218586,1.190833311516,-1.784872,9979.337314,ALLOW,c04f8676af7d1c6801664f317c9894820cc7256b2ee4a7e0ed36ac2760d72110
4,1080000,rl-qlearn,BTCUSDT,sell,60424.074738891286,0.033099389748912814,2000.0,1.2,-1.80014,9977.539533,ALLOW_CAPPED,1cfdf22cd48243f5888e46d5e851f1e83bac2b399c7d29d020b176b1c56f4fce
5,1140000,rl-qlearn,BTCUSDT,buy,60580.98583975719,0.0330136588613827,2000.0,1.2,-1.79986,9971.746388,ALLOW_CAPPED,34e33ee688aecf06bbfe3e5d18771b568a0dd818e301d87c95f063129704faf2
6,1200000,rl-qlearn,BTCUSDT,sell,60901.38737868709,0.032839974359925916,2000.0,1.2,-1.80014,9969.912162,ALLOW_CAPPED,a79aec9c1d2d4f22de4b209c07fa044d8cdaaf0a1290d1065e9f96f83e41686f
7,1260000,rl-qlearn,BTCUSDT,buy,62097.63847777425,0.032207343934920044,2000.0,1.2,-1.79986,9929.928488,ALLOW_CAPPED,d4c826c4f83c8ec3d6b8c47d7117a92c5e3ba0dd05f9dd5194676b1be8291251
8,2460000,rl-qlearn,BTCUSDT,sell,60540.8224624379,0.03303556044751267,2000.0,1.2,-1.80014,9929.235155,ALLOW_CAPPED,9af9f3eef8701302b0ddc1f971d94b04b6ff663f8556d56b754a72ca3e4014b7
9,2520000,rl-qlearn,BTCUSDT,sell,58784.30583591837,0.034022686354118016,2000.0,1.2,-1.80014,9986.75933,ALLOW_CAPPED,39b053dd03a906c28b6c4927d77271e2ce39a5822adb8166dca6d41f5f8032ec
10,2580000,rl-qlearn,BTCUSDT,sell,59231.59202179054,0.01624516126066659,962.22676412,0.577336058472,-0.81612,9955.822624,ALLOW,88bd031c9255c041e47009714789c76a81821895c1b1ac5bae952506f6a138ab
11,2760000,rl-qlearn,BTCUSDT,buy,60155.05398024828,0.03324741426807951,2000.0,1.2,-1.79986,9879.174102,ALLOW_CAPPED,718f406b2f022e55ba58ae1e6673c43da53d3dd4a5a41b71365ad3dd8ff1ef33
12,2820000,rl-qlearn,BTCUSDT,buy,61531.055438836454,0.03250391181714824,2000.0,1.2,-1.79986,9807.516145,ALLOW_CAPPED,4a03a064d3547be120ba4616a2d831f5a394be4b7be8c71b4d712bc45b7d1b69
13,2880000,rl-qlearn,BTCUSDT,buy,61399.87228885525,0.0182755517143588,1122.11654127,0.673269924762,-0.960594,9808.903645,ALLOW,efd7ce4fc46e99d0c83b789e111e321a30bfa6145b57f3e4a5fefee9a7dabb57
14,3000000,rl-qlearn,BTCUSDT,sell,60540.84375393493,0.0330355488292977,2000.0,1.2,-1.80014,9807.107367,ALLOW_CAPPED,dea0b42022a8e8d5861b5cdbe1a55ce7655c285d05ec57ce07217b2517bf2e8f
15,3060000,rl-qlearn,BTCUSDT,buy,60227.297250230855,0.03303033745487184,1989.32795217,1.193596771302,-1.789195,9816.873822,ALLOW,c54df63489e883f3bf020b1351c4958537b1a83750fd78d3df07f761865d5e86
16,3120000,rl-qlearn,BTCUSDT,sell,59962.20999117097,0.033354341014023445,2000.0,1.2,-1.80014,9815.075948,ALLOW_CAPPED,1fdaffae8fa125e8142fe1bb750c6b0fa821f964ab7828562c7f62a8c8dd845a
17,3180000,rl-qlearn,BTCUSDT,buy,60088.54383437124,0.0332842147999596,2000.0,1.2,-1.79986,9810.262677,ALLOW_CAPPED,56d94a2f2b07feb0b2b96dcf806df36dfb2d6475daad755203c7ee70b155a3d6
18,3360000,rl-qlearn,BTCUSDT,buy,60997.24194623428,0.032788367739034666,2000.0,1.2,-1.79986,9808.390126,ALLOW_CAPPED,c299b7d956af59269245ae6492573777e25cbab3ef72ceefe2182edbac90f83c
19,3420000,rl-qlearn,BTCUSDT,buy,60732.89102649683,0.0329310850545124,2000.0,1.2,-1.79986,9797.946377,ALLOW_CAPPED,201103f583ec45b25f0187469a3aee4f87ff33e1dd0b9d74d2d05a08580cb172
20,3480000,rl-qlearn,BTCUSDT,buy,61155.469193694364,0.014712030469431321,899.72112615,0.53983267569,-0.760211,9825.136378,ALLOW,a5da2845aaaeaf18d6fe2922d022ca322577c592574c1af45734a785ac810ac0
21,3720000,rl-qlearn,BTCUSDT,sell,60762.85360285191,0.03291484651251023,2000.0,1.2,-1.80014,9794.457678,ALLOW_CAPPED,f5ed6e2d1d56c79b8b4a5f6ea6522af5e16202bba3d5730a3ba7c41b66cb52ce
22,3780000,rl-qlearn,BTCUSDT,sell,60828.66326290317,0.032879236411228446,2000.0,1.2,-1.80014,9795.780263,ALLOW_CAPPED,1f882cb0836cd03555487ec5daa3d18c736d76216eed333e2b20fcb94e64bc2f
23,3840000,rl-qlearn,BTCUSDT,buy,60538.75742004692,0.033036687326154404,2000.0,1.2,-1.79986,9789.230095,ALLOW_CAPPED,fc56a949f4ad0326833fbc2bcf1211190d8c78ba74ab2b0187cfdfba473ea80f
24,3900000,rl-qlearn,BTCUSDT,buy,60618.01129390355,0.03299349413333761,2000.0,1.2,-1.79986,9791.201118,ALLOW_CAPPED,66bf8159d9e74cd9a9159ac89027016caaf35473b16ec9491ca3aaa5ac02d72a
25,4020000,rl-qlearn,BTCUSDT,sell,60779.380718933484,0.03290589631455354,2000.0,1.2,-1.80014,9805.340283,ALLOW_CAPPED,ea7993354b24a836190adfa6fbe31092a19c1369c7bd35b3cae1ee59f0c69e67
26,4080000,rl-qlearn,BTCUSDT,sell,60429.78421382899,0.033096262480816735,2000.0,1.2,-1.80014,9786.865797,ALLOW_CAPPED,3438a6aff337049b3b99b4719216dda5119c6488cfe4020d5b93026cb6e3dac4
27,4140000,rl-qlearn,BTCUSDT,buy,59563.63800767094,0.033577532650749586,2000.0,1.2,-1.79986,9771.907798,ALLOW_CAPPED,ae0d9da795e3cb2b81124546ea74f16f994c92856a48ddcae91a85da7f6a70d8
28,4200000,rl-qlearn,BTCUSDT,buy,59723.723319818695,0.033487530395418616,2000.0,1.2,-1.79986,9777.815804,ALLOW_CAPPED,26b2239fb7a854404bdf8fa12d197e4da368e655d5b3a3552d58dce27f06159a
29,4260000,rl-qlearn,BTCUSDT,sell,59102.46627952566,0.033839535401805086,2000.0,1.2,-1.80014,9728.200397,ALLOW_CAPPED,0c184fba0a15c4a35c4ed2b210aae54712d8ec28e1f287f8c97aebd7c82edd28
30,4320000,rl-qlearn,BTCUSDT,buy,58861.74045949345,0.03397792835188638,2000.0,1.2,-1.79986,9713.199216,ALLOW_CAPPED,b984ec55254d32d95f530975380ab98b2eeeb4023775990db73fb0b3fc2760df
31,4440000,rl-qlearn,BTCUSDT,sell,57715.45684807561,0.03465276217538396,2000.0,1.2,-1.80014,9620.506254,ALLOW_CAPPED,9f17e3aca0b5309854881a041165b5dcadebebd4b83885233f63b4bf5dcf9138
32,4500000,rl-qlearn,BTCUSDT,sell,57864.1071383458,0.03456374078698306,2000.0,1.2,-1.80014,9625.715011,ALLOW_CAPPED,b61c0899e6289f834e11f5f13663a085949c0f07b721c37cc23cf7fe1cc5cdba
33,4560000,rl-qlearn,BTCUSDT,sell,56717.55211880069,0.012575321043758081,713.24142671,0.42794485602599996,-0.596059,9610.65383,ALLOW,1dece6eb9c8d2dfa8d17c616bb750318ceaacb52fbef020292fc56c3b4e6ad61
34,6180000,rl-qlearn,BTCUSDT,sell,52542.078196060655,0.03806472961608036,2000.0,1.2,-1.80014,9608.866056,ALLOW_CAPPED,2fc361d0fccc47fffb9495ae25db13e4e23aa5d367ca2e3b41294ef74e18d6b7
35,6240000,rl-qlearn,BTCUSDT,buy,52689.93222990459,0.0379579155895153,2000.0,1.2,-1.79986,9602.639516,ALLOW_CAPPED,552a0bcae0e7b9d7bd74fc5d272aaa6b6eea513f7dcdbf521af5ba7b6e104514
36,6360000,rl-qlearn,BTCUSDT,sell,52669.4328162245,0.03797268914929177,2000.0,1.2,-1.80014,9600.838156,ALLOW_CAPPED,15f1e30d8ff13e3b948bff9be2d3745b3620467ed291fb43169c264a04d4b8f6
37,6420000,rl-qlearn,BTCUSDT,sell,52715.80477230424,0.03793928611426146,2000.0,1.2,-1.80014,9597.271528,ALLOW_CAPPED,f5582bd612fd56ca7c396434fa8a551929aa634a94cebf55f621c1becbe11d13
