seq,timestamp_ms,agent_id,pair,direction,price,quantity,notional_usd,fee_usd,balance_change_usd,account_balance_usd,decision,cert_hash
0,420000,swarm,BTCUSDT,sell,60012.46948820624,0.016793495566584847,1007.81914029,0.6046914841739999,-0.857088,9999.142912,ALLOW,3312d6c4e3b364bf85c0e97960e934d7c05784dd19a8eea381655961e76028e9
1,540000,swarm,BTCUSDT,sell,59698.3700935818,0.0034522310539958465,206.09256711,0.12365554026600001,-0.167005,10004.292258,ALLOW,423d3dffa6a5ba9c78b5ea23a97e2c9b82c28846dcd00396c10ad9c4d0e41a73
2,660000,swarm,BTCUSDT,sell,59706.79692959171,0.005361460501515284,320.11563341,0.192069380046,-0.261227,10003.853493,ALLOW,dc405e6be782f06448ebb6aef74f34fe2f7b67a17f64e615ef0ce63c2fb4fb3d
3,720000,swarm,BTCUSDT,buy,60697.92083771779,0.006176002471192634,374.87050909,0.22492230545399997,-0.306909,9978.836936,ALLOW,89566d057127070710bbbcc324a5d72836954b5d3e78213aa9ec7d1e4cb02a5b
4,780000,swarm,BTCUSDT,buy,60747.473849640875,0.003289981822695686,199.85808474,0.11991485084400001,-0.161877,9977.70207,ALLOW,fcc4ad80e3a47ab4cdceb73a8925114ad57eed797a44ed3a530bbd294afd3c38
5,840000,swarm,BTCUSDT,buy,60829.78224826942,0.01613718312082116,981.62133534,0.588972801204,-0.83343,9975.578728,ALLOW,3a89bc9f38275fa89595ca98b36a0d84c99bc0c9e9a381e18d632217aff0380d
6,1500000,swarm,BTCUSDT,buy,63121.22845321165,0.01609796531183162,1016.12334608,0.6096740076480001,-0.864475,9974.705045,ALLOW,106e1ec655f029965184b27358be937db034f2540126d2ef9cee42d530942ee8
7,1680000,swarm,BTCUSDT,sell,60496.3706504761,0.01609794881822941,973.86747842,0.5843204870519999,-0.826561,9932.131083,ALLOW,dda3bf2be8e77126a97047398c1dcd2c593f3e1b3686571a8a7b3efea8c99b17
8,1740000,swarm,BTCUSDT,buy,61267.70907951596,0.014724687974201097,902.14789909,0.541288739454,-0.762371,9931.365745,ALLOW,f185c66e1eb03bf88cca072a1595c6fcc91758fc6bd082da851b803a8ef285db
9,1860000,swarm,BTCUSDT,sell,62263.97364878878,0.014724304364050726,916.79369892,0.550076219352,-0.775503,9945.702332,ALLOW,2395fe2f2967811bd4189f3d49105df4372a42807c6ea7a366637f7a050b8850
10,2340000,swarm,BTCUSDT,buy,61256.755023764665,0.01598249593241074,979.035838,0.5874215028,-0.831108,9944.87498,ALLOW,ee6eb5b04a3a585772db6e91f4c4a84af3b5693e5d17e92b68d8e8f7d1b39a65
11,2460000,swarm,BTCUSDT,sell,60543.94800927108,0.01598284596243743,967.66459499,0.580598756994,-0.820996,9933.148098,ALLOW,d3338a53abc00980a48100be0c6c74454cc10aac768c793114f051477ea402cc
12,4920000,swarm,BTCUSDT,sell,55205.167073173085,0.016105518743408737,889.10785303,0.5334647118179999,-0.750852,9932.418445,ALLOW,d4cca5283d3175566ff9a1909b12d5f0402c072979856b12c370b8bc3985671c
13,5100000,swarm,BTCUSDT,sell,54704.416050476626,0.004127368872408113,225.78530399,0.135471182394,-0.183185,9940.333313,ALLOW,f25517eeacd64ce46b3fb19dae7d3f2799f28b3f33771919e4a88070a84cc3e8
14,5460000,swarm,BTCUSDT,sell,53474.578257993846,0.00652629093914976,348.99065556,0.209394393336,-0.285295,9964.934661,ALLOW,a2d234bbceb7e378eb024e5f09b06977209677573db5640314abf22d5a2d33b0
15,5640000,swarm,BTCUSDT,sell,52997.470258510795,0.005152913409978179,273.09137519,0.163854825114,-0.222211,9977.489524,ALLOW,a5f8d5d56ba013d741fcbe5912c3614659b25d3ccdfa0694063846abc5437c64
16,6060000,swarm,BTCUSDT,sell,52263.47281235891,0.0038563954072401243,201.54861652,0.12092916991199999,-0.163277,10000.763529,ALLOW,904d7243c5577a3057d9029d1f46c4499ebd32b29a23695b405e6ea80f0d748b
17,6180000,swarm,BTCUSDT,sell,52546.35858317066,0.007060585997082299,371.00808361,0.222604850166,-0.303702,9990.32225,ALLOW,a126f4fc9a1c4bec67a14293cf1d30c05c581e12957054bb682f7e49e4ea4888
18,6360000,swarm,BTCUSDT,buy,52697.16530909002,0.010014988634672603,527.76151165,0.31665690699,-0.436115,9984.429512,ALLOW,930aed3cfd6953ddbc4027ee5fcb88c2ba347a67cc79132fd12adbeb8266129e
19,6420000,swarm,BTCUSDT,buy,52743.45134702167,0.009212859880801847,485.91802689,0.291550816134,-0.400522,9982.506696,ALLOW,9cacb56fbaec8964f8efe78ebed6a21b3d268bacab9ed096c5d6595af2218ce3
20,6540000,swarm,BTCUSDT,buy,51249.70056722871,0.004510555922697755,231.16464043,0.138698784258,-0.187596,10017.556066,ALLOW,81738d331ab7b0fc18784b3f594b00189dfa7c6654f7e81bc63068c46f1896fa
21,6840000,swarm,BTCUSDT,sell,53143.77830709617,0.004881789282478586,259.43672737,0.15566203642200002,-0.210924,9980.755266,ALLOW,abadb9073749ccfe20f121e81ebd03dd5e2baca9b1a25e936454090f1ad08541
22,6900000,swarm,BTCUSDT,buy,53560.08201187962,0.007172821134306509,384.17688821,0.230506132926,-0.314707,9971.011951,ALLOW,3b0514917b6b18ddd83fb5abd6cceec27ab883238e2071dbfe4c2ba3783a44e6
23,6960000,swarm,BTCUSDT,buy,53142.72137053457,0.016799496665502046,892.77097046,0.5356625822759999,-0.754028,9977.29225,ALLOW,bc2aba0f9fb2b9b989113c85712c5141fb9add0c58ce3e9ee04a4683374258f3
24,11580000,swarm,BTCUSDT,buy,59277.627572176345,0.015527885563727294,920.45621743,0.5522737304580001,-0.778685,9976.488357,ALLOW,5e6bf0cd7f3ce517cc7505a5d5b3aceab66d9ee4b8ce75d8d9b93bc3d74c43a5
25,11700000,swarm,BTCUSDT,buy,58882.92080561963,0.004289923401454165,252.60321991,0.151561931946,-0.205264,9970.187774,ALLOW,29bf0d5fd9d0692144426781c2495098b74b264bced04fcb51bbd29da8c63a12
26,11760000,swarm,BTCUSDT,buy,57512.14384939363,0.004426870348925175,254.59880431,0.152759282586,-0.206911,9942.826361,ALLOW,7dfbcc962cb8785129b6a04936a3e87bab78a475b3c12d8c4ee194803b98d4a2
27,12000000,swarm,BTCUSDT,sell,60135.89228555083,0.0039038988029850537,234.76443791,0.140858662746,-0.190575,10006.842172,ALLOW,d944bb951b01731f21ae77b58023a3572575d24ee73a3d1ec8b1a1360979575e
28,12360000,swarm,BTCUSDT,buy,59670.390221544156,0.005493260636355824,327.78500576,0.196671003456,-0.267589,9996.586287,ALLOW,c54309af205fdff084f38d0869bd8fde44772184a433e370d33fe4c80e3654f4
29,12540000,swarm,BTCUSDT,sell,60697.63207322365,0.00562097671501273,341.17997654,0.204707985924,-0.278776,10023.514924,ALLOW,ad2953828957654fc5514387fe720008e5bfad5fac252f495015f497dda03e81
30,12600000,swarm,BTCUSDT,sell,62241.50036650731,0.0033510213973285694,208.57259953,0.125143559718,-0.16904,10054.544278,ALLOW,1cc4939cba5dc68e324cfa1efe6809fe16f63a5d4e13a208d559e63ebec186d6
31,12840000,swarm,BTCUSDT,buy,59845.46238655401,0.009405075082291627,562.85106708,0.33771064024799996,-0.466099,10013.234975,ALLOW,8a780b982be20d8e743c3ad902f75832326ac61a4d5980a8b904111f418352ac
32,13080000,swarm,BTCUSDT,sell,63068.29684001167,0.005269651493413286,332.34794463,0.19940876677799999,-0.271413,10098.32226,ALLOW,f078c81cf350f8a8efe4dba12b0890e6345e0a1aaba043b5346f2f29c4d03d14
33,13200000,swarm,BTCUSDT,sell,62149.49293561061,0.003460685227196164,215.07983208,0.129047899248,-0.174384,10078.847267,ALLOW,97af0f21dd65c596cf3e963fad11c1c3ba6f7bcd6b1a93f49fc110c415e86e21
34,13440000,swarm,BTCUSDT,buy,62910.90955455493,0.003714593575496641,233.68846046,0.140213076276,-0.189673,10091.544127,ALLOW,5d8701152f6b7513e13f43a657de32ad6717ada0e453a2678f199bca6b59782f
35,13740000,swarm,BTCUSDT,sell,65976.1336562498,0.004540213184523652,299.54571189,0.179727427134,-0.244133,10157.011939,ALLOW,07e024fa0c4744b9a54573a18ff13be040439165ee9727131a6268e79dd6d8a2
36,13920000,swarm,BTCUSDT,buy,64759.585869629605,0.0035245713845283035,228.24978323,0.13694986993799999,-0.185197,10136.036115,ALLOW,f4fd6e124aebe7a5b92535bbf9f4baac3253695c2da78857c5a983e57763a2ff
37,14280000,swarm,BTCUSDT,buy,64330.74566346427,0.0050147144742831145,322.60032142,0.193560192852,-0.263272,10127.092405,ALLOW,ffb261b89b40fe259f7a25decb06c3b3bf840155ececb0fb53bc1f02dc854b01
38,14700000,swarm,BTCUSDT,sell,63263.85835037412,0.004314879182963803,272.97590543,0.16378554325800002,-0.222116,10100.627545,ALLOW,01602fa5340bd4e43f73301d9e4f47fa89fbbdab8350410449b7a6564890b2e1
39,14760000,swarm,BTCUSDT,sell,62008.995927449105,0.006083319001671149,377.2205032,0.22633230192,-0.308905,10074.053695,ALLOW,ec46bf04d60447ed59f0d7ddbb6e9170e1140ba4c8d734eaa669460df2869ada
40,14820000,swarm,BTCUSDT,sell,62199.23620475762,0.014851795538919188,923.77033879,0.554262203274,-0.781726,10076.122548,ALLOW,7269a0d86626350bee44e3f3068bcfa79fb1d65d2e856c70b350740d79d78f93
41,15600000,swarm,BTCUSDT,sell,60710.773398927806,0.017078058588169968,1036.82214504,0.622093287024,-0.883258,10075.244732,ALLOW,0fce8286c11f0f8cf0261e1668ee0be13c082a0d61f257cbb3a159766331659e
42,15960000,swarm,BTCUSDT,buy,61056.74039746529,0.017077408648125052,1042.69090649,0.6256145438940001,-0.888463,10068.970695,ALLOW,adc08826a5a9951e9a27108410c7b94b3a03cba1e5b9c220c13138431d57bb04
43,16740000,swarm,BTCUSDT,buy,62217.06547390391,0.013939669241934448,867.28531391,0.520371188346,-0.731399,10068.234299,ALLOW,ab536921ff27db65653607a9a2dbec8a968fadf92e603825289df557830028ae
44,16800000,swarm,BTCUSDT,sell,61402.147715317355,0.013938747214969082,855.86901546,0.513521409276,-0.721359,10056.575514,ALLOW,0be139d3a1b429e2da163f140a23d52af8529e7115cff0c51c80d2030a025dad
45,18000000,swarm,BTCUSDT,buy,64549.33480914521,0.01542082698393622,995.40412402,0.5972424744120001,-0.845818,10055.719152,ALLOW,f5e9f8618e0ad11b8c57c5e009dac8da927f81bd27d0a0ea24a89d35f177b617
46,18300000,swarm,BTCUSDT,sell,63572.127675036594,0.015421282896670576,980.36376522,0.588218259132,-0.832393,10040.313358,ALLOW,9def2ae79c4462b4a6e6a5acc86ef3764cb9956d53fba43fd7e70c3962dd0968
47,20940000,swarm,BTCUSDT,sell,61075.20784987216,0.01697559805622782,1036.78817966,0.622072907796,-0.883227,10039.439721,ALLOW,38072ec5c70f02143986020f1f0acfd073ef92fceaecf94523ff34b59c1914ec
48,21360000,swarm,BTCUSDT,sell,56847.2076398331,0.0046745776440529525,265.73668596,0.159442011576,-0.216129,10111.067967,ALLOW,6f296b8d716987e750a88ba620e45ae0f68c15fa35e46cf4ea263a61e1ce2b60
49,21840000,swarm,BTCUSDT,sell,56425.8189000092,0.004999817315189271,282.11878636,0.169271271816,-0.229684,10119.963987,ALLOW,2ae2898a2b667951c3ae49e291f632cc2d4b29e4e57110ccafd9b50feefd0527
50,21900000,swarm,BTCUSDT,sell,56531.34617964928,0.00467830405098697,264.47082584,0.158682495504,-0.215083,10116.936925,ALLOW,a570e661824b988a50952e075a3b820ee7bf67fb695fff3d0f6a1dd9b02a2add
51,21960000,swarm,BTCUSDT,sell,57164.780365991945,0.004605657794438575,263.28141626,0.157968849756,-0.2141,10096.871852,ALLOW,3fd79de68f4dfd5414fcea8205f878abb53efc693957ef56f3fe17e05bff41f1
52,22140000,swarm,BTCUSDT,buy,55727.803781798044,0.0037628796266773352,209.69701749,0.125818210494,-0.169949,10149.203141,ALLOW,18138ce1ce33b6328151ba7d5fb03e92193f97797699e4c50aab8715c700a0d4
53,22260000,swarm,BTCUSDT,buy,56363.392691524765,0.004920745269681121,277.34989797,0.16640993878199997,-0.225717,10128.537841,ALLOW,757d31b5bc288c4a8394eb5a2e6e547502d8f7d16b12f0160999d90c7d2f645d
54,22500000,swarm,BTCUSDT,sell,56263.1787656863,0.005870433781843772,330.2892653,0.19817355918000001,-0.269698,10130.338855,ALLOW,a0e16ae2343a60dc5c3c9903b26d41499024ad6672ff0b1365378905765ccf20
55,22560000,swarm,BTCUSDT,buy,57446.83792778735,0.004861370930651613,279.27038796,0.167562232776,-0.227306,10091.713977,ALLOW,0d06bdc5554101f36d150c38b1d667deadf0bae0def79326f7d0d7b862f60937
56,22620000,swarm,BTCUSDT,buy,58556.570382177604,0.00945816309365972,553.83759288,0.332302555728,-0.458385,10059.920388,ALLOW,0cce639b186c5f841c265a2f62cfd52fbd63939bcc6b5e4a726d1d58bed9c2b2
57,22680000,swarm,BTCUSDT,buy,57502.47223180011,0.018800293108652614,1081.06333243,0.648637999458,-0.923232,10078.843527,ALLOW,edc134202867c8db6dc55d98b4d593a12ab519c253bbb110a1a4c4414916649b
58,24300000,swarm,BTCUSDT,buy,63368.398866986485,0.013762376375811264,872.09975554,0.523259853324,-0.735668,10078.079843,ALLOW,dd34b2c6ec28d9ba1b7cdf70c8729343aa2b90033be35c955f214c659b0335d4
59,24600000,swarm,BTCUSDT,buy,64085.44625887673,0.004355350967402192,279.11461036,0.167468766216,-0.227177,10087.741245,ALLOW,88f82b30beced7a41727714b72fe48a9e5a815b578d20d248e510e1fa12543ff
60,24720000,swarm,BTCUSDT,buy,64015.76805729889,0.004833080904583849,309.39338619,0.185636031714,-0.25229,10086.225393,ALLOW,afa0bdce9ceb8e596f4a64e7eae9d9b6883a0fd3c001454f1d9445a6f6133c77
61,25320000,swarm,BTCUSDT,buy,63475.95244136291,0.004840228110067618,307.23808932,0.18434285359199998,-0.2505,10073.591092,ALLOW,ccdc7b40e937d799dc38aaa2c4cddae3c7c538df370d62bd4d4fecc14fe14c7b
62,25500000,swarm,BTCUSDT,sell,65113.898195040325,0.007743826335656354,504.23071966,0.302538431796,-0.416116,10119.474685,ALLOW,ade8d800ded79a26d84591bbdb5ad664ab9b53ca656482e449c4c382b2121095
63,25680000,swarm,BTCUSDT,sell,64287.62985660712,0.005556392331413479,357.20729354,0.214324376124,-0.292158,10102.608893,ALLOW,20d197b0f39c09310ae61c3a4dfeb9043afe7f5a88d17e44cfb0c905ed3434ee
64,25740000,swarm,BTCUSDT,sell,64745.407320375285,0.014489618499855663,938.13625169,0.5628817510140001,-0.794557,10108.474417,ALLOW,b6d29712b5b8696b710a7b7b94b0e8bcec27f2479d397b75d6db478c04c7ee22
65,25980000,swarm,BTCUSDT,buy,64404.97007669531,0.013281076750930924,855.36735073,0.513220410438,-0.720838,10107.754909,ALLOW,b5171f9d50cf53bab66f3dfe2f574f605966d1dd166be5566a52805dd84bdc20
66,26040000,swarm,BTCUSDT,sell,64964.50675913487,0.013280728248409002,862.77596006,0.5176655760359999,-0.727479,10114.874003,ALLOW,89a1fb143d4b13a3438b5aa0d4650ad6b88756caff877c8c74ddeac167c576e9
67,26520000,swarm,BTCUSDT,buy,67914.19967566695,0.013420300990406234,911.42900117,0.546857400702,-0.770637,10114.093947,ALLOW,7b445d89ae4511b2735f832bd01fb1cb0ff12898a6663814fe005351effa1da7
68,26640000,swarm,BTCUSDT,buy,69538.6418017484,0.002953712888807612,205.39718256,0.123238309536,-0.16642,10135.750357,ALLOW,b01760cadebd064461bee265bb38b863621304c5bd8ec23d837c6482caacb578
69,27000000,swarm,BTCUSDT,buy,69354.65561817055,0.003247938466310878,225.2596538,0.13515579228,-0.182737,10132.555128,ALLOW,73d1ce72ad40a5c0bbedce6ef3192d6363f307eae4ee404632846e13c5285b67
